FN,EAR,MAR,MOEAR,THRESH
0,0.12031284421730962,1.7885378868362385,14.865726917782553,1.2875634870254347
1,0.10369337650652538,1.8459488701883084,17.80199403644787,1.3149261692022218
2,0.12421083672778663,1.7969305282444838,14.466777421220776,1.3369034473450556
3,0.14438055099778757,1.865566977188067,12.921179232905505,1.3157591674469546
4,0.1504357996778099,1.6676749785945766,11.085625776352806,1.2183734529322876
5,0.14388497891989865,1.6164857595646567,11.234569248987142,1.1717282563865612
6,0.1408839462854372,1.653204887845635,11.734515758780404,1.1867638894526664
7,0.14368689474769772,1.8970046772865654,13.202350016802496,1.2073249321324497
8,0.13267883425315768,1.6320632344132433,12.300856000130263,1.2133088780394992
9,0.1575325167904716,1.5007696148902416,9.526729118956197,1.2693598142590645
10,0.15830576157886503,1.6800001359035546,10.612375185514706,1.2371939475113947
11,0.17235683586500158,1.6267732025090433,9.43840256955757,1.2792344852653978
12,0.18530962905241236,1.7611002461394314,9.503554969835527,1.3556680962689807
13,0.18482360347864607,1.6069273587633541,8.694383880189921,1.3351447070684406
14,0.1795419902008344,1.6237456004653787,9.04382088362209,1.3832280688835028
15,0.15948524236003575,1.5593221172118046,9.777218845688909,1.5408415462769918
16,0.19307176791037597,1.6864491400466977,8.734830360229303,1.436163157327789
17,0.2165799101059656,1.794084155138091,8.283705327333006,1.40090967631092
18,0.21212598757432183,1.840970734247694,8.678666651358215,1.3353962902445897
19,0.21670590547117052,1.7162704424309367,7.919813900315056,1.3099904107602311
20,0.22003520072349309,1.7603670576359955,8.000388355353007,1.322499270303712
21,0.20370287803019846,1.6807072651052077,8.25077819890226,1.3426028220052968
22,0.20617733339409808,1.7692674594666502,8.581289855392495,1.350803867174262
23,0.205171590463196,1.8323327390665174,8.930733221543186,1.3242776125262548
24,0.19928906501465293,1.6695719354115248,8.377639461998418,1.2834695188893503
25,0.1892737220820372,1.6582372206585203,8.761053581118821,1.3170035948486207
26,0.1917139396719939,1.6755272748408496,8.739725852525554,1.2898362748542491
