FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0.3535856620391828,0.3604360900763343,0.35701087605775855,[0.71650797 0.4450632 ],[0.72293466 0.4368051 ],[0.73157245 0.43620467],[0.74029136 0.44557288],[0.73262078 0.44435042],[0.72414356 0.44532967]
2,0.3508622422907609,0.3703951295760435,0.3606286859334022,[0.71131718 0.44548097],[0.71821201 0.43578905],[0.72663671 0.4351517 ],[0.73434216 0.44167352],[0.72552246 0.44319388],[0.71782917 0.44403777]
3,0.34114731237649615,0.38334026330590487,0.3622437878412005,[0.70982784 0.44796622],[0.71604192 0.43844241],[0.72393012 0.43751785],[0.73173445 0.44381049],[0.7230655  0.44495431],[0.7158432  0.44616663]
4,0.32900758046883327,0.25929815047772825,0.2941528654732808,[0.70761347 0.44842875],[0.71345806 0.43882516],[0.72145557 0.43770379],[0.72968262 0.44442257],[0.7209177  0.44494653],[0.71371794 0.44631714]
5,0.33493664464531203,0.24596511443322844,0.29045087953927023,[0.70593041 0.44749993],[0.71184367 0.43797261],[0.71978056 0.43704158],[0.72792661 0.44357118],[0.71925163 0.44431138],[0.71209675 0.44564727]
6,0.32550008097453953,0.2494408255511969,0.28747045326286824,[0.7048102  0.44727901],[0.71051669 0.43746936],[0.71840078 0.43635771],[0.72664344 0.44284144],[0.71780866 0.44339889],[0.71077216 0.44490299]
7,0.36826176877043976,0.2791896370626387,0.32372570291653924,[0.70395887 0.44907796],[0.71013612 0.43848398],[0.71840656 0.43716639],[0.72669089 0.44359389],[0.71813428 0.44552407],[0.71059966 0.44733274]
8,0.3831682524263792,0.26577917987125727,0.32447371614881826,[0.70502436 0.44675407],[0.71105427 0.43599311],[0.71937573 0.43461898],[0.72786337 0.4415333 ],[0.71893698 0.44347197],[0.71138567 0.44507703]
9,0.3930435883270154,0.3251039175230697,0.35907375292504257,[0.70472372 0.44572476],[0.71063477 0.43499374],[0.71881396 0.43383855],[0.72711015 0.44080639],[0.71831554 0.44266611],[0.71093309 0.44416466]
10,0.39242928734035704,0.26534176585015073,0.3288855265952539,[0.70498383 0.44501153],[0.71114856 0.43418449],[0.719405   0.43298963],[0.72763544 0.4400779 ],[0.71892941 0.44192427],[0.71141356 0.44342852]
