FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0,0,0,[0.72398877 0.45372641],[0.73292047 0.4500078 ],[0.74098122 0.45295826],[0.74708176 0.45952877],[0.73948532 0.45977709],[0.73137218 0.45726225]
2,0,0,0,[0.72398877 0.45372641],[0.73292047 0.4500078 ],[0.74098122 0.45295826],[0.74708176 0.45952877],[0.73948532 0.45977709],[0.73137218 0.45726225]
3,0,0,0,[0.72398877 0.45372641],[0.73292047 0.4500078 ],[0.74098122 0.45295826],[0.74708176 0.45952877],[0.73948532 0.45977709],[0.73137218 0.45726225]
4,0,0,0,[0.72398877 0.45372641],[0.73292047 0.4500078 ],[0.74098122 0.45295826],[0.74708176 0.45952877],[0.73948532 0.45977709],[0.73137218 0.45726225]
5,0.14812696993828126,0.3778307172382687,0.262978843588275,[0.72570837 0.45744014],[0.73411441 0.45669264],[0.74249035 0.45989597],[0.75024015 0.46501827],[0.74160385 0.46343997],[0.73298317 0.46048063]
6,0.1433722066805872,0.25224567301778517,0.19780893984918618,[0.72613376 0.45849267],[0.73444414 0.45851713],[0.74270445 0.4614802 ],[0.75017124 0.46616951],[0.74196666 0.46501988],[0.7334646  0.46200192]
7,0.18651413720497445,0.36447146652020024,0.27549280186258734,[0.72648418 0.45811722],[0.73462367 0.45648536],[0.74266946 0.45947537],[0.74934649 0.46499029],[0.7415098  0.46358818],[0.73351294 0.46098238]
8,0.22708388738160995,0.3224714824544925,0.2747776849180512,[0.72699219 0.46027967],[0.73523378 0.45778969],[0.74340785 0.46054718],[0.75010413 0.46671861],[0.74225974 0.46572039],[0.734218   0.46329412]
9,0.23538740961358667,0.39907035763017307,0.31722888362187984,[0.72911292 0.46082821],[0.73738372 0.45853662],[0.7455284  0.46136791],[0.75223601 0.4675369 ],[0.74419314 0.46687561],[0.73611611 0.46406046]
10,0.22508389712645732,0.3882757534834064,0.3066798253049319,[0.73065728 0.45878056],[0.73904115 0.45665702],[0.74715436 0.45980075],[0.75368106 0.46585494],[0.74573803 0.46496701],[0.73767668 0.46197054]
11,0.2674082035271992,0.39164760231185064,0.32952790291952494,[0.73296058 0.45950866],[0.74162775 0.45647883],[0.74970555 0.45958912],[0.75589639 0.46659449],[0.74809659 0.46574152],[0.74009442 0.46277398]
12,0.2838585522319868,0.3830124067812067,0.33343547950659674,[0.73666114 0.45956987],[0.74549991 0.45627031],[0.75397462 0.45976609],[0.76017541 0.46770245],[0.75211358 0.46655214],[0.74393564 0.46318427]
13,0.2795520838599566,0.4371139647797615,0.35833302431985903,[0.73968863 0.45915115],[0.74860281 0.45642966],[0.75710154 0.46007571],[0.76328331 0.46800584],[0.75515705 0.46694058],[0.74695075 0.46318591]
14,0.2370014018901161,0.38113658924855914,0.30906899556933765,[0.74121505 0.46013147],[0.75018263 0.45858595],[0.75843745 0.46263522],[0.76447117 0.47021556],[0.75665891 0.46839124],[0.74855375 0.46435088]
15,0.2523888756404073,0.3730436150264732,0.3127162453334402,[0.74172026 0.46249455],[0.75096285 0.46070701],[0.759381   0.46509767],[0.7652992  0.47313562],[0.75722915 0.47127596],[0.74903166 0.46692997]
16,0.23479485304701586,0.37135197691077443,0.3030734149788952,[0.74155164 0.46295196],[0.75048816 0.46164337],[0.75888664 0.46605334],[0.76497668 0.47370401],[0.75718689 0.4718563 ],[0.74900442 0.46751562]
17,0.2642868204118085,0.3959839221866936,0.3301353712992511,[0.74093682 0.46321955],[0.74992508 0.46085453],[0.75824893 0.46523088],[0.76407075 0.47359779],[0.75620461 0.47154394],[0.74818635 0.46739361]
18,0.24228034501666496,0.3449405439505703,0.2936104444836176,[0.74056077 0.46289703],[0.74948496 0.46114129],[0.75782067 0.46555656],[0.76374918 0.47369996],[0.75591946 0.47144875],[0.74788815 0.46713668]
19,0.21684875999851938,0.32683171760618474,0.2718402388023521,[0.74120241 0.46147978],[0.74992818 0.45987487],[0.75847942 0.46395719],[0.76491356 0.47194237],[0.75678533 0.46944231],[0.74857092 0.46520406]
20,0.20781270903141202,0.30029743462535036,0.25405507182838116,[0.74134237 0.46017987],[0.74998027 0.45864245],[0.75848669 0.46270424],[0.76491815 0.47080404],[0.75691038 0.46797216],[0.74870294 0.46373364]
21,0.2506275449272959,0.3023800483079653,0.2765037966176306,[0.74221957 0.45684835],[0.75115305 0.45471948],[0.7593472  0.45919749],[0.76518005 0.4674527 ],[0.75723189 0.46509978],[0.74932045 0.46085918]
22,0.16287365142034219,0.3523994962125935,0.2576365738164678,[0.74306148 0.45368847],[0.75132143 0.45361519],[0.75933808 0.45833689],[0.7656334  0.46536309],[0.75781506 0.46213904],[0.74993384 0.45756045]
23,0.21328312648687053,0.36177562760385373,0.28752937704536213,[0.74274951 0.45544958],[0.7513662  0.45424414],[0.75937676 0.45860222],[0.76534498 0.46627948],[0.75762725 0.46363327],[0.74977946 0.45936579]
24,0.23991937063531882,0.375478697549236,0.3076990340922774,[0.74236602 0.45737207],[0.75074458 0.45586258],[0.75844842 0.4603292 ],[0.76412559 0.46794319],[0.75674033 0.46567932],[0.74917102 0.46164411]
25,0.2118174124442442,0.2385489297612323,0.22518317110273825,[0.74233246 0.45831636],[0.7508263  0.45736843],[0.75869018 0.46190569],[0.76456553 0.46924031],[0.7570653  0.46674249],[0.74929684 0.46253872]
26,0.1585710818419893,0.3468934056738187,0.252732243757904,[0.74293137 0.46128896],[0.75130737 0.46184912],[0.7595306  0.46654311],[0.76605773 0.47281352],[0.75801927 0.47036293],[0.74987286 0.46567571]
27,0.20715550162757923,0.3667086296988544,0.28693206566321683,[0.7421546  0.46164536],[0.75097615 0.46074373],[0.75930679 0.46491694],[0.76559007 0.47214943],[0.75763011 0.47004399],[0.74943846 0.46575934]
28,0.17467274506770922,0.291049187926702,0.2328609664972056,[0.74271423 0.4607642 ],[0.75136667 0.46063977],[0.75973642 0.46502784],[0.76622456 0.47169521],[0.75812304 0.46934047],[0.74989712 0.46484333]
29,0.16104759907084693,0.34494988871495574,0.25299874389290133,[0.74354374 0.46017724],[0.75214708 0.4606109 ],[0.76056737 0.46505117],[0.76726145 0.47167146],[0.75921756 0.46917585],[0.75088215 0.46456265]
30,0.20856291201769925,0.3574709554099584,0.2830169337138288,[0.74393868 0.4598622 ],[0.75272799 0.45917907],[0.7609688  0.46378756],[0.76715487 0.47120762],[0.75919574 0.46891931],[0.75109237 0.46427202]
31,0.17857428219929367,0.33547099890636484,0.25702264055282925,[0.74412405 0.459259  ],[0.75260746 0.45957702],[0.76078832 0.46427709],[0.7672897  0.47115943],[0.75940162 0.46874973],[0.75125879 0.46399447]
32,0.19599118652227518,0.3022937737434112,0.24914248013284318,[0.74382585 0.4595688 ],[0.75242305 0.45923513],[0.76051885 0.46382862],[0.76678717 0.47083762],[0.75905573 0.46858698],[0.75100356 0.46407914]
33,0.18761887118064147,0.34059800320879857,0.26410843719472,[0.74281019 0.45867699],[0.75144136 0.45846361],[0.75953794 0.46303713],[0.76585025 0.46992838],[0.75804645 0.46758679],[0.74997586 0.4630695 ]
34,0.18198611471541778,0.3139075454358157,0.24794683007561674,[0.74172294 0.45884356],[0.75025058 0.45842183],[0.75823718 0.46305814],[0.76451343 0.4700543 ],[0.75665325 0.46729362],[0.74873036 0.46289286]
35,0.21729460472725157,0.31442693752462936,0.2658607711259405,[0.74090767 0.45855403],[0.74968129 0.45754346],[0.75785542 0.46201247],[0.76398486 0.46920654],[0.75618339 0.46721569],[0.74811971 0.46290129]
36,0.22575714729924581,0.3390363060599218,0.2823967266795838,[0.74027348 0.46039361],[0.74891287 0.4592433 ],[0.75692832 0.46375641],[0.76290488 0.47105193],[0.75534642 0.46902263],[0.74742568 0.46484548]
37,0.2367332986488202,0.2945542014539468,0.2656437500513835,[0.74015647 0.46212471],[0.74907666 0.46066365],[0.75730991 0.46504313],[0.76338911 0.47269654],[0.75566697 0.47077093],[0.74756664 0.46660104]
38,0.22756720833842198,0.29686782030409886,0.2622175143212604,[0.74053383 0.46376976],[0.74909633 0.46208453],[0.75717366 0.46629965],[0.76315767 0.47396848],[0.75563824 0.47160542],[0.74772537 0.46769065]
39,0.22834553448585043,0.3620035834470763,0.2951745589664634,[0.74140489 0.46463501],[0.75007606 0.46320277],[0.75795406 0.46767214],[0.7637198  0.47530183],[0.7562902  0.47290438],[0.74853283 0.46879894]
40,0.19120877845307405,0.3661125064718966,0.27866064246248534,[0.74182451 0.46487987],[0.75038987 0.46433982],[0.75836003 0.4688136 ],[0.76452607 0.47586209],[0.7568655  0.47331327],[0.74895924 0.46902904]
41,0.19118302570889337,0.3734445144815544,0.2823137700952239,[0.74285048 0.46449152],[0.75146115 0.46389136],[0.75959617 0.46853378],[0.76578683 0.47594512],[0.75794804 0.47316545],[0.74995178 0.468539  ]
42,0.1786922175229182,0.31482103152355495,0.24675662452323657,[0.74229503 0.46333736],[0.75087464 0.4631952 ],[0.75888443 0.46795356],[0.76508242 0.47502792],[0.75733721 0.47223303],[0.74937356 0.46754602]
43,0.18178946964337347,0.3847105268822037,0.28324999826278857,[0.74113435 0.46235186],[0.7496261  0.46185675],[0.7575562  0.46668577],[0.76370203 0.47390842],[0.75600773 0.47089052],[0.74814105 0.46635556]
44,0.18235182772785777,0.3983244556089111,0.29033814166838445,[0.74125278 0.46151513],[0.74970961 0.46089816],[0.75760663 0.4656862 ],[0.7636736  0.47290403],[0.75592101 0.46982634],[0.74814707 0.46533218]
45,0.1739048355141442,0.3810365618299925,0.27747069867206836,[0.73998016 0.46183738],[0.74856234 0.4615739 ],[0.75661027 0.4663299 ],[0.76286525 0.47331119],[0.75507349 0.47041613],[0.74708098 0.4658637 ]
46,0.19613643346900694,0.35791368271104135,0.27702505809002415,[0.73885709 0.46135011],[0.74742001 0.46026024],[0.7553646  0.46477294],[0.76148802 0.47193888],[0.75380021 0.46922475],[0.74591953 0.4651162 ]
47,0.1892254535012904,0.3963281169172309,0.29277678520926065,[0.73848093 0.46078497],[0.74708295 0.45996428],[0.75505179 0.46435171],[0.76125634 0.47140232],[0.75355309 0.46875125],[0.74561882 0.46460074]
48,0.1991162816635242,0.30968310531563165,0.2543996934895779,[0.73818821 0.45843917],[0.74660414 0.45788947],[0.75468779 0.46212405],[0.76118624 0.46858832],[0.75308704 0.46690109],[0.7450406  0.46260989]
49,0.22061927310444907,0.32161180117699245,0.2711155371407208,[0.73763674 0.45684528],[0.74623758 0.45559961],[0.75429463 0.45983294],[0.76060867 0.46667495],[0.75278264 0.4649623 ],[0.74467605 0.46105814]
50,0.16188300538721295,0.29259980467656416,0.22724140503188855,[0.73803133 0.45534155],[0.74633735 0.45535457],[0.7544868  0.45975286],[0.76123881 0.46615839],[0.75311935 0.46365634],[0.74492019 0.45925915]
51,0.1989713651904637,0.2981555725482692,0.24856346886936645,[0.73871946 0.4553138 ],[0.74746662 0.45497745],[0.75560415 0.45958313],[0.76187867 0.46638924],[0.75409073 0.46435589],[0.7458753  0.45993716]
52,0.16141466870593268,0.24422086679416702,0.20281776775004984,[0.7395786  0.45488679],[0.74804562 0.45537657],[0.75618017 0.46027884],[0.76276028 0.46683967],[0.75477278 0.46413246],[0.74658817 0.45944053]
53,0.192113594172548,0.29367806878735164,0.2428958314799498,[0.74038464 0.45611605],[0.74908292 0.45573962],[0.7573725  0.46022686],[0.76394886 0.46694461],[0.7557891  0.46494561],[0.74747515 0.46046025]
54,0.2141759348212049,0.3432839897942737,0.2787299623077393,[0.74067765 0.45597309],[0.74962306 0.45528191],[0.75800562 0.45989683],[0.76424485 0.46699834],[0.75624156 0.46519184],[0.74793106 0.46058241]
55,0.22852055929877713,0.29316702814151985,0.2608437937201485,[0.74052268 0.45651317],[0.74957079 0.45570794],[0.75780797 0.46036148],[0.76386291 0.46746898],[0.75589573 0.46593678],[0.74767274 0.4612838 ]
56,0.17805017869150064,0.3509240590553078,0.26448711887340426,[0.73900503 0.45978689],[0.74765402 0.46009684],[0.75578988 0.4647361 ],[0.76229054 0.47132722],[0.75436401 0.46908495],[0.74614251 0.46452373]
57,0.15450006586080078,0.372346368872847,0.2634232173668239,[0.7382378  0.46071315],[0.74698371 0.46166497],[0.75537473 0.46649358],[0.76211113 0.47290292],[0.75391161 0.4703542 ],[0.74546152 0.46553034]
58,0.14965266120482296,0.38795324520085217,0.26880295320283754,[0.73645931 0.46105027],[0.74527228 0.46219793],[0.75363237 0.46692047],[0.76031339 0.47277462],[0.75212556 0.47057754],[0.74362886 0.46584484]
59,0.1367375416673352,0.30118513627522936,0.21896133897128228,[0.73487324 0.46106866],[0.74342537 0.46191201],[0.75169927 0.46619156],[0.75852239 0.47180736],[0.75036091 0.46948242],[0.74198377 0.46515656]
60,0.1412707421030201,0.3266879355005118,0.23397933880176594,[0.73487008 0.46199307],[0.74346274 0.46279204],[0.75186646 0.46696988],[0.75876272 0.4723528 ],[0.75047731 0.47043651],[0.7419855  0.46610054]
61,0.3108223126963636,0.4089295026234526,0.3598759076599081,[0.73335969 0.45864552],[0.74267226 0.4554989 ],[0.75089377 0.45931092],[0.75674051 0.46666884],[0.7491219  0.46653593],[0.74087042 0.46321884]
62,0.2948623443794503,0.40892883515211975,0.35189558976578506,[0.7355122  0.45704135],[0.74461871 0.45412436],[0.75264531 0.45801061],[0.75833666 0.46535903],[0.75090492 0.46471068],[0.74288046 0.46132106]
63,0.2866032938835552,0.42143385992964794,0.35401857690660155,[0.7366671  0.45642352],[0.74588168 0.4532868 ],[0.75405216 0.45699698],[0.75973976 0.46435523],[0.75226653 0.4635818 ],[0.7441597  0.46023914]
64,0.28255913049419307,0.35018598708998133,0.3163725587920872,[0.73817819 0.45611998],[0.74752718 0.45323464],[0.75575328 0.4571127 ],[0.76147318 0.46457386],[0.75392377 0.46369585],[0.74572307 0.46017587]
65,0.31868668057553734,0.37575255882694536,0.3472196197012414,[0.73951602 0.45515656],[0.74881905 0.45155689],[0.7570616  0.45573553],[0.76266932 0.46366382],[0.75500959 0.46301576],[0.74692756 0.45949262]
66,0.286833781217314,0.37823802153926006,0.33253590137828704,[0.74046481 0.45599544],[0.74956471 0.45309681],[0.75767916 0.45713022],[0.76338816 0.4647038 ],[0.75595206 0.46366525],[0.74789155 0.46021062]
67,0.2737153587395234,0.40378636849844085,0.3387508636189821,[0.74089831 0.45572451],[0.74985957 0.45320198],[0.75783885 0.45744669],[0.76349944 0.46503067],[0.75617176 0.46359763],[0.74825478 0.46002325]
68,0.28456455413139237,0.3950827149371128,0.33982363453425257,[0.74064934 0.45580384],[0.74969524 0.45335025],[0.75772029 0.45766252],[0.76342863 0.46523741],[0.75598615 0.46415448],[0.74799055 0.46046129]
69,0.2654743404534992,0.4118140979764351,0.3386442192149671,[0.74036664 0.45499712],[0.749367   0.45278025],[0.75734794 0.45724976],[0.7630434  0.46493047],[0.75560671 0.46325803],[0.74769032 0.45946229]
70,0.27146932380897193,0.3966609820162723,0.3340651529126221,[0.74103892 0.45355284],[0.74960446 0.45214015],[0.75716269 0.45682091],[0.76271075 0.46434736],[0.75556993 0.46286273],[0.7479924  0.45884615]
71,0.2803206704924878,0.4245554943026201,0.3524380823975539,[0.73961335 0.45304862],[0.74867886 0.45129102],[0.75661623 0.45579362],[0.76241386 0.46349579],[0.75487512 0.46243608],[0.74689901 0.4582614 ]
72,0.28051241145712585,0.38843077532103626,0.33447159338908106,[0.73849505 0.45296696],[0.74753469 0.4509683 ],[0.75536311 0.45553854],[0.76079357 0.46335822],[0.75344276 0.46193308],[0.745673   0.45784581]
73,0.2777188090334177,0.44781266077019527,0.3627657349018065,[0.7376315  0.45245814],[0.74671209 0.45085436],[0.75466841 0.45531094],[0.76038349 0.46282279],[0.75303388 0.46185461],[0.74501657 0.45779228]
74,0.2901154541723103,0.3985782304123557,0.34434684229233303,[0.73707473 0.45370105],[0.7460767 0.4514921],[0.75402784 0.45536709],[0.75981075 0.46262175],[0.75248361 0.46216819],[0.74441671 0.45849508]
75,0.28859111526411374,0.4118558585756632,0.35022348691988847,[0.7362147  0.45344558],[0.74542993 0.45131153],[0.75349176 0.45540181],[0.75921237 0.4628053 ],[0.75180209 0.46223614],[0.74365723 0.45838371]
76,0.2850725645780286,0.39538742882471645,0.34022999670137255,[0.73652923 0.45487002],[0.74569827 0.45275992],[0.7537756  0.45688269],[0.7594896  0.46438125],[0.75225103 0.46358952],[0.74407178 0.45986775]
77,0.28533096223352084,0.3780146849885547,0.3316728236110378,[0.73693824 0.45274517],[0.74595976 0.45096675],[0.75394499 0.45511109],[0.75978684 0.46237326],[0.75242531 0.46182841],[0.74434024 0.45804596]
78,0.27190072962096967,0.4193313427092806,0.34561603616512515,[0.73763102 0.45185578],[0.74660981 0.45014352],[0.75454766 0.45448309],[0.76030946 0.46178433],[0.75297379 0.46080878],[0.74495208 0.45688686]
79,0.28940572062228054,0.3801755182431392,0.3347906194327099,[0.73727959 0.45243979],[0.74641335 0.45060238],[0.7543295  0.45506436],[0.76006895 0.46242654],[0.75257647 0.46176705],[0.74453217 0.45783532]
80,0.2903688997028783,0.4033817802776268,0.34687533999025255,[0.73709697 0.45222959],[0.74587709 0.45048845],[0.75357723 0.45495191],[0.75926232 0.46256614],[0.75199753 0.46159714],[0.744151   0.45765626]
81,0.24626731291678206,0.4006601146887113,0.3234637138027467,[0.73724872 0.45083714],[0.74591035 0.45003971],[0.75369394 0.45443329],[0.75960213 0.46145111],[0.75240976 0.46014628],[0.74444717 0.45620075]
82,0.2715990696328589,0.38558614953042114,0.32859260958164005,[0.73629236 0.45036557],[0.74523991 0.44912839],[0.75309479 0.45355853],[0.75896704 0.4607501 ],[0.7516706  0.45995262],[0.74358261 0.45592558]
83,0.30448802635526645,0.39089905835360167,0.34769354235443406,[0.73562264 0.44968575],[0.74460626 0.44754627],[0.75240117 0.45186782],[0.75807941 0.45936719],[0.75078565 0.45889699],[0.74283642 0.4550195 ]
84,0.3010860402337927,0.3923705562162607,0.3467282982250267,[0.73490918 0.4485184 ],[0.74391729 0.44686508],[0.75175875 0.45116934],[0.7575798  0.45857427],[0.75026125 0.45823514],[0.74220169 0.4543834 ]
85,0.2782722961524093,0.4008155508200264,0.33954392348621787,[0.73414874 0.4477222 ],[0.74302459 0.44612843],[0.75087094 0.45029333],[0.75676501 0.45756167],[0.74954778 0.45677274],[0.7415297  0.45308304]
86,0.2619179830708211,0.4519903990057351,0.3569541910382781,[0.73283464 0.44758263],[0.7418415 0.4463329],[0.74980104 0.45038781],[0.75583172 0.45726964],[0.74856943 0.45659897],[0.74037576 0.45291132]
87,0.30216393627196575,0.3903641456671233,0.34626404096954455,[0.73113006 0.44735485],[0.73996812 0.44503596],[0.74791336 0.4489603 ],[0.75388098 0.45632389],[0.74667794 0.45590341],[0.73858404 0.45263767]
88,0.29062518347475685,0.42479963081473515,0.357712407144746,[0.72962528 0.44624677],[0.73864442 0.44423813],[0.74667794 0.44803882],[0.7527324  0.45517129],[0.74538666 0.45492458],[0.73716289 0.4514803 ]
89,0.3151966390677569,0.35400922498177717,0.33460293202476704,[0.72783035 0.44590938],[0.73677218 0.44268459],[0.74493635 0.44616744],[0.75113982 0.45356819],[0.74352574 0.45355409],[0.73533416 0.45050025]
90,0.3193303986842581,0.3680356030414044,0.34368300086283127,[0.72725296 0.44442117],[0.73624063 0.44134417],[0.74441993 0.44493321],[0.750673  0.4523041],[0.74309945 0.45244664],[0.73486334 0.44938043]
91,0.3497088026326735,0.23755925855798252,0.293634030595328,[0.72631866 0.44458246],[0.73544854 0.44117987],[0.74371749 0.44447154],[0.74995399 0.45163226],[0.74234694 0.45279983],[0.73401308 0.44987249]
92,0.3454859490161436,0.2046087344222814,0.2750473417192125,[0.72526258 0.44624311],[0.73443645 0.44292229],[0.74268651 0.44634259],[0.7489422  0.45381954],[0.74139184 0.45466802],[0.73304057 0.45156384]
93,0.3446423333282586,0.18277638639986413,0.26370935986406135,[0.72423357 0.44699949],[0.73327297 0.44323418],[0.74160022 0.44622493],[0.74803782 0.45359677],[0.74028605 0.45450678],[0.73193645 0.45177111]
94,0.32915791887430784,0.3295270599509816,0.3293424894126447,[0.72375035 0.44697893],[0.73267275 0.44373077],[0.74079859 0.44715375],[0.7471087  0.45471445],[0.73950154 0.45494732],[0.73130757 0.45191538]
95,0.35332205726978905,0.3382600152792004,0.3457910362744947,[0.72270983 0.44849357],[0.73136991 0.44435716],[0.73940927 0.44740525],[0.7457366  0.45491755],[0.7382471  0.45551205],[0.73018038 0.45297888]
96,0.34377850094800144,0.25367646610935835,0.2987274835286799,[0.72146338 0.44946292],[0.7299673  0.44546893],[0.7378251  0.44867679],[0.74406612 0.4561711 ],[0.7366302  0.45643422],[0.72874647 0.45374107]
97,0.3365000599166662,0.23669957549693152,0.2865998177067989,[0.71908474 0.4497025 ],[0.72764426 0.44566876],[0.73544353 0.44836533],[0.74176592 0.45537227],[0.73411161 0.45602077],[0.72619694 0.45349982]
98,0.35394878384024514,0.3362327936366572,0.34509078873845117,[0.71742678 0.44998893],[0.72595888 0.44508374],[0.73393869 0.44740677],[0.74049515 0.45448312],[0.73285776 0.45551792],[0.72479331 0.45345721]
99,0.3476250845787301,0.4330082823390421,0.3903166834588861,[0.71668798 0.44866154],[0.72530389 0.44405761],[0.73322821 0.4464868 ],[0.73957652 0.45327121],[0.73191315 0.45441085],[0.72386098 0.45213002]
100,0.3370803234495198,0.4091021490182212,0.3730912362338705,[0.71528816 0.44919884],[0.72418851 0.44406405],[0.73245943 0.44636148],[0.73929977 0.45352969],[0.73100603 0.45447832],[0.7226367  0.45211887]
