FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
1,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
2,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
3,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
4,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
5,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
6,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
7,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
8,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
9,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
10,0,0,0,[0.71520752 0.42574486],[0.72198755 0.42055559],[0.72926629 0.42112684],[0.73657429 0.42659   ],[0.72902822 0.42694017],[0.72166449 0.4267053 ]
