FN,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
1,0.176984273996778,2.510831553031952,14.186749457060019,1,1659602631605
2,0.1748745850247553,2.4827320830206188,14.197215007939331,1,1659602631680
3,0.1754526257607734,2.4342521121339096,13.87412756907366,1,1659602631757
4,0.18084332358121005,2.3961270135200703,13.24973997419406,1,1659602631817
5,0.1909545357148441,2.3902197017811693,12.517218786311146,1,1659602631873
6,0.18648601247821397,2.3678295142938977,12.697089089030293,1,1659602631933
7,0.18636579385177493,2.3313516714482594,12.509547075481501,1,1659602631981
8,0.1819124909110348,2.2834306061104743,12.552357425676707,1,1659602632027
9,0.17978394673574113,2.4316443116152224,13.525369510267906,1,1659602632073
10,0.1805040616742562,2.385872319639238,13.217831762394715,1,1659602632118
11,0.18072937079499443,2.315959496227061,12.814516456509486,1,1659602632163
12,0.18538111556051073,2.402702393296259,12.960880001350441,1,1659602632205
13,0.1892956469013932,2.3893769496531028,12.622461154100197,1,1659602632250
14,0.19402958074649435,2.4712611409764316,12.736517449909922,1,1659602632297
15,0.19301841189854127,2.432293490552804,12.601354796304726,1,1659602632345
16,0.18963732635055103,2.465577038254073,13.001538703917236,1,1659602632386
17,0.18623850776514067,2.498403140957494,13.415072806039387,1,1659602632433
18,0.19186030020114778,2.5059843511435527,13.061505420956081,1,1659602632473
19,0.19230294436228293,2.507393224028389,13.038766683180194,1,1659602632521
20,0.18872197543341165,2.451439068318822,12.989685290697816,1,1659602632572
21,0.1883285819371171,2.4802702357758952,13.169908732196886,1,1659602632621
22,0.1870130101550898,2.4702008028972924,13.208710992078872,1,1659602632666
23,0.19020024787252499,2.4300442481972104,12.77624122669841,1,1659602632710
24,0.18960152506270717,2.42266441500043,12.777663123749553,1,1659602632753
25,0.18837056787044007,2.4771410673995486,13.15036152093202,1,1659602632799
26,0.19225677648472614,2.5438072105122433,13.23130064398191,1,1659602632845
27,0.1856421640760966,2.492566140687489,13.426724220181795,1,1659602632884
28,0.18515767857117146,2.4717530490202835,13.349449334720319,1,1659602632931
29,0.18655260146575436,2.4507332034576095,13.136955390608653,1,1659602632974
30,0.1874102089150277,2.531671745454477,13.508718442346671,1,1659602633015
31,0.18210953933482324,2.4898641754742914,13.6723434948483,1,1659602633058
32,0.18868106318298133,2.5568029241574246,13.550924936636902,1,1659602633100
33,0.18706154315647816,2.5711614257789606,13.745002753602689,1,1659602633149
34,0.18850951423360665,2.591492295767154,13.74727586723129,1,1659602633185
35,0.1920987220619763,2.5040657556160544,13.03530668365495,1,1659602633234
36,0.18701782044534818,2.500276562117334,13.369188862127631,1,1659602633289
37,0.18880817810688824,2.4992749215357777,13.23711158380484,1,1659602633332
38,0.18528880668006664,2.4368245902625394,13.15149378920736,1,1659602633374
39,0.18588990300329616,2.461068748787383,13.23938906323354,1,1659602633423
40,0.18598681472003487,2.446238673886415,13.152753207633172,1,1659602633467
41,0.1833230099874202,2.482510447181399,13.541728598890838,1,1659602633506
42,0.18690174009816632,2.2637932031557444,12.11221041584061,1,1659602633547
43,0.18356097353407036,2.3973575236727176,13.060278977152784,1,1659602633588
44,0.18080459669447224,2.4199468259130903,13.384321362151937,1,1659602633635
45,0.18187349512207068,2.3433150855256004,12.884313263748538,1,1659602633669
46,0.18129731430936183,2.473824145142741,13.645122954890885,1,1659602633709
47,0.17856279982800752,2.449273014471595,13.71659167996215,1,1659602633755
48,0.18341884851681003,2.4441033409171555,13.325257249628613,1,1659602633792
49,0.18187079980235918,2.5756060054459944,14.161734639342496,1,1659602633833
50,0.17444255753092894,2.5156435772287615,14.421042736562343,1,1659602633878
51,0.18228476859458606,2.526166057123892,13.858349639416447,1,1659602633914
52,0.17956242488811483,2.5052376862637873,13.951903845277197,1,1659602633957
53,0.18478290994809474,2.5248304718736794,13.663766159884053,1,1659602634000
54,0.18710424304548554,2.3998451315354115,12.826246441412891,1,1659602634051
55,0.17555392596036065,2.422632390661626,13.799932854869029,1,1659602634090
56,0.02900177788070294,2.614134586423924,90.13704598307761,1,1659602634136
57,0.018695757275038475,2.3964030924528554,128.17897971174446,1,1659602634172
58,0.021103454298485765,2.3838867220296738,112.96192027675416,1,1659602634211
59,0.030835485746192683,2.433049465803185,78.90420426094953,1,1659602634250
60,0.05879700355841307,2.4088494828460716,40.968915711035365,1,1659602634293
61,0.11771080995235364,2.561701891215206,21.762673217966285,1,1659602634333
62,0.13166511386132526,2.6729337071043378,20.30100175145539,1,1659602634375
63,0.14257078843728396,2.6471638854114383,18.567365127365555,1,1659602634419
64,0.14653537927153856,2.596942377017296,17.72228925142379,1,1659602634462
65,0.15785680670132524,2.555495074943441,16.18869105707044,1,1659602634509
66,0.15816014187905203,2.4799284543399,15.67985729449046,1,1659602634553
67,0.15625225851542368,2.5414883918988,16.265290601530275,1,1659602634601
68,0.1622296793268375,2.558791568284132,15.772647636990266,1,1659602634648
69,0.16216961797960963,2.420187246422334,14.923801859893606,1,1659602634687
70,0.16165681289553094,2.5155115834494532,15.560813914320313,1,1659602634727
71,0.16785142384036397,2.433993053299193,14.500878202940093,1,1659602634773
72,0.17234940308681393,2.483641123084148,14.410500289537504,1,1659602634824
73,0.1686781654294425,2.4510114926617588,14.530698068844059,1,1659602634865
74,0.16748700887574328,2.4763835602075086,14.785526213825394,1,1659602634903
75,0.15923203677753414,2.424063389238556,15.223465317003118,1,1659602634950
76,0.15371567916784934,2.5315971205334957,16.469348697793713,1,1659602634991
77,0.1544391819710765,2.3845191648544897,15.439858813167401,1,1659602635036
78,0.1536072544745409,2.375957440563456,15.4677423842456,1,1659602635079
79,0.1573970481083648,2.383697940893461,15.144489490376792,1,1659602635126
80,0.15621610241715644,2.4104753677888615,15.430389892534734,1,1659602635171
81,0.15932608610138763,2.3277321299559874,14.609861993815176,1,1659602635224
82,0.15057297263234895,2.4438441471246724,16.230297538800393,1,1659602635266
83,0.15794956873676844,2.508958676024415,15.884555406452114,1,1659602635316
84,0.15935654654116782,2.513543901750149,15.773082162650944,1,1659602635356
85,0.16384356853015614,2.5010813924120723,15.265056876197963,1,1659602635397
86,0.1665701552245603,2.5817638494967143,15.499558405382578,1,1659602635441
87,0.16472801653081903,2.4785558025885206,15.046352495386275,1,1659602635485
88,0.16544827799675774,2.4286051383699245,14.678938746147104,1,1659602635528
89,0.16278833664255873,2.419593179157253,14.863430814887288,1,1659602635571
90,0.16684765966543916,2.4155970323284053,14.477859846354034,1,1659602635616
91,0.165433659760141,2.4340708063056273,14.713274250444188,1,1659602635658
92,0.16346310623568092,2.409811766737284,14.742236472998501,1,1659602635698
93,0.160871498534622,2.41160874335818,14.990901218211537,1,1659602635739
94,0.16978999579714216,2.363530825681726,13.920318535760916,1,1659602635780
95,0.16867271208513848,2.349314814517719,13.928244737844077,1,1659602635820
96,0.1673482508053861,2.343171514757011,14.001768787424913,1,1659602635860
97,0.17346121882761048,2.366233844754986,13.641284551947031,1,1659602635906
98,0.16698797785049352,2.3774975291324956,14.23753709540156,1,1659602635950
99,0.16320471069971004,2.3369056788988978,14.318861685302137,1,1659602635990
100,0.16377549885874598,2.357270584428881,14.39330425402638,1,1659602636029
101,0.16709658915515682,2.335661276923038,13.977911151461443,1,1659602636077
102,0.16595031378429095,2.303126562435935,13.878410410417382,1,1659602636124
103,0.15945017344179224,2.3708664899925065,14.869011671900115,1,1659602636176
104,0.16697458937825238,2.3788678620365022,14.246885534466468,1,1659602636226
105,0.16757876363980118,2.34583718762785,13.998415650506068,1,1659602636288
106,0.17035227285433444,2.350150833957056,13.795829046358737,1,1659602636348
107,0.16367803883827114,2.3437025948467114,14.31898018501128,1,1659602636395
108,0.15881278656890074,2.3292305711053016,14.666517863124124,1,1659602636450
109,0.15638621697973176,2.503361677140689,16.00755952466792,1,1659602636495
110,0.1583190507864065,2.4547646088447634,15.50517512991262,1,1659602636547
111,0.16238268304488798,2.457885817023621,15.136378897891344,1,1659602636591
112,0.16163844579281353,2.5080213810710217,15.516242863939544,1,1659602636638
113,0.165200112275267,2.387042562004403,14.449400361344548,1,1659602636678
114,0.16339991118424232,2.4266790173415993,14.85116484919864,1,1659602636730
115,0.16554206722359768,2.474418218851946,14.947368124319416,1,1659602636773
116,0.17182191293534657,2.478020119430915,14.422026137977804,1,1659602636819
117,0.16787547816442416,2.5351972963529565,15.10165346406269,1,1659602636870
118,0.16765257067912193,2.451895967952855,14.624863537855635,1,1659602636915
119,0.14472722864773976,2.4346136356697525,16.822084264430323,1,1659602636958
120,0.019942125623397814,2.445243570631775,122.61699764657011,1,1659602637008
121,0.02452962785016983,2.3403706530517563,95.40995352016941,1,1659602637049
122,0.032697200825667176,2.4588006704657857,75.19911822346691,1,1659602637098
123,0.09455011811282744,2.536265385719773,26.82456073395092,1,1659602637143
124,0.11814548499352602,2.4483270284946252,20.722984281868964,1,1659602637192
125,0.12802543596488544,2.3738980694782357,18.54239395153744,1,1659602637233
126,0.13656599972474576,2.3952950303363676,17.53946835350073,1,1659602637278
127,0.14779649618746435,2.4563093785539913,16.619537282118113,1,1659602637315
128,0.15528381548310716,2.445408371836677,15.74799256592652,1,1659602637357
129,0.15674370722982275,2.462053573747772,15.707511435453217,1,1659602637408
130,0.1628024913720111,2.4247683235053965,14.893926395540781,1,1659602637460
131,0.16675764142952093,2.4478378699526533,14.679014700428086,1,1659602637520
132,0.16667535253432514,2.207161249248594,13.24227737147909,1,1659602637575
133,0.16455115421755176,2.39022458829278,14.525723624719662,1,1659602637630
134,0.1693410311428297,2.444185272139063,14.433508852780808,1,1659602637681
135,0.17033079503751897,2.4077753902109023,14.135878304804123,1,1659602637728
136,0.17141145286766038,2.424240731339284,14.14281654336679,1,1659602637776
137,0.1692157756902736,2.4698007107106563,14.59557006807267,1,1659602637819
138,0.16351002765944816,2.4037036995949945,14.70065007022889,1,1659602637864
139,0.16810363173187665,2.4821506635941937,14.765598089833034,1,1659602637912
140,0.16317847577218056,2.504413261547618,15.347693681390435,1,1659602637967
141,0.16622384105895713,2.626438151876624,15.800610400676913,1,1659602638017
142,0.17003617782652478,2.554694879344056,15.024419579405157,1,1659602638061
143,0.16904968986333943,2.5250833345469235,14.936929707402674,1,1659602638108
144,0.1658276502691191,2.483687250707322,14.977521822666997,1,1659602638152
145,0.16906488867332028,2.5273440412214234,14.94895871670282,1,1659602638195
146,0.17154147998957112,2.495841396861135,14.549492035470779,1,1659602638243
147,0.17249429938630687,2.409543177314447,13.968827873657395,1,1659602638284
148,0.16733438112621393,2.363269946855096,14.123038738061677,1,1659602638326
149,0.1648209065033413,2.2995689523987153,13.951925160368521,1,1659602638378
150,0.16675078517390327,2.368348733136968,14.202924026216929,1,1659602638423
151,0.16489463103070026,2.404650320580261,14.582950976327185,1,1659602638466
152,0.16821496750128556,2.3668460151521495,14.07036514235311,1,1659602638517
153,0.16283168493218084,2.408745045768805,14.792852182129318,1,1659602638569
154,0.1689780915974707,2.392592161009516,14.159185598503521,1,1659602638613
155,0.17474120227682907,2.3988453897360644,13.72798949806788,1,1659602638661
156,0.16415345187051655,2.3638978341105874,14.400536858495176,1,1659602638706
157,0.1669290297435103,2.343674170330739,14.03994364510379,1,1659602638748
158,0.16439358429359577,2.3036964580222516,14.01329904643971,1,1659602638787
159,0.16676237183362988,2.3427965244845628,14.048711940975801,1,1659602638846
160,0.16637117453032785,2.3179930426147837,13.932660204861607,1,1659602638891
161,0.1699189027527415,2.3265832768156085,13.692315799620895,1,1659602638935
162,0.16352801016280172,2.2674052214193474,13.865546453858348,1,1659602638979
163,0.16950846395067604,2.3560783047018456,13.899472921820722,1,1659602639023
164,0.16589441002667785,2.3457795621808444,14.140196537084128,1,1659602639064
165,0.16822203691300402,2.5717907803867894,15.288072999120741,1,1659602639102
166,0.16538820587740183,2.827603631532351,17.096767067105038,1,1659602639159
167,0.16935930807089034,2.7686527772563365,16.347804019708413,1,1659602639209
168,0.16500010991945874,2.7305565176451196,16.54881635520111,1,1659602639255
169,0.16411432955944666,2.6795390263546723,16.32727034590889,1,1659602639305
170,0.16305429665474572,2.663458268725204,16.33479352196932,1,1659602639358
171,0.16592970226286968,2.722415695909203,16.40704261372258,1,1659602639408
172,0.16451754362902096,2.7290990750963737,16.58849880016662,1,1659602639451
173,0.16506811086502798,2.632853156944539,15.950101707393722,1,1659602639507
174,0.16094649098656486,2.1460441546281332,13.333898375002635,1,1659602639554
175,0.15617034754413567,1.6591577800382458,10.624025662549975,1,1659602639598
176,0.15364460352375575,1.4058857391394082,9.150244830577712,1,1659602639641
177,0.15430075234389418,1.440338409584579,9.334616893989335,1,1659602639690
178,0.15702892994568513,1.644455441331527,10.472308777117243,1,1659602639736
179,0.14826301873839845,2.019433434941261,13.620614581606725,1,1659602639782
180,0.14636458500885627,2.2788099872833794,15.569408317903491,1,1659602639828
181,0.15133757550806567,2.3101367814246325,15.264793120076856,1,1659602639873
182,0.14976775380841115,2.7283290126079454,18.21706571160927,1,1659602639918
183,0.1460074992188796,2.503895766484722,17.149090148658296,1,1659602639963
184,0.14487272391310813,2.5104103903761197,17.328385375578467,1,1659602640007
185,0.1499712056538337,2.591964847681845,17.283083351777982,1,1659602640053
186,0.15045632281453675,2.781808519190407,18.489143341748846,1,1659602640101
187,0.15145750241383288,2.7468799417061325,18.136308191592462,1,1659602640145
188,0.15814133797580537,2.809276692818181,17.76434124547487,1,1659602640190
189,0.15129132518040286,2.9570985360442603,19.54572433362029,1,1659602640238
190,0.1421784956210336,2.5900557442515035,18.216930295528712,1,1659602640282
191,0.14131982921739686,2.483696945963147,17.575006704419348,1,1659602640330
