FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR,MAR,MOEAR
1,0.4858144642222702,0.42611679471843605,0.45596562947035313,0.05969766950383415,0.45596562947035313,4.426546967689635,9.708071577306134
2,0.49277795630599214,0.4135125894750255,0.4531452728905088,0.07926536683096663,0.4531452728905088,4.38085706633177,9.667665820250749
3,0.5195493179055611,0.45127892306036554,0.48541412048296334,0.06827039484519559,0.48541412048296334,4.476079992170231,9.221157365007738
4,0.509427233514368,0.4136068889465592,0.46151706123046365,0.0958203445678088,0.46151706123046365,4.900633480378456,10.61853156048606
5,0.5143544297634177,0.4269323492668244,0.4706433895151211,0.08742208049659334,0.4706433895151211,4.4099604236718415,9.370067702884747
6,0.5116189457791529,0.4462434771882121,0.4789312114836825,0.06537546859094079,0.4789312114836825,4.90263641210699,10.236619152297669
7,0.5289642050650538,0.44701355636097045,0.48798888071301216,0.08195064870408336,0.48798888071301216,4.752191294084004,9.738318805831117
8,0.5261101253029282,0.4194492132238112,0.4727796692633697,0.10666091207911704,0.4727796692633697,4.531898390983196,9.58564567305585
9,0.5190020086339934,0.4424401809371879,0.48072109478559066,0.07656182769680547,0.48072109478559066,4.817427844295107,10.021253272531668
10,0.5081792787699112,0.4671309428856289,0.48765511082777,0.041048335884282305,0.48765511082777,4.790051365133672,9.82262106717758
11,0.5075301068608874,0.46504037226147377,0.4862852395611806,0.04248973459941363,0.4862852395611806,4.799184355362825,9.869072644881356
12,0.5123452783704138,0.43283699557058686,0.4725911369705003,0.07950828279982691,0.4725911369705003,4.476789385395703,9.472859381353885
13,0.4947914637600596,0.43516937076230766,0.46498041726118367,0.05962209299775195,0.46498041726118367,4.693887231271438,10.09480626930325
14,0.5161508526806259,0.4472111719242192,0.48168101230242255,0.06893968075640666,0.48168101230242255,4.865327142865697,10.100724376926467
15,0.506165881206543,0.42944591421119527,0.46780589770886916,0.07671996699534778,0.46780589770886916,4.374990454560144,9.352148991680398
16,0.5254862613595809,0.45819342977722616,0.49183984556840354,0.06729283158235472,0.49183984556840354,4.665780420959455,9.486381518291513
17,0.5257548425901398,0.4564921180738602,0.49112348033200004,0.06926272451627963,0.49112348033200004,4.50841027552791,9.179789719034039
18,0.522490977254398,0.44736334726781163,0.48492716226110477,0.07512762998658634,0.48492716226110477,4.643144644331562,9.574932083988939
19,0.5419776423342717,0.4463147251655795,0.4941461837499256,0.09566291716869219,0.4941461837499256,4.584473126425047,9.277564569324143
20,0.4975261625153042,0.3977281152461017,0.44762713888070293,0.0997980472692025,0.44762713888070293,4.544964340094459,10.153460202299613
21,0.4830999800696966,0.4014736434629147,0.4422868117663057,0.08162633660678192,0.4422868117663057,4.447856189118081,10.056497437387366
22,0.47812934796437107,0.4319145350159791,0.45502194149017505,0.04621481294839197,0.45502194149017505,4.502521766429445,9.895175058336532
23,0.47695042670403925,0.43310729845586504,0.4550288625799521,0.04384312824817421,0.4550288625799521,4.644678851936325,10.207437887789412
