FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.2634285744437322,0.3654071233861491,0.3144178489149406,[0.38621879 0.37837553],[0.39755309 0.36866531],[0.41123039 0.36785313],[0.4232803  0.37218374],[0.40906563 0.37742004],[0.39634824 0.37858036],1663676477423
2,0.2734962137723279,0.3882371345090004,0.3308666741406642,[0.38764817 0.37459981],[0.40120608 0.36488071],[0.41500685 0.36445877],[0.42581803 0.36862502],[0.41342199 0.37461272],[0.39997911 0.37566712],1663676477453
3,0.26933963505148556,0.3248696091431187,0.29710462209730215,[0.388383   0.37409475],[0.40214321 0.36446512],[0.4160451  0.36417663],[0.42715138 0.36859131],[0.41415641 0.37427691],[0.40060061 0.37517232],1663676477476
4,0.27644351586848126,0.295122250846102,0.28578288335729163,[0.38625467 0.37656543],[0.39912581 0.36628813],[0.41306841 0.36563334],[0.42458001 0.37029403],[0.41144416 0.37599179],[0.3980175  0.37721846],1663676477499
5,0.27677743683197337,0.3283033848548276,0.30254041084340044,[0.38160545 0.37328389],[0.39483762 0.36304036],[0.40886077 0.36281502],[0.42002282 0.36742437],[0.40766969 0.37297851],[0.39418295 0.37430036],1663676477523
6,0.2741881839245127,0.33513784933639945,0.3046630166304561,[0.37913778 0.37135601],[0.39183724 0.36149156],[0.40541196 0.36132079],[0.41659901 0.3657293 ],[0.40419671 0.37112111],[0.39109805 0.37236437],1663676477543
7,0.2796834359828129,0.35809337449649925,0.3188884052396561,[0.37923509 0.37470245],[0.39127961 0.36397058],[0.40531015 0.36336336],[0.41698146 0.36828423],[0.40401304 0.37361881],[0.39076915 0.37503877],1663676477568
8,0.2788200827306848,0.37556835610385303,0.3271942194172689,[0.3822124  0.37418142],[0.39396724 0.36345607],[0.40820959 0.36272341],[0.42024288 0.36770239],[0.40688848 0.3730993 ],[0.39367384 0.3745054 ],1663676477590
9,0.2827175880326165,0.37051481570567424,0.32661620186914536,[0.3851774  0.37357616],[0.39703062 0.36250642],[0.41124019 0.36196983],[0.4232839  0.36742783],[0.40959585 0.3724609 ],[0.39643049 0.3736966 ],1663676477609
10,0.2805333297437584,0.3425466887665403,0.31154000925514935,[0.38410848 0.37565351],[0.39615577 0.36504692],[0.40994433 0.36447364],[0.42167377 0.36953574],[0.40859506 0.37472346],[0.39556527 0.37604713],1663676477628
11,0.2870786927313605,0.33932356795842555,0.31320113034489305,[0.38118327 0.37521744],[0.39357045 0.36462632],[0.40728381 0.36430874],[0.41874939 0.36950731],[0.40562418 0.37471941],[0.39264154 0.37586248],1663676477651
12,0.2794443826369401,0.3194916460199134,0.29946801432842673,[0.37794173 0.37559643],[0.39015543 0.36496571],[0.40391174 0.36443096],[0.41559601 0.36935616],[0.4025192  0.37463021],[0.38954744 0.37598667],1663676477674
13,0.2838316466163951,0.32036674753406696,0.30209919707523103,[0.37698153 0.37690026],[0.38886616 0.3657628 ],[0.40285847 0.36501119],[0.41489795 0.37039441],[0.40168813 0.37552828],[0.38864544 0.37701693],1663676477696
14,0.2807082645019128,0.33187650195150536,0.30629238322670904,[0.37776574 0.37687564],[0.38977316 0.36620596],[0.40380773 0.36545607],[0.41578734 0.37041262],[0.40251598 0.37591627],[0.38931856 0.37730914],1663676477717
15,0.28490956741633133,0.32970153418793374,0.3073055508021325,[0.3777518  0.37741238],[0.39030334 0.36660984],[0.40465498 0.36569476],[0.41660157 0.37063611],[0.40331146 0.37663013],[0.38968161 0.37804693],1663676477740
16,0.2809537043895616,0.30662995467260085,0.2937918295310812,[0.37704486 0.37889165],[0.38911057 0.36780208],[0.40332061 0.366855  ],[0.41542846 0.37213567],[0.4019033  0.37747493],[0.38860977 0.37897635],1663676477760
17,0.2762380891133649,0.32994638391466563,0.3030922365140153,[0.37678868 0.37902203],[0.38861743 0.36825332],[0.40252763 0.3673462 ],[0.41444057 0.37226364],[0.4013356 0.3775681],[0.38828635 0.37909132],1663676477781
18,0.28759325182448037,0.3616012148840322,0.3245972333542563,[0.37650526 0.38269323],[0.38815829 0.37153611],[0.4021278  0.37075692],[0.41412568 0.37594143],[0.40084937 0.38135704],[0.38783857 0.38283914],1663676477803
19,0.2935960130105467,0.2958595273435756,0.2947277701770612,[0.3750217 0.3852365],[0.38675785 0.37417293],[0.40037563 0.37356868],[0.41213161 0.3784683 ],[0.39884743 0.38420326],[0.38608509 0.38555935],1663676477825
20,0.2988313894364521,0.3740977846825651,0.3364645870595086,[0.37511137 0.38909325],[0.38574204 0.37743598],[0.40001947 0.37696621],[0.4127818  0.38262367],[0.39862466 0.38796818],[0.38581178 0.38918957],1663676477846
21,0.2895438038715267,0.3520893966779376,0.32081660027473213,[0.37267444 0.39378545],[0.38347372 0.38238299],[0.39740413 0.3818441 ],[0.40981254 0.38705331],[0.39562908 0.39230761],[0.38303512 0.39361814],1663676477867
