FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
28,0.267345857535263,0.31326038242922455,0.2903031199822438,[0.53195208 0.35669589],[0.5450958  0.34847254],[0.5588066  0.34978324],[0.56979978 0.35541177],[0.55603379 0.35912389],[0.54314619 0.35879502],1663675350540
29,0.26400144109513324,0.2879278945944616,0.27596466784479745,[0.53033239 0.35471404],[0.54368925 0.34647316],[0.55763984 0.3475551 ],[0.56866688 0.35320958],[0.5549413  0.35701394],[0.54178661 0.35671803],1663675350562
30,0.25165621818905765,0.31292060392361265,0.2822884110563352,[0.52791172 0.35637656],[0.54155874 0.34904134],[0.55496126 0.35054454],[0.56553519 0.35558942],[0.55233634 0.35915756],[0.53948677 0.35875928],1663675350587
31,0.2509589309223529,0.3040122868113052,0.27748560886682905,[0.52375424 0.355847  ],[0.53749198 0.34808618],[0.55130547 0.34923941],[0.56191438 0.35429212],[0.54889292 0.35810629],[0.53572184 0.35790786],1663675350612
32,0.2713388952389344,0.29876538210816395,0.28505213867354917,[0.52322894 0.35485831],[0.53609484 0.34637773],[0.54975349 0.34753311],[0.56070983 0.35311973],[0.54736698 0.35697797],[0.53451675 0.35688004],1663675350633
33,0.25622716800253736,0.29471477199219737,0.27547096999736737,[0.52095723 0.35543075],[0.53425872 0.34785706],[0.54754072 0.34912965],[0.55828393 0.35402903],[0.54496485 0.35795957],[0.53224599 0.35759497],1663675350654
34,0.2513293044302175,0.33358852125320754,0.29245891284171255,[0.51683807 0.35562325],[0.53070009 0.34772214],[0.54444844 0.34899962],[0.55544001 0.35414657],[0.54202116 0.35795575],[0.52882028 0.35768491],1663675350679
35,0.23828655811602026,0.30639207635024307,0.27233931723313165,[0.51153362 0.35891217],[0.52450687 0.35126084],[0.53788835 0.352011  ],[0.54900032 0.35656947],[0.53622949 0.36029518],[0.52334684 0.36063117],1663675350699
36,0.2560931315380331,0.30745350641627806,0.2817733189771556,[0.50323617 0.36324081],[0.51621783 0.35461086],[0.52991098 0.35514989],[0.54131949 0.36013031],[0.52811879 0.3643477 ],[0.51509887 0.36474922],1663675350720
37,0.26870574124334745,0.3373798371734203,0.3030427892083839,[0.49892095 0.36286354],[0.511397   0.35350388],[0.52540904 0.35360959],[0.53701812 0.35819834],[0.52398086 0.36335236],[0.5108068  0.36426762],1663675350744
38,0.26454791042041875,0.32584196596084436,0.2951949381906316,[0.4999533  0.36532217],[0.51248354 0.35617608],[0.52645338 0.35651511],[0.53817624 0.36114919],[0.52472144 0.36609888],[0.51169479 0.36675146],1663675350764
39,0.27992517708934256,0.3265620907494196,0.3032436339193811,[0.50401825 0.3649883 ],[0.51540649 0.35483536],[0.52976376 0.3546392 ],[0.54189199 0.35942453],[0.52855098 0.3648113 ],[0.51553673 0.36602166],1663675350787
40,0.2872863858568884,0.35541003997897397,0.3213482129179312,[0.50774837 0.36196736],[0.5192892  0.35151124],[0.53353375 0.35155478],[0.54586327 0.35720375],[0.53171068 0.36208665],[0.51880246 0.36288249],1663675350807
41,0.2817760650880589,0.3092765197009628,0.2955262923945109,[0.51145703 0.36151439],[0.52366263 0.35166803],[0.53807676 0.35202003],[0.54992837 0.35752469],[0.53623885 0.3623279 ],[0.52306521 0.3629787 ],1663675350832
42,0.2900426479592973,0.3351816832119544,0.3126121655856259,[0.51692677 0.35878798],[0.5279547  0.34823772],[0.5422377  0.34865022],[0.55462909 0.3549346 ],[0.54019493 0.3590591 ],[0.52751762 0.35960639],1663675350852
43,0.273193721082998,0.30569734287254613,0.28944553197777206,[0.52072507 0.35715178],[0.53185904 0.34720084],[0.54608703 0.34748369],[0.55823195 0.35367733],[0.54417694 0.35724789],[0.53151608 0.35782707],1663675350872
44,0.26020896176861774,0.31347922922528604,0.2868440954969519,[0.52003682 0.35432929],[0.53241444 0.34534654],[0.54636186 0.34583917],[0.55762994 0.3514227 ],[0.54404849 0.35508597],[0.53126651 0.35537177],1663675350894
45,0.2691186548371638,0.33310586386687563,0.3011122593520197,[0.5148201  0.35426426],[0.52677977 0.34491986],[0.54074639 0.34492084],[0.55230367 0.35023531],[0.53885716 0.3546038 ],[0.52600133 0.35531649],1663675350915
46,0.24601023924803742,0.3358024415603241,0.2909063404041808,[0.50419682 0.35614625],[0.51671565 0.34767368],[0.53036928 0.34781408],[0.54162282 0.35246134],[0.5289551  0.35657388],[0.51602203 0.35727885],1663675350937
47,0.2545861394439413,0.3099565475722116,0.2822713435080765,[0.4932321  0.36071685],[0.50579405 0.35193643],[0.51932216 0.35205117],[0.53037435 0.35630125],[0.517847   0.36104608],[0.5050469  0.36183819],1663675350961
48,0.25712851252355196,0.31201028657285895,0.2845693995482055,[0.48291999 0.36651337],[0.49476108 0.35706729],[0.50834978 0.3567093 ],[0.51995736 0.3609302 ],[0.50719452 0.36588115],[0.49443501 0.36707959],1663675350982
49,0.2743727598475162,0.3349716006734802,0.3046721802604982,[0.47260118 0.36983541],[0.48410881 0.3597399 ],[0.49776858 0.35951254],[0.50958967 0.36384428],[0.49681598 0.36923066],[0.48415005 0.37053692],1663675351004
50,0.2937106647134119,0.31884851361951355,0.3062795891664627,[0.46982473 0.37104774],[0.47871426 0.35996801],[0.49237993 0.35907125],[0.50539654 0.3636696 ],[0.49193713 0.36921948],[0.47998655 0.3710779 ],1663675351028
51,0.30074429380153994,0.3176018685001067,0.3091730811508233,[0.46965376 0.37122267],[0.47798702 0.3594065 ],[0.49180058 0.35806581],[0.50526047 0.362629  ],[0.49162504 0.368586  ],[0.47961721 0.37080079],1663675351049
52,0.27804150354422014,0.3429087439643722,0.3104751237542962,[0.4725827  0.36878148],[0.48104849 0.35739687],[0.49466008 0.35579601],[0.50801176 0.36004561],[0.4943161  0.36559951],[0.48245457 0.36778417],1663675351071
53,0.2853382394277615,0.3498327471313749,0.3175854932795682,[0.47834015 0.36737746],[0.48644868 0.35579276],[0.50019425 0.35427499],[0.51392078 0.35899705],[0.49983853 0.36433816],[0.48792452 0.36648256],1663675351093
54,0.30899154848540333,0.3198431392172348,0.31441734385131903,[0.47992584 0.36767584],[0.48837551 0.35583484],[0.50226074 0.35463148],[0.51564568 0.35941193],[0.50199479 0.36545974],[0.48997554 0.36755189],1663675351116
55,0.28472682306297287,0.32673469894399454,0.30573076100348373,[0.47950941 0.36759251],[0.48837146 0.35605958],[0.50239003 0.35473335],[0.5158931  0.35948038],[0.50191933 0.36492884],[0.48964834 0.36700657],1663675351137
56,0.28258854818042556,0.3356442132502068,0.3091163807153162,[0.47473934 0.36917636],[0.48511994 0.35820752],[0.49915585 0.35731822],[0.51191258 0.36186379],[0.49876308 0.36751559],[0.48613298 0.36936882],1663675351158
57,0.2861413862733391,0.33155872591138896,0.30885005609236404,[0.47391832 0.36944216],[0.48250741 0.35809374],[0.4963789  0.35694617],[0.50996566 0.36149204],[0.49624798 0.36698148],[0.48420012 0.36905265],1663675351179
58,0.27660764663440507,0.3314284010062274,0.30401802382031623,[0.47333163 0.36996657],[0.4821113  0.35872301],[0.49583009 0.35735595],[0.50910932 0.36158374],[0.49567989 0.36703804],[0.48366162 0.36925507],1663675351200
59,0.27989320091119113,0.344467419904512,0.31218031040785155,[0.47335902 0.3695187 ],[0.48141283 0.35794315],[0.49516153 0.35633183],[0.5088675  0.36074084],[0.49508199 0.36615944],[0.48320517 0.36843878],1663675351221
60,0.2704452586957076,0.3371495474526255,0.3037974030741666,[0.47231826 0.36874858],[0.48089939 0.35727564],[0.49449217 0.35553861],[0.50786126 0.3597191 ],[0.49430108 0.36509043],[0.48234272 0.36745563],1663675351245
61,0.29389181470295356,0.3465571023353174,0.3202244585191355,[0.47247949 0.36882019],[0.48102719 0.35726109],[0.49490583 0.35557494],[0.50814557 0.35951173],[0.49523354 0.36589807],[0.48301858 0.36842266],1663675351269
62,0.2802724813192058,0.34237511848200786,0.3113237999006068,[0.47206616 0.3682459 ],[0.48074394 0.35670054],[0.49418223 0.35490862],[0.50722289 0.35876331],[0.49420458 0.36469245],[0.48224229 0.36722171],1663675351291
63,0.2842683156188957,0.3452574369441306,0.3147628762815131,[0.4714922  0.36940941],[0.47963217 0.35784099],[0.49296317 0.35580173],[0.5062477  0.35956994],[0.49314129 0.36565894],[0.48134106 0.3683809 ],1663675351314
64,0.28388426219779833,0.355809437837315,0.31984685001755664,[0.47027743 0.36973077],[0.47844997 0.35798219],[0.4917599  0.35603008],[0.50486755 0.35996592],[0.49194887 0.36577621],[0.48022592 0.36849198],1663675351336
65,0.28735387717827593,0.34673758491157636,0.31704573104492617,[0.46820766 0.37061408],[0.47668272 0.3593553 ],[0.48980778 0.35748884],[0.50258404 0.36088574],[0.49028584 0.3672446 ],[0.47849089 0.36996713],1663675351357
66,0.2804335713604786,0.3781516760115805,0.3292926236860295,[0.47134036 0.3693738 ],[0.47921515 0.35754624],[0.49267277 0.35562479],[0.50631201 0.35968706],[0.49267033 0.36543858],[0.48097706 0.36793712],1663675351385
67,0.28792087049980536,0.34737782622382984,0.3176493483618176,[0.47647527 0.36819446],[0.48472083 0.35670382],[0.49808684 0.35475039],[0.51133025 0.35872602],[0.49832812 0.36472523],[0.48645598 0.36738437],1663675351407
68,0.2739452774343197,0.36533023926889574,0.3196377583516077,[0.48140022 0.36350799],[0.4913961  0.35292029],[0.5045625  0.35172957],[0.51683921 0.35580614],[0.5042842  0.36120445],[0.49219772 0.3632803 ],1663675351430
69,0.27282155658730206,0.3524724193854303,0.31264698798636614,[0.4845525  0.36405089],[0.49474472 0.3531943 ],[0.50842977 0.35177642],[0.52100444 0.35593778],[0.50822693 0.36157775],[0.49568921 0.36372504],1663675351448
70,0.2853176936556849,0.3467070396988211,0.31601236667725296,[0.48602304 0.36346471],[0.49566421 0.35173848],[0.5095039  0.35045806],[0.52247733 0.35568964],[0.50911307 0.36066225],[0.49678221 0.36274013],1663675351469
71,0.283567111867778,0.33294967881543563,0.3082583953416068,[0.48720032 0.36242953],[0.49654457 0.35066015],[0.51064187 0.34933314],[0.52390999 0.3547152 ],[0.51029867 0.35955352],[0.49793133 0.36162066],1663675351488
72,0.27821997881266747,0.317764016039159,0.2979919974259132,[0.48782644 0.36265662],[0.49708614 0.35104674],[0.51095152 0.34961128],[0.52407062 0.35494795],[0.51062268 0.35951936],[0.49839422 0.36167181],1663675351509
73,0.2623237184084258,0.31362946911350376,0.28797659376096474,[0.48698983 0.3572346 ],[0.49677125 0.34787935],[0.50992835 0.34702313],[0.52240783 0.35121194],[0.50976127 0.35599849],[0.49767995 0.35770923],1663675351531
74,0.05843314935482507,0.12905251919022676,0.09374283427252592,[0.48579538 0.35857439],[0.49767789 0.35681492],[0.51139355 0.35563463],[0.52417088 0.3540222 ],[0.51090115 0.35781735],[0.49737188 0.35907295],1663675351550
75,0.06734651920778525,0.22742517300238066,0.14738584610508296,[0.48417205 0.35388088],[0.49582511 0.35140505],[0.50895113 0.35047114],[0.52147228 0.34969023],[0.50762671 0.35264933],[0.4947153  0.35365242],1663675351571
76,0.22750289378548286,0.3286897013145899,0.2780962975500364,[0.48352271 0.35771871],[0.49377161 0.34854186],[0.50673378 0.3471486 ],[0.51868474 0.35110742],[0.50588167 0.35501969],[0.49395931 0.35690194],1663675351593
77,0.24356785057869942,0.3169000560754379,0.2802339533270687,[0.48294878 0.35693902],[0.49432924 0.34704983],[0.50782573 0.34538564],[0.51991576 0.34940761],[0.50710702 0.3543396 ],[0.49442834 0.35644442],1663675351612
78,0.2355727702924799,0.33111212568993964,0.2833424479912098,[0.4853065  0.35702261],[0.4958995  0.34761539],[0.5090431  0.34645474],[0.52098727 0.35076946],[0.50788152 0.35466978],[0.4958759  0.35638565],1663675351636
79,0.22517304711910127,0.31148893950117096,0.2683309933101361,[0.48623008 0.35815418],[0.49576828 0.348831  ],[0.508708   0.34769008],[0.52127504 0.35227084],[0.50732142 0.35539523],[0.49577275 0.3570053 ],1663675351655
