FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.2953502596647995,0.25405483541244045,0.27470254753862,[0.48622224 0.36412284],[0.49730965 0.35332114],[0.51120859 0.35276768],[0.52311748 0.35801166],[0.50912631 0.36345914],[0.49653521 0.36449295],1663675153433
2,0.2984383192023961,0.3037027041662721,0.3010705116843341,[0.48684049 0.36366948],[0.4975338  0.35192478],[0.51172155 0.3506403 ],[0.52413529 0.35653558],[0.51023895 0.3617444 ],[0.49738187 0.36338511],1663675153455
3,0.272223909797074,0.2744375239149182,0.2733307168559961,[0.48909178 0.36327982],[0.49950212 0.35165849],[0.51389182 0.35007784],[0.52694362 0.35614175],[0.5124082  0.36047116],[0.4995555  0.36213127],1663675153476
4,0.2699463940942754,0.2772036856557637,0.2735750398750195,[0.49032643 0.36300933],[0.50103092 0.35157564],[0.51528412 0.35004821],[0.52819538 0.35587144],[0.51391912 0.36035553],[0.50109082 0.36198336],1663675153498
5,0.2718225808072349,0.26434260230118384,0.2680825915542094,[0.4922182  0.36185008],[0.50253928 0.35050851],[0.51660943 0.34902421],[0.52961254 0.35480827],[0.51542437 0.35924023],[0.50275975 0.36090821],1663675153524
6,0.27090370911474393,0.3009526080469634,0.28592815858085363,[0.49153823 0.36025921],[0.50211012 0.34895632],[0.51632333 0.34765714],[0.52912611 0.35356599],[0.51498681 0.35782319],[0.50223553 0.35938779],1663675153543
7,0.2744130543077466,0.29499852890594797,0.2847057916068473,[0.49120396 0.35947222],[0.50217599 0.3483043 ],[0.51641548 0.34690854],[0.52914947 0.35249361],[0.51541513 0.35736644],[0.50238699 0.35897133],1663675153565
8,0.2675753905100023,0.302715291043689,0.2851453407768456,[0.49081984 0.35965714],[0.501728   0.34875539],[0.51582277 0.34747908],[0.52830654 0.35303384],[0.51445264 0.35748568],[0.50167328 0.35902703],1663675153589
9,0.26224018263195675,0.2722952803962532,0.267267731514105,[0.48983666 0.35931268],[0.50058693 0.34840423],[0.5147813  0.34713015],[0.52761811 0.35271719],[0.51363146 0.35701463],[0.50076586 0.35856682],1663675153607
10,0.27107306564753986,0.26018503985805774,0.2656290527527988,[0.48746821 0.35998094],[0.49873105 0.34922677],[0.51281732 0.34803835],[0.5251587  0.35316119],[0.51166791 0.35823104],[0.49863189 0.35973457],1663675153631
11,0.2837895519150476,0.2566158439342176,0.2702026979246326,[0.48620778 0.3607949 ],[0.49662915 0.34918386],[0.5109303  0.34784433],[0.52384281 0.35359558],[0.50952178 0.35855442],[0.49668109 0.36012959],1663675153658
12,0.2632005530287108,0.2696885082509712,0.26644453063984097,[0.48294204 0.36014852],[0.49354497 0.34918278],[0.50754452 0.34772581],[0.52008587 0.35250193],[0.50631356 0.35745665],[0.49363914 0.35933653],1663675153682
13,0.29302392558029167,0.2973314774230237,0.2951777015016577,[0.48169708 0.36188006],[0.49252534 0.3503359 ],[0.50715119 0.34899431],[0.51975822 0.35462925],[0.50609118 0.36013037],[0.49284711 0.36185181],1663675153702
14,0.29270808779053537,0.2779274807446946,0.285317784267615,[0.48253927 0.36334506],[0.4926241  0.35190088],[0.5067547 0.3507452],[0.51961863 0.35648462],[0.50571084 0.36150819],[0.49301928 0.36315572],1663675153724
15,0.28955460475641326,0.27226472635297677,0.280909665554695,[0.48478007 0.36403909],[0.49469405 0.35217592],[0.50910842 0.35039505],[0.5224424  0.35608426],[0.50775677 0.36147135],[0.49485993 0.36330801],1663675153745
16,0.2607093596598715,0.2809898575347324,0.27084960859730195,[0.48829755 0.36155611],[0.4982771  0.35052645],[0.51261067 0.34891352],[0.52584684 0.35397342],[0.5114547  0.35875222],[0.49866164 0.36058685],1663675153767
17,0.28001872003621453,0.28784701553556297,0.2839328677858888,[0.4917196  0.36012554],[0.50212592 0.34858787],[0.51672113 0.34710285],[0.52961451 0.35281578],[0.51528889 0.35776025],[0.50231922 0.35944673],1663675153791
18,0.27118249484970053,0.26865721170812823,0.2699198532789144,[0.49461171 0.3609426 ],[0.50619817 0.3503713 ],[0.52022952 0.34936175],[0.5321182  0.35451806],[0.51862466 0.35935113],[0.50574869 0.3608827 ],1663675153814
19,0.2608652150181091,0.27374203269395453,0.2673036238560318,[0.49833563 0.36018115],[0.50945789 0.34954485],[0.52366221 0.34862095],[0.53619576 0.35433403],[0.52182192 0.3583819 ],[0.5090127  0.35958904],1663675153837
20,0.2517640152337778,0.2625071072741464,0.2571355612539621,[0.5000146  0.35982805],[0.51147932 0.34942272],[0.5259189 0.3484278],[0.53836417 0.35411462],[0.5239988  0.35794693],[0.51096076 0.35922137],1663675153865
21,0.2721720841153692,0.29551042416298134,0.28384125413917527,[0.49944478 0.36246264],[0.51134515 0.35165697],[0.52568269 0.35085964],[0.53770018 0.35660923],[0.52404231 0.36105454],[0.51086187 0.36238652],1663675153891
22,0.2785451078080504,0.2900138576042653,0.2842794827061579,[0.50177008 0.361357  ],[0.51315266 0.35080734],[0.52732873 0.35020247],[0.53949636 0.35591885],[0.52528042 0.36055487],[0.51234961 0.36145818],1663675153915
23,0.2765098499532416,0.2909854317521895,0.28374764085271553,[0.50181746 0.36267614],[0.51415402 0.35279569],[0.528341   0.35277709],[0.53981072 0.3580986 ],[0.52637583 0.3629033 ],[0.51313609 0.36359566],1663675153936
24,0.28132256901388103,0.2825493921525979,0.28193598058323943,[0.50438493 0.36248296],[0.51660943 0.35211632],[0.53094852 0.35188904],[0.54274702 0.3577317 ],[0.52852809 0.3624649 ],[0.51531565 0.36293912],1663675153964
25,0.281434546568843,0.2608957272642647,0.27116513691655386,[0.50280422 0.36313501],[0.51563466 0.35283819],[0.53001422 0.3529081 ],[0.54134154 0.35875535],[0.52787912 0.3633461 ],[0.51453155 0.36396059],1663675153991
26,0.25844647783838354,0.26907737680445243,0.263761927321418,[0.5031302  0.36210394],[0.51474017 0.35182875],[0.52889776 0.35141128],[0.54087412 0.35734162],[0.52696544 0.36089504],[0.51411676 0.36179492],1663675154015
27,0.2779362543495074,0.28542250233902283,0.28167937834426515,[0.49766931 0.36264238],[0.51035124 0.35303178],[0.52423006 0.35348526],[0.53541481 0.35884818],[0.52223265 0.36342189],[0.50927156 0.36393046],1663675154039
28,0.27853182067177445,0.2792840915907908,0.2789079561312826,[0.49487463 0.36194229],[0.5067454  0.35157841],[0.52083403 0.35126474],[0.53241014 0.35677654],[0.51916015 0.3614167 ],[0.50618064 0.3623814 ],1663675154064
29,0.28260376409911864,0.28042340894531975,0.2815135865222192,[0.49242395 0.3631658 ],[0.50440806 0.35258287],[0.5185461 0.3522954],[0.53032124 0.35826874],[0.51673114 0.36271158],[0.50371063 0.36358559],1663675154088
30,0.2812654700896014,0.2965900302681135,0.2889277501788574,[0.49047247 0.36460832],[0.50234061 0.35418752],[0.51623231 0.35391441],[0.52775341 0.35940564],[0.51460421 0.36402872],[0.50173122 0.36510092],1663675154111
31,0.26521737354358843,0.29702868819275224,0.28112303086817036,[0.4905296  0.36269102],[0.50215018 0.35220134],[0.51638955 0.35136127],[0.52868581 0.35707101],[0.51497883 0.36136085],[0.50186551 0.36255658],1663675154134
32,0.26369043481138466,0.2918271446720875,0.27775878974173607,[0.49095586 0.36227399],[0.50236279 0.35162538],[0.51663524 0.35063803],[0.52907997 0.35647833],[0.51503551 0.36063784],[0.50203037 0.36182994],1663675154161
