FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.1294571169900781,0.43113488665616195,0.28029600182312003,0.30167776966608384,0.28029600182312003
2,0.2054753665535074,0.3270114702408337,0.2662434183971706,0.12153610368732631,0.2662434183971706
3,0.22055252108307707,0.3116430475326585,0.2660977843078678,0.0910905264495814,0.2660977843078678
4,0.2460758688101847,0.22224417740556549,0.2341600231078751,0.023831691404619215,0.2341600231078751
5,0.2096247769919716,0.23855161603154015,0.22408819651175588,0.028926839039568553,0.22408819651175588
6,0.19963685724116975,0.18132178184908868,0.1904793195451292,0.018315075392081076,0.1904793195451292
7,0.2387101330909134,0.2838034976715555,0.26125681538123446,0.04509336458064209,0.26125681538123446
8,0.2147165821026409,0.25877287707846863,0.23674472959055476,0.04405629497582772,0.23674472959055476
9,0.2154189752615869,0.3043785689664632,0.25989877211402507,0.0889595937048763,0.25989877211402507
10,0.21038321560138132,0.29283145436236324,0.25160733498187227,0.08244823876098192,0.25160733498187227
11,0.23142307618546124,0.25908326241181556,0.24525316929863838,0.027660186226354327,0.24525316929863838
12,0.22757947254232422,0.2577992066930603,0.24268933961769223,0.03021973415073606,0.24268933961769223
13,0.2325024650739461,0.335298290392329,0.28390037773313753,0.10279582531838291,0.28390037773313753
14,0.2385288249934971,0.31248179599157716,0.2755053104925371,0.07395297099808007,0.2755053104925371
15,0.22592814733152577,0.3438061752679099,0.28486716129971784,0.11787802793638413,0.28486716129971784
16,0.20734138922952605,0.323665638866735,0.26550351404813055,0.11632424963720894,0.26550351404813055
17,0.21692122002127978,0.32109422262134857,0.2690077213213142,0.10417300260006879,0.2690077213213142
18,0.21255760343881488,0.3666897782479991,0.289623690843407,0.1541321748091842,0.289623690843407
19,0.21511453085829602,0.320692812988506,0.26790367192340103,0.10557828213020998,0.26790367192340103
20,0.21063971962677883,0.35340686895106027,0.28202329428891953,0.14276714932428144,0.28202329428891953
21,0.20920450933210932,0.3567769142761789,0.28299071180414415,0.1475724049440696,0.28299071180414415
22,0.21066249309006382,0.34319199322538657,0.2769272431577252,0.13252950013532275,0.2769272431577252
23,0.20683470645724886,0.36582384260325324,0.28632927453025103,0.15898913614600438,0.28632927453025103
24,0.21829523221219022,0.32331590261883,0.2708055674155101,0.10502067040663976,0.2708055674155101
25,0.2170935929037309,0.2691042300302818,0.24309891146700635,0.05201063712655088,0.24309891146700635
26,0.21173900950984148,0.29600989557363466,0.25387445254173807,0.08427088606379318,0.25387445254173807
27,0.21435850890941904,0.3090506004640153,0.26170455468671716,0.09469209155459624,0.26170455468671716
28,0.23032706078935405,0.31102138033528604,0.27067422056232004,0.08069431954593198,0.27067422056232004
29,0.22340287247601637,0.30978714900462617,0.26659501074032127,0.0863842765286098,0.26659501074032127
30,0.2230170709518674,0.29348965103381736,0.25825336099284235,0.07047258008194995,0.25825336099284235
31,0.21698027873307651,0.3337094297351196,0.27534485423409805,0.11672915100204306,0.27534485423409805
32,0.23365834889041126,0.3414016505926262,0.2875299997415187,0.10774330170221497,0.2875299997415187
33,0.21889276974136643,0.2947415853442797,0.25681717754282307,0.07584881560291326,0.25681717754282307
34,0.2183422056075107,0.22904391722418393,0.22369306141584733,0.010701711616673243,0.22369306141584733
35,0.2152251581150358,0.2527689774549279,0.23399706778498183,0.03754381933989209,0.23399706778498183
36,0.21641766327852152,0.3078968221387456,0.26215724270863355,0.09147915886022406,0.26215724270863355
37,0.21236917002440872,0.32691709880810543,0.2696431344162571,0.11454792878369671,0.2696431344162571
