,Start_blink,End_blink,Blink_frame,No_of_frames
246,21822,21823,21822,1
247,21878,21879,21878,1
248,21910,21912,21910,2
249,21921,21924,21921,3
250,21940,21944,21940,4
251,21961,21962,21961,1
252,21998,22001,21998,3
253,22127,22130,22128,3
254,22182,22184,22182,2
255,22359,22360,22359,1
256,22370,22373,22371,3
257,22380,22383,22380,3
258,22414,22415,22414,1
259,22425,22428,22427,3
260,22453,22455,22453,2
261,22466,22468,22467,2
262,22608,22611,22609,3
263,22619,22623,22621,4
264,22658,22662,22659,4
265,22680,22682,22680,2
266,22742,22746,22744,4
267,22788,22791,22789,3
268,22867,22870,22867,3
269,22910,22913,22910,3
270,22920,22923,22921,3
271,22976,22979,22977,3
272,23097,23101,23100,4
273,23225,23227,23225,2
274,23337,23341,23338,4
275,23372,23375,23374,3
276,23389,23391,23389,2
277,23439,23442,23440,3
278,23549,23551,23549,2
279,23602,23604,23603,2
280,23670,23674,23671,4
281,23681,23683,23681,2
282,23716,23719,23718,3
283,23751,23752,23751,1
284,23763,23766,23763,3
285,23803,23806,23803,3
286,23892,23896,23893,4
287,23962,23967,23964,5
288,24001,24004,24002,3
289,24053,24056,24053,3
290,24103,24107,24104,4
291,24156,24159,24157,3
292,24201,24203,24201,2
293,24265,24268,24266,3
294,24275,24278,24276,3
295,24309,24312,24309,3
296,24325,24328,24325,3
297,24384,24390,24385,6
298,24430,24435,24432,5
299,24548,24550,24548,2
300,24614,24618,24615,4
301,24647,24652,24649,5
302,24662,24667,24663,5
303,24714,24716,24715,2
304,24772,24776,24774,4
305,24794,24798,24794,4
306,24903,24905,24903,2
307,25037,25038,25037,1
308,25066,25070,25067,4
309,25075,25079,25077,4
310,25180,25184,25182,4
311,25248,25250,25249,2
312,25676,25679,25676,3
313,26068,26071,26068,3
314,26247,26248,26247,1
315,26274,26276,26275,2
316,26330,26332,26331,2
317,26373,26375,26373,2
318,26576,26578,26577,2
319,26594,26597,26594,3
320,26621,26626,26625,5
321,26637,26642,26638,5
322,26673,26677,26674,4
323,26767,26771,26769,4
324,26779,26783,26780,4
325,26887,26890,26887,3
326,26964,26968,26967,4
327,27141,27143,27141,2
328,27215,27218,27216,3
329,27259,27261,27260,2
330,27310,27315,27311,5
331,27363,27365,27364,2
332,27371,27376,27375,5
333,27511,27515,27514,4
334,27605,27608,27606,3
335,27655,27658,27656,3
336,27688,27690,27689,2
337,27756,27759,27758,3
338,27792,27796,27793,4
339,27856,27859,27857,3
340,27871,27874,27872,3
341,27898,27903,27900,5
342,27973,27977,27974,4
343,28070,28074,28071,4
344,28209,28212,28210,3
345,28230,28231,28230,1
346,28309,28313,28310,4
347,28522,28524,28522,2
348,28554,28557,28554,3
349,28562,28566,28563,4
350,28598,28601,28599,3
351,28663,28667,28664,4
