,Start_blink,End_blink,Blink_frame,No_of_frames
245,71587,71597,71587,10
246,72268,72271,72269,3
247,72867,72870,72868,3
248,73118,73122,73119,4
249,73179,73181,73180,2
250,73951,73958,73955,7
251,74719,74722,74720,3
252,75179,75182,75180,3
253,75824,75827,75826,3
254,76289,76292,76290,3
255,77264,77273,77264,9
256,77306,77311,77307,5
257,77334,77337,77335,3
258,77352,77358,77353,6
259,77365,77368,77367,3
260,77413,77415,77414,2
261,77431,77449,77431,18
262,77480,77486,77480,6
263,77706,77710,77707,4
264,77801,77809,77804,8
265,78463,78468,78464,5
266,78479,78490,78482,11
267,78634,78637,78636,3
268,79145,79147,79146,2
269,79620,79622,79621,2
270,79706,79708,79707,2
271,80391,80394,80392,3
272,80551,80557,80553,6
273,81180,81185,81184,5
274,82085,82088,82086,3
275,82860,82866,82863,6
276,83310,83315,83311,5
277,83349,83356,83352,7
278,83408,83417,83410,9
279,83476,83481,83477,5
280,83493,83498,83494,5
281,84017,84023,84018,6
282,84026,84033,84027,7
283,84438,84443,84439,5
284,84646,84653,84650,7
285,84670,84674,84671,4
286,84709,84717,84710,8
287,84729,84733,84730,4
288,84740,84742,84741,2
289,84758,84762,84759,4
290,84854,84860,84856,6
291,84955,84966,84956,11
292,84990,84995,84994,5
293,85408,85410,85408,2
294,85453,85459,85456,6
295,85510,85515,85511,5
296,85912,85917,85914,5
297,86124,86129,86125,5
298,86687,86690,86689,3
299,86711,86714,86712,3
300,87172,87174,87173,2
301,87613,87617,87614,4
302,88015,88018,88017,3
303,88724,88730,88725,6
304,89003,89007,89004,4
305,89128,89133,89131,5
306,89203,89205,89204,2
307,89631,89638,89634,7
308,89957,89961,89959,4
309,90030,90036,90032,6
310,90283,90288,90284,5
311,90415,90417,90416,2
312,90426,90431,90427,5
313,90476,90480,90478,4
314,90488,90491,90489,3
315,90727,90733,90728,6
316,90888,90891,90889,3
317,91164,91170,91167,6
318,91436,91456,91437,20
319,91767,91775,91769,8
320,91813,91821,91815,8
321,91920,91925,91921,5
322,92091,92096,92093,5
323,92363,92367,92366,4
324,92471,92475,92473,4
325,92515,92517,92516,2
326,93316,93318,93316,2
327,93743,93745,93744,2
328,93760,93768,93761,8
329,93778,93782,93779,4
330,94156,94157,94156,1
331,94539,94551,94541,12
332,94806,94812,94808,6
333,94889,94895,94892,6
334,95090,95095,95091,5
335,95115,95117,95116,2
336,95160,95168,95162,8
337,95255,95257,95255,2
338,95524,95528,95525,4
339,95606,95609,95607,3
340,95625,95627,95626,2
341,95698,95704,95699,6
342,95708,95712,95709,4
343,95915,95921,95918,6
344,96253,96259,96255,6
345,96783,96787,96785,4
346,97240,97243,97241,3
347,97360,97362,97361,2
348,97375,97376,97375,1
349,97510,97515,97511,5
350,98505,98510,98507,5
351,98642,98645,98644,3
352,98692,98694,98693,2
353,98708,98711,98709,3
354,98965,98967,98966,2
355,99031,99033,99032,2
356,99170,99180,99171,10
357,99224,99228,99225,4
358,99376,99380,99377,4
359,99528,99531,99529,3
360,99998,100004,100000,6
361,100154,100159,100156,5
362,100175,100178,100176,3
363,100304,100308,100305,4
364,100613,100615,100614,2
365,100659,100664,100660,5
366,100783,100786,100785,3
367,100826,100830,100827,4
368,100980,100983,100982,3
369,101234,101238,101235,4
370,101654,101659,101656,5
371,101711,101716,101713,5
372,101790,101795,101791,5
373,102673,102676,102674,3
374,102701,102703,102702,2
375,102724,102726,102725,2
376,102747,102749,102748,2
377,102879,102887,102882,8
378,103078,103079,103078,1
379,103230,103235,103231,5
380,103276,103280,103277,4
381,103367,103371,103370,4
382,103403,103405,103404,2
383,104143,104149,104144,6
384,104171,104185,104172,14
385,105223,105226,105225,3
386,105238,105241,105240,3
387,105323,105330,105324,7
388,105338,105344,105340,6
389,105477,105482,105478,5
390,105539,105559,105540,20
391,106405,106412,106406,7
392,106425,106427,106426,2
393,107057,107062,107059,5
394,108389,108394,108390,5
395,108458,108490,108458,32
396,109091,109093,109092,2
397,110104,110110,110106,6
398,110449,110461,110452,12
399,110724,110727,110725,3
400,110745,110748,110746,3
401,111043,111045,111044,2
402,111052,111058,111054,6
403,111423,111427,111424,4
404,111574,111576,111575,2
405,111599,111603,111602,4
406,112031,112034,112032,3
407,112070,112076,112071,6
408,112077,112085,112080,8
409,113218,113220,113219,2
410,113391,113396,113392,5
411,113741,113745,113743,4
412,115082,115084,115083,2
413,115104,115106,115105,2
414,115688,115692,115689,4
415,115782,115783,115782,1
416,116109,116113,116112,4
417,116123,116128,116126,5
418,116223,116226,116224,3
419,116528,116532,116530,4
420,116594,116597,116595,3
421,116637,116641,116639,4
422,117739,117742,117740,3
423,117784,117786,117784,2
424,117817,117819,117818,2
425,117838,117842,117839,4
426,118150,118151,118150,1
427,118404,118406,118405,2
428,118633,118637,118635,4
429,123128,123130,123129,2
430,123801,123804,123803,3
431,125130,125137,125132,7
432,125688,125692,125690,4
433,126311,126313,126312,2
434,126782,126787,126784,5
435,126861,126864,126862,3
436,127336,127339,127337,3
437,127666,127669,127667,3
438,127806,127809,127807,3
439,127834,127836,127835,2
440,128516,128519,128517,3
441,129371,129376,129373,5
442,129606,129610,129606,4
443,129637,129643,129638,6
444,129714,129718,129716,4
445,129727,129732,129730,5
446,129923,129926,129924,3
447,130017,130019,130018,2
448,130054,130056,130055,2
449,130474,130477,130475,3
450,130617,130621,130618,4
451,130863,130865,130864,2
452,131235,131238,131237,3
453,131346,131350,131347,4
454,131408,131412,131410,4
455,131438,131441,131439,3
456,132361,132364,132362,3
457,132384,132390,132385,6
458,132417,132420,132418,3
459,132474,132477,132475,3
460,132484,132487,132485,3
461,132558,132562,132559,4
462,132580,132582,132581,2
463,132611,132614,132612,3
464,133484,133487,133485,3
465,133509,133512,133510,3
466,133648,133651,133649,3
467,133852,133855,133853,3
468,133875,133885,133877,10
469,133907,133911,133908,4
470,133937,133951,133939,14
471,134000,134008,134001,8
472,134085,134088,134086,3
473,134406,134410,134407,4
474,134446,134449,134447,3
475,134499,134501,134500,2
476,134532,134534,134533,2
477,134550,134553,134552,3
478,134561,134563,134562,2
479,134759,134765,134762,6
480,134835,134837,134836,2
481,134926,134935,134927,9
482,135369,135371,135370,2
483,135404,135408,135405,4
484,135593,135595,135594,2
485,135737,135741,135738,4
486,136049,136051,136050,2
487,136103,136109,136104,6
488,136122,136126,136123,4
489,136486,136490,136487,4
490,136503,136508,136505,5
491,136759,136761,136760,2
492,136994,136997,136995,3
493,137790,137797,137792,7
494,138196,138199,138197,3
495,138393,138397,138394,4
496,138403,138409,138406,6
497,138468,138473,138469,5
498,138487,138494,138488,7
499,138692,138698,138694,6
500,138948,138952,138951,4
501,139526,139530,139528,4
502,139899,139902,139900,3
503,140313,140317,140313,4
504,140365,140367,140366,2
505,140443,140445,140444,2
506,140592,140594,140593,2
507,141158,141162,141160,4
508,141603,141607,141605,4
509,141904,141908,141905,4
510,142486,142492,142489,6
511,142876,142879,142877,3
512,142961,142966,142964,5
513,143021,143023,143022,2
514,143466,143470,143467,4
515,143491,143493,143492,2
516,143518,143520,143519,2
