FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.337812218811715,0.349182612080052,0.3434974154458835,0.011370393268336998,0.3434974154458835
2,0.31050142191102614,0.31808381069052416,0.31429261630077515,0.007582388779498017,0.31429261630077515
3,0.33544693366805467,0.30920523744725886,0.32232608555765674,0.026241696220795807,0.32232608555765674
4,0.34881529948311035,0.33749913028219913,0.3431572148826547,0.01131616920091122,0.3431572148826547
5,0.36869196278321953,0.31954984312761375,0.34412090295541664,0.049142119655605776,0.34412090295541664
6,0.3546842273204661,0.3163060475044603,0.3354951374124632,0.03837817981600583,0.3354951374124632
7,0.36321709954253656,0.34116180683266184,0.3521894531875992,0.02205529270987472,0.3521894531875992
8,0.3499245704018598,0.294223035962619,0.32207380318223944,0.05570153443924081,0.32207380318223944
9,0.33575807997071405,0.33562389298045225,0.33569098647558315,0.0001341869902617976,0.33569098647558315
10,0.3349517471348387,0.2330410923691437,0.2839964197519912,0.10191065476569502,0.2839964197519912
11,0.35919180903409037,0.32493946600656964,0.34206563752033003,0.034252343027520726,0.34206563752033003
12,0.3687692175257076,0.27364357178458465,0.3212063946551461,0.09512564574112298,0.3212063946551461
13,0.31978463191358486,0.18608051905417738,0.25293257548388115,0.13370411285940748,0.25293257548388115
14,0.3427261341601403,0.265451180897631,0.30408865752888564,0.07727495326250933,0.30408865752888564
15,0.28967045826338944,0.3103093161422443,0.29998988720281683,0.020638857878854833,0.29998988720281683
16,0.33220932900494987,0.22773131757210535,0.2799703232885276,0.10447801143284452,0.2799703232885276
17,0.3244402050674773,0.1966418094934412,0.26054100728045926,0.12779839557403608,0.26054100728045926
18,0.3162539026593306,0.34245582055544954,0.3293548616073901,0.02620191789611892,0.3293548616073901
19,0.2764109840283433,0.30904196903735803,0.29272647653285067,0.032630985009014735,0.29272647653285067
20,0.2856361392839534,0.2661505650985909,0.2758933521912722,0.01948557418536251,0.2758933521912722
21,0.330653129421089,0.20962914802730498,0.270141138724197,0.12102398139378401,0.270141138724197
22,0.29383122443706344,0.15647366094265303,0.22515244268985823,0.13735756349441042,0.22515244268985823
23,0.30647691275683964,0.27045022371950284,0.2884635682381712,0.0360266890373368,0.2884635682381712
24,0.2736283180109679,0.2522082245547006,0.26291827128283424,0.021420093456267275,0.26291827128283424
25,0.20812811067232312,0.32943386022763993,0.2687809854499815,0.12130574955531681,0.2687809854499815
26,0.06461917415497052,0.22729801403203476,0.14595859409350265,0.16267883987706422,0.14595859409350265
27,0.11456773204221987,0.3617912601717763,0.2381794961069981,0.24722352812955645,0.2381794961069981
28,0.17611082406191747,0.369774797970464,0.2729428110161907,0.1936639739085465,0.2729428110161907
29,0.12979815378419268,0.3354804811502965,0.2326393174672446,0.2056823273661038,0.2326393174672446
30,0.0979499010840858,0.39731279280025344,0.24763134694216962,0.29936289171616765,0.24763134694216962
31,0.10507803557493144,0.3624818611182037,0.23377994834656757,0.25740382554327224,0.23377994834656757
32,0.10065165228068342,0.31995031786594114,0.21030098507331227,0.21929866558525773,0.21030098507331227
33,0.1286855492804014,0.39990631378415015,0.26429593153227576,0.27122076450374877,0.26429593153227576
