,Start_blink,End_blink,Blink_frame,No_of_frames
246,23731,23735,23731,4
247,23930,23932,23930,2
248,24040,24046,24040,6
249,24071,24075,24071,4
250,24225,24232,24227,7
251,24520,24525,24520,5
252,24638,24643,24640,5
253,24648,24654,24651,6
254,24735,24741,24737,6
255,24854,24864,24855,10
256,24937,24941,24937,4
257,24973,24977,24973,4
258,25097,25121,25097,24
259,25122,25126,25122,4
260,25143,25150,25143,7
261,25161,25169,25163,8
262,25381,25396,25381,15
263,25413,25417,25414,4
264,25466,25468,25466,2
265,25551,25555,25551,4
266,25741,25744,25741,3
267,25966,25978,25966,12
268,26004,26012,26004,8
269,26140,26145,26140,5
270,26268,26274,26268,6
271,26309,26316,26309,7
272,26358,26363,26358,5
273,26426,26430,26426,4
274,26690,26695,26690,5
275,27017,27020,27019,3
276,27033,27064,27034,31
277,27133,27136,27133,3
278,27333,27339,27335,6
279,27570,27577,27570,7
280,27644,27650,27647,6
281,27710,27718,27710,8
282,27797,27805,27797,8
283,27865,27869,27865,4
284,28010,28015,28010,5
285,28059,28067,28059,8
286,28179,28186,28180,7
287,28193,28198,28193,5
288,28546,28555,28547,9
289,28662,28668,28665,6
290,28737,28742,28737,5
291,28763,28775,28766,12
292,28883,28888,28883,5
293,29040,29050,29042,10
294,29088,29093,29089,5
295,29144,29154,29144,10
296,29566,29572,29566,6
297,29625,29646,29625,21
298,29721,29725,29721,4
299,29905,29934,29905,29
300,29968,29972,29968,4
301,30147,30151,30147,4
302,30171,30176,30173,5
303,30255,30260,30255,5
304,30363,30368,30366,5
305,30499,30505,30501,6
306,30520,30526,30520,6
307,30663,30669,30665,6
308,30726,30733,30728,7
309,30791,30800,30791,9
310,30899,30910,30902,11
311,31076,31086,31078,10
312,31345,31357,31345,12
313,31472,31477,31474,5
314,31661,31664,31661,3
315,31679,31690,31679,11
316,31691,31694,31691,3
317,31700,31720,31701,20
318,31749,31754,31749,5
319,31833,31838,31833,5
320,31859,31878,31859,19
321,31879,31883,31879,4
