,Start_blink,End_blink,Blink_frame,No_of_frames
245,83349,83356,83352,7
246,83408,83417,83410,9
247,83476,83481,83477,5
248,83493,83498,83494,5
249,84017,84023,84018,6
250,84026,84033,84027,7
251,84438,84443,84439,5
252,84646,84653,84650,7
253,84670,84674,84671,4
254,84709,84717,84710,8
255,84729,84733,84730,4
256,84740,84742,84741,2
257,84758,84762,84759,4
258,84854,84860,84856,6
259,84955,84966,84956,11
260,84990,84995,84994,5
261,85453,85459,85456,6
262,85510,85515,85511,5
263,85912,85917,85914,5
264,86124,86129,86125,5
265,86687,86690,86689,3
266,86711,86714,86712,3
267,87172,87174,87173,2
268,87613,87617,87614,4
269,88015,88018,88017,3
270,88724,88730,88725,6
271,89003,89007,89004,4
272,89128,89133,89131,5
273,89203,89205,89204,2
274,89631,89638,89634,7
275,89957,89961,89959,4
276,90030,90036,90032,6
277,90283,90288,90284,5
278,90415,90417,90416,2
279,90426,90431,90427,5
280,90476,90480,90478,4
281,90488,90491,90489,3
282,90727,90733,90728,6
283,90888,90891,90889,3
284,91164,91170,91167,6
285,91436,91456,91437,20
286,91767,91775,91769,8
287,91813,91821,91815,8
288,91920,91925,91921,5
289,92091,92096,92093,5
290,92363,92367,92366,4
291,92471,92475,92473,4
292,92515,92517,92516,2
293,93743,93745,93744,2
294,93760,93768,93761,8
295,93778,93782,93779,4
296,94539,94551,94541,12
297,94806,94812,94808,6
298,94889,94895,94892,6
299,95090,95095,95091,5
300,95115,95117,95116,2
301,95160,95168,95162,8
302,95524,95528,95525,4
303,95606,95609,95607,3
304,95625,95627,95626,2
305,95698,95704,95699,6
306,95708,95712,95709,4
307,95915,95921,95918,6
308,96253,96259,96255,6
309,96783,96787,96785,4
310,97240,97243,97241,3
311,97360,97362,97361,2
312,97510,97515,97511,5
313,98505,98510,98507,5
314,98642,98645,98644,3
315,98692,98694,98693,2
316,98708,98711,98709,3
317,98965,98967,98966,2
318,99031,99033,99032,2
319,99170,99180,99171,10
320,99224,99228,99225,4
321,99376,99380,99377,4
322,99528,99531,99529,3
323,99998,100004,100000,6
324,100154,100159,100156,5
325,100175,100178,100176,3
326,100304,100308,100305,4
327,100613,100615,100614,2
328,100659,100664,100660,5
329,100783,100786,100785,3
330,100826,100830,100827,4
331,100980,100983,100982,3
332,101234,101238,101235,4
333,101654,101659,101656,5
334,101711,101716,101713,5
335,101790,101795,101791,5
336,102673,102676,102674,3
337,102701,102703,102702,2
338,102724,102726,102725,2
339,102747,102749,102748,2
340,102879,102887,102882,8
341,103075,103077,103076,2
342,103230,103235,103231,5
343,103276,103280,103277,4
344,103367,103371,103370,4
345,103403,103405,103404,2
346,104143,104149,104144,6
347,104171,104185,104172,14
348,105223,105226,105225,3
349,105238,105241,105240,3
350,105323,105330,105324,7
351,105338,105344,105340,6
352,105477,105482,105478,5
353,105539,105559,105540,20
354,106405,106412,106406,7
355,106425,106427,106426,2
356,107057,107062,107059,5
357,108389,108394,108390,5
358,108455,108457,108456,2
359,109091,109093,109092,2
360,110104,110110,110106,6
361,110449,110461,110452,12
362,110724,110727,110725,3
363,110745,110748,110746,3
364,111043,111045,111044,2
365,111052,111058,111054,6
366,111423,111427,111424,4
367,111574,111576,111575,2
368,111599,111603,111602,4
369,112031,112034,112032,3
370,112070,112076,112071,6
371,112077,112085,112080,8
372,113218,113220,113219,2
373,113391,113396,113392,5
374,113741,113745,113743,4
375,115082,115084,115083,2
376,115104,115106,115105,2
377,115688,115692,115689,4
378,116109,116113,116112,4
379,116123,116128,116126,5
380,116223,116226,116224,3
381,116528,116532,116530,4
382,116594,116597,116595,3
383,116637,116641,116639,4
384,117739,117742,117740,3
385,117817,117819,117818,2
386,117838,117842,117839,4
387,118404,118406,118405,2
388,118633,118637,118635,4
389,123128,123130,123129,2
390,123801,123804,123803,3
391,125130,125137,125132,7
392,125688,125692,125690,4
393,126311,126313,126312,2
394,126782,126787,126784,5
395,126861,126864,126862,3
396,127336,127339,127337,3
397,127666,127669,127667,3
398,127806,127809,127807,3
399,127834,127836,127835,2
400,128516,128519,128517,3
401,129371,129376,129373,5
402,129637,129643,129638,6
403,129714,129718,129716,4
404,129727,129732,129730,5
405,129923,129926,129924,3
406,130017,130019,130018,2
407,130054,130056,130055,2
408,130474,130477,130475,3
409,130617,130621,130618,4
410,130863,130865,130864,2
411,131235,131238,131237,3
412,131346,131350,131347,4
413,131408,131412,131410,4
414,131438,131441,131439,3
415,132361,132364,132362,3
416,132384,132390,132385,6
417,132417,132420,132418,3
