FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0.30848732839512893,0.5063323335408474,0.40740983096798816,[0.68623966 0.4532859 ],[0.69532228 0.44393116],[0.70490497 0.44367459],[0.71341085 0.44730055],[0.70380354 0.45172435],[0.69439214 0.45292428],0.6591161489486694,0.5060333013534546,1663567760578
2,0.37592776459105265,0.4353265765125036,0.4056271705517781,[0.69375354 0.46292204],[0.69971919 0.45150223],[0.70787787 0.44908893],[0.71654868 0.4532783 ],[0.70787835 0.45822072],[0.70019227 0.46096793],0.6699091792106628,0.5064526796340942,1663567760613
3,0.3332188675485908,0.414428278731846,0.3738235731402184,[0.69832152 0.4596563 ],[0.70545727 0.45036218],[0.71362549 0.44935286],[0.72155619 0.45381555],[0.71379775 0.45677742],[0.70590955 0.45888984],0.6731377243995667,0.49721524119377136,1663567760642
4,0.3564752046079727,0.24755363574116596,0.30201442017456936,[0.70452011 0.45770866],[0.71161199 0.44913307],[0.71946478 0.4485884 ],[0.72677118 0.45329323],[0.71945035 0.45606679],[0.71184754 0.45782471],0.6799891591072083,0.49224579334259033,1663567760680
5,0.3756377663619793,0.29395181831112643,0.33479479233655285,[0.70905018 0.46025831],[0.71674323 0.45147356],[0.72496432 0.45118934],[0.73230469 0.45627055],[0.724603   0.45963377],[0.71662146 0.46074617],0.6844319701194763,0.49595874547958374,1663567760712
6,0.3598444446812864,0.3367643989157511,0.3483044217985187,[0.71208137 0.46431369],[0.7197488  0.45675316],[0.72798961 0.45709959],[0.7352649  0.46271408],[0.72751302 0.46513715],[0.7195856  0.46542454],0.6888425946235657,0.5022467374801636,1663567760745
7,0.36941770118560463,0.4005734338746223,0.38499556753011344,[0.71296096 0.46082041],[0.72116035 0.45317376],[0.72960144 0.45391971],[0.73672962 0.45990792],[0.72881073 0.46238059],[0.72067058 0.46223685],0.6901669502258301,0.49643659591674805,1663567760772
8,0.34950775847633436,0.37331534424990775,0.3614115513631211,[0.71442479 0.46299469],[0.72219336 0.45602018],[0.7303077  0.45651844],[0.73721021 0.46181589],[0.72979486 0.46415633],[0.7219556  0.46431035],0.6916986703872681,0.5009050369262695,1663567760801
9,0.35496523638441385,0.31624946272946314,0.3356073495569385,[0.71327627 0.46192992],[0.72106433 0.45508659],[0.72899979 0.45577294],[0.73587787 0.46123624],[0.7284888 0.463429 ],[0.72067612 0.46345761],0.6901434063911438,0.4978192448616028,1663567760831
10,0.35296949552615114,0.34888859022796825,0.3509290428770597,[0.7119962  0.45748508],[0.71929002 0.44991514],[0.7271198  0.45014918],[0.73427677 0.45566273],[0.72655153 0.45773208],[0.71895647 0.45808542],0.6887625455856323,0.49196070432662964,1663567760863
11,0.3526698502620591,0.24443648288448003,0.2985531665732696,[0.71175021 0.45673254],[0.71894574 0.44883969],[0.72672564 0.44867739],[0.73385113 0.45407975],[0.72612208 0.45631361],[0.71857685 0.45687175],0.688025176525116,0.49086710810661316,1663567760894
12,0.35903691245452773,0.23683122240515542,0.2979340674298416,[0.71102595 0.45626903],[0.71786004 0.44799948],[0.72562158 0.44799334],[0.73283136 0.45386633],[0.72499609 0.45550764],[0.71762645 0.45620853],0.6875978708267212,0.49033674597740173,1663567760925
13,0.3305313738725832,0.3237990308533629,0.3271652023629731,[0.70998925 0.45498314],[0.71736085 0.44736603],[0.7251426  0.44703972],[0.73226666 0.45180064],[0.72461814 0.45422101],[0.71703058 0.45503479],0.6868125200271606,0.4886578321456909,1663567760957
14,0.3528323867023659,0.3065041338069478,0.32966826025465684,[0.70907611 0.45215181],[0.71591645 0.44416025],[0.72348249 0.44408241],[0.73058861 0.44947812],[0.72326618 0.45125681],[0.71600085 0.45227957],0.6872206926345825,0.48437801003456116,1663567760989
15,0.34067768732465775,0.31239154417902365,0.32653461575184073,[0.70690173 0.45317745],[0.71395862 0.44502455],[0.72181797 0.44451308],[0.72920811 0.44967675],[0.72145772 0.45196238],[0.71388853 0.45295084],0.683472752571106,0.48392727971076965,1663567761021
16,0.3460145255666684,0.41449213286896086,0.38025332921781463,[0.70535934 0.45255378],[0.71186382 0.44391444],[0.71960831 0.44303885],[0.72722131 0.44847721],[0.71926081 0.45058113],[0.71189946 0.45175397],0.6811298727989197,0.485312819480896,1663567761051
17,0.33746313245169596,0.28923442007540756,0.31334877626355173,[0.70409739 0.45322478],[0.71074122 0.44465607],[0.71840012 0.44386426],[0.7258383  0.44892323],[0.71792972 0.45111495],[0.71057737 0.45234635],0.6802549362182617,0.4855549931526184,1663567761084
18,0.3420449414398713,0.2895865621713411,0.31581575180560617,[0.70249683 0.45374817],[0.70925421 0.44514665],[0.71695781 0.44422588],[0.72431123 0.44880617],[0.71669227 0.45158747],[0.70928186 0.4530814 ],0.6785306930541992,0.486713171005249,1663567761118
19,0.3531303603293622,0.38276713385172767,0.3679487470905449,[0.70173711 0.45481163],[0.70772511 0.44536275],[0.71531993 0.44413227],[0.72315824 0.44995075],[0.71500969 0.45171979],[0.70788169 0.45328087],0.6774492263793945,0.48672643303871155,1663567761149
