FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
27,0.25716910821605937,0.3439995254101034,0.3005843168130814,[0.70497578 0.41027915],[0.71205771 0.40600526],[0.71925294 0.40611267],[0.72633845 0.41020525],[0.71920049 0.41162527],[0.71183604 0.41147563],0.6822453141212463,0.43336230516433716,1663568766064
28,0.24195212640849417,0.38053598351215745,0.3112440549603258,[0.70405674 0.41021019],[0.71125108 0.40630406],[0.71855593 0.406679  ],[0.72591239 0.41040963],[0.7185055  0.41196415],[0.7109468 0.4115864],0.6798058748245239,0.43335843086242676,1663568766093
29,0.20789107143358082,0.3442805121616862,0.2760857917976335,[0.70347965 0.41145858],[0.71049041 0.40824682],[0.71789497 0.40863398],[0.72545648 0.41203833],[0.71788287 0.41329074],[0.71031195 0.41272724],0.6788914799690247,0.43215134739875793,1663568766122
30,0.20742929889046047,0.3238110839008886,0.2656201913956745,[0.70343614 0.41192681],[0.71051526 0.40852499],[0.71798092 0.40863094],[0.72557342 0.41191652],[0.71810728 0.41327441],[0.71037191 0.41306138],0.6794231534004211,0.43472278118133545,1663568766152
31,0.14972184172433167,0.39093651143846475,0.2703291765813982,[0.70424753 0.41176951],[0.71125931 0.40911749],[0.71882844 0.40933669],[0.72657073 0.41184759],[0.71877939 0.41274902],[0.71102518 0.41238099],0.6799819469451904,0.4330582022666931,1663568766181
32,0.22228388704815655,0.3263065910720854,0.274295239060121,[0.70551074 0.4098587 ],[0.71294832 0.40604037],[0.72057128 0.40655994],[0.72779852 0.41036731],[0.72025734 0.41155189],[0.71252298 0.41093111],0.6815668344497681,0.431706964969635,1663568766210
33,0.22939097213475448,0.2725545497562772,0.25097276094551585,[0.70610166 0.40982801],[0.71341246 0.40575689],[0.72073919 0.40625849],[0.72778976 0.41044384],[0.72034127 0.41124964],[0.71286476 0.41067362],0.6824145913124084,0.4317724406719208,1663568766240
34,0.18419000640510427,0.3807914403247233,0.28249072336491377,[0.70727134 0.41158971],[0.71397805 0.4084276 ],[0.72118211 0.40858406],[0.7285412  0.41150364],[0.7211147  0.41252479],[0.71375275 0.41231522],0.6832216382026672,0.43596866726875305,1663568766270
35,0.19570769583781727,0.3202859274023716,0.25799681162009447,[0.70769209 0.41449678],[0.71442676 0.41085893],[0.72161818 0.41119257],[0.72876912 0.41470385],[0.72127897 0.41532105],[0.71404183 0.41494873],0.6839262247085571,0.4404768645763397,1663568766300
36,0.10713078293155076,0.3943898919113939,0.2507603374214723,[0.70598912 0.41507143],[0.71247357 0.41268528],[0.71962589 0.41316512],[0.72723413 0.41596922],[0.71964157 0.41535741],[0.71238816 0.41504744],0.682357132434845,0.4413549602031708,1663568766329
37,0.15687395151640227,0.3076942671668432,0.23228410934162275,[0.70569462 0.41712373],[0.71214169 0.41413054],[0.71914738 0.41444966],[0.72684604 0.4177174 ],[0.71925324 0.41767949],[0.71204203 0.41753635],0.6821967363357544,0.4413469433784485,1663568766360
38,0.10273736229447347,0.3386728401138961,0.2207051012041848,[0.70496905 0.41968897],[0.71124429 0.4181599 ],[0.71816599 0.41879511],[0.72603327 0.42060053],[0.71850902 0.42071497],[0.71122408 0.42054176],0.6820716857910156,0.44479620456695557,1663568766386
39,0.07273257423326304,0.16420592053880728,0.11846924738603516,[0.70496082 0.42162964],[0.71155471 0.42070282],[0.718615   0.42146575],[0.7264632  0.42323232],[0.71884573 0.42288643],[0.71139407 0.42239243],0.6823967099189758,0.44706523418426514,1663568766415
40,0.0878143847167392,0.17799591625680677,0.13290515048677298,[0.70499086 0.42418692],[0.71191263 0.42299321],[0.71900177 0.42351562],[0.72658211 0.42518932],[0.71920961 0.42523926],[0.71161938 0.42503223],0.6820307970046997,0.45087307691574097,1663568766445
41,0.037102829582588245,0.2925216569449902,0.16481224326378924,[0.70505214 0.42492807],[0.71186829 0.42454991],[0.71902424 0.42522424],[0.72689277 0.42599615],[0.71911281 0.42588976],[0.71148622 0.42542106],0.6821125745773315,0.45119547843933105,1663568766474
42,0.07883159038745681,0.2736259274537801,0.17622875892061846,[0.70548439 0.42426538],[0.71226329 0.42324704],[0.71941012 0.42388663],[0.72724122 0.42521051],[0.71947575 0.42544758],[0.71191466 0.42508543],0.6826573610305786,0.4510444700717926,1663568766504
43,0.06833305877579184,0.2019473011756299,0.13514017997571087,[0.70573699 0.42322272],[0.71238381 0.42242008],[0.71948951 0.42314669],[0.72733527 0.42445019],[0.71955025 0.42449054],[0.71208227 0.42400292],0.6823827028274536,0.4504584074020386,1663568766535
44,0.04835499894059987,0.2068542586743115,0.12760462880745568,[0.70563102 0.42302251],[0.71216542 0.42258263],[0.71924758 0.42331567],[0.72728348 0.42436492],[0.71935451 0.4242475 ],[0.71188974 0.42370948],0.6823896169662476,0.4501255750656128,1663568766569
45,0.06577394393158556,0.2781628796751335,0.17196841180335953,[0.70568538 0.42500648],[0.71248329 0.42407554],[0.71957284 0.42455101],[0.72733831 0.42575657],[0.71971518 0.42582941],[0.71213871 0.42560092],0.6827705502510071,0.4510209262371063,1663568766605
46,0.03658467690177958,0.19849853054427063,0.1175416037230251,[0.70554954 0.42645901],[0.71245646 0.42600563],[0.71976602 0.4265497 ],[0.72774208 0.42751241],[0.72011477 0.42714149],[0.71227473 0.42692661],0.6830796003341675,0.4520973861217499,1663568766636
47,0.08796372079620066,0.2603473536739307,0.17415553723506566,[0.70573837 0.42698357],[0.71260089 0.42558521],[0.71971017 0.42576629],[0.72753197 0.42712298],[0.72010428 0.42752865],[0.71241421 0.42760488],0.6834595203399658,0.45258840918540955,1663568766665
