FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569176964
2,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569176990
3,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177014
4,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177040
5,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177062
6,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177080
7,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177099
8,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177117
9,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177135
10,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177154
11,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177174
12,0,0,0,[0.71220529 0.47504058],[0.7195394  0.46186554],[0.72903365 0.46183696],[0.73680156 0.47086376],[0.72776127 0.47486487],[0.71931303 0.47506768],0.688389241695404,0.5256046056747437,1663569177192
