FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569101968
2,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569101994
3,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569102013
4,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569102031
5,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569102051
6,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569102071
7,0,0,0,[0.71278757 0.43489951],[0.71939063 0.42811257],[0.72645813 0.42839894],[0.73356336 0.43453243],[0.72584057 0.43552843],[0.71874094 0.43553704],0.6853762269020081,0.4571612775325775,1663569102089
8,0.1312561083440811,0.2693172591927795,0.20028668376843028,[0.70953423 0.430224  ],[0.71694529 0.42637306],[0.7250123  0.42815042],[0.73342401 0.43334791],[0.72371787 0.43085378],[0.7156859  0.42945299],0.67608642578125,0.4659002423286438,1663569102115
9,0.2227454139146643,0.2944790016216201,0.2586122077681422,[0.71087176 0.43366787],[0.71769845 0.42774716],[0.72596997 0.4286297 ],[0.73481172 0.43556389],[0.72503763 0.43386662],[0.71697152 0.43307698],0.674878716468811,0.4670214354991913,1663569102148
10,0.29862326795075084,0.1945282022075152,0.24657573507913302,[0.71211207 0.43583438],[0.71925122 0.42964   ],[0.72660899 0.43071851],[0.73392826 0.4363434 ],[0.72602135 0.43681106],[0.71862799 0.43652421],0.6829493045806885,0.46799325942993164,1663569102182
11,0.22518965305181213,0.18663124864748756,0.20591045084964985,[0.71322799 0.43535668],[0.71942204 0.43007013],[0.72660094 0.43115696],[0.73420727 0.43681192],[0.72596663 0.43555269],[0.71897107 0.43507996],0.6825565099716187,0.4607378840446472,1663569102211
12,0.18259412381392298,0.24872254400681543,0.2156583339103692,[0.71213597 0.43493485],[0.71809864 0.43008623],[0.72514546 0.43064094],[0.73287344 0.43529713],[0.72462451 0.43414292],[0.71772653 0.43410274],0.6821226477622986,0.457038938999176,1663569102247
13,0.19067456041954609,0.21065629982131806,0.2006654301204321,[0.71124971 0.4338564 ],[0.71779746 0.42916206],[0.72489816 0.42961639],[0.73206389 0.4337554 ],[0.72406292 0.43338916],[0.71706265 0.43316868],0.6809151768684387,0.4570443630218506,1663569102274
14,0.14326643402309194,0.05482493601711433,0.09904568502010314,[0.71075571 0.43257451],[0.7174933  0.42892164],[0.724742  0.4294526],[0.73228776 0.43307161],[0.72427458 0.43232587],[0.7169643  0.43213868],0.6808167099952698,0.45511987805366516,1663569102303
15,0.15169960117556489,0.22217279336368037,0.18693619726962263,[0.70984489 0.43113175],[0.71622455 0.42692876],[0.72336751 0.42707407],[0.73082465 0.4306182 ],[0.72280639 0.43010548],[0.71571523 0.43017328],0.6795609593391418,0.4540491998195648,1663569102336
16,0.13397687651472923,0.18302581886302485,0.15850134768887703,[0.70741808 0.42875555],[0.7138539  0.42546287],[0.72097844 0.42596278],[0.72839564 0.42880848],[0.72046196 0.42863104],[0.71328348 0.42830953],0.6774464249610901,0.4528050720691681,1663569102366
17,0.18390799028985555,0.18474047055168547,0.1843242304207705,[0.70576996 0.42888933],[0.71205634 0.42402136],[0.71915495 0.42421064],[0.72637224 0.42831767],[0.71830994 0.42787322],[0.71136802 0.42778084],0.6756744980812073,0.45305758714675903,1663569102396
18,0.1682868643938468,0.17157697189513413,0.16993191814449046,[0.70315731 0.42860711],[0.70931041 0.42413726],[0.71632612 0.42439333],[0.72360528 0.42801592],[0.71549916 0.42768893],[0.70862442 0.42755648],0.6736703515052795,0.4527435004711151,1663569102424
19,0.14006740204344847,0.1989688187502753,0.16951811039686188,[0.69998473 0.42913514],[0.70618522 0.42491117],[0.71332812 0.42439061],[0.72093105 0.42682859],[0.71297562 0.42724615],[0.70585692 0.42791936],0.672012984752655,0.4530459940433502,1663569102455
20,0.12805716266237865,0.18109798365707225,0.15457757315972545,[0.69674373 0.42995986],[0.70319676 0.42584649],[0.71054107 0.42495531],[0.71823192 0.42675644],[0.71019149 0.42773044],[0.70279306 0.42858407],0.6682859063148499,0.4540017247200012,1663569102486
21,0.10666582123103317,0.10155864018702605,0.10411223070902961,[0.69381678 0.43032447],[0.6998542  0.42623299],[0.7070626 0.4252612],[0.71507174 0.42674768],[0.70703381 0.42740178],[0.69981509 0.42869002],0.6657768487930298,0.4560440182685852,1663569102520
