FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.5347544  0.47621921],[0.54420573 0.47140756],[0.55281085 0.47497851],[0.55916536 0.48263651],[0.55092752 0.48300582],[0.54247653 0.48032629],0.5068743228912354,0.5134135484695435,1663315767542
2,0,0,0,[0.5347544  0.47621921],[0.54420573 0.47140756],[0.55281085 0.47497851],[0.55916536 0.48263651],[0.55092752 0.48300582],[0.54247653 0.48032629],0.5068743228912354,0.5134135484695435,1663315767574
3,0.3028278538256351,0.34316661738418625,0.32299723560491067,[0.52447879 0.47961378],[0.53151083 0.46967855],[0.54052389 0.46551484],[0.54892105 0.46796197],[0.54109603 0.47378144],[0.53226548 0.47775662],0.4944291114807129,0.5377476811408997,1663315767615
4,0.2898795993602402,0.6445259439234692,0.4672027716418547,[0.53754008 0.47689858],[0.54623681 0.47160193],[0.55500036 0.47316974],[0.5621478 0.478569 ],[0.55380458 0.47993132],[0.54513091 0.47895208],0.5066391825675964,0.5219871997833252,1663315767646
5,0.3949728951703062,0.4622120147266348,0.42859245494847054,[0.53461194 0.47548199],[0.54351157 0.46827263],[0.55213654 0.47178829],[0.55873227 0.48120031],[0.55009466 0.48075831],[0.54186898 0.47852427],0.5045763254165649,0.5098137855529785,1663315767681
6,0.3796669404652641,0.4779247219462743,0.4287958312057692,[0.53270423 0.47887373],[0.54141283 0.47243637],[0.54993922 0.47541243],[0.55691344 0.48378575],[0.54865289 0.48415095],[0.54033011 0.48230189],0.5041048526763916,0.5138015747070312,1663315767713
7,0.41118265894010286,0.4777032443460076,0.44444295164305525,[0.53092849 0.47627795],[0.53975201 0.46939331],[0.54833853 0.47243333],[0.55524367 0.48091143],[0.54698765 0.48192832],[0.53857589 0.48009405],0.502708375453949,0.5114145874977112,1663315767748
8,0.36101008396696554,0.45415327377840103,0.40758167887268326,[0.53103286 0.47737968],[0.53989053 0.47171023],[0.54817808 0.47458091],[0.55503571 0.48210397],[0.54689819 0.48285422],[0.53856957 0.48090717],0.5021712779998779,0.5125733017921448,1663315767779
9,0.43178293002242013,0.47434407492672354,0.45306350247457183,[0.53073221 0.4781878 ],[0.53926998 0.47112852],[0.54749525 0.47402513],[0.55426413 0.48236415],[0.54607522 0.48367003],[0.53796917 0.4819406 ],0.5025564432144165,0.5129331350326538,1663315767811
10,0.41755416402461387,0.41922578457354714,0.41838997429908054,[0.53013438 0.47730896],[0.53877074 0.47088739],[0.54703343 0.47409156],[0.55388588 0.48227277],[0.54564112 0.48352841],[0.53744644 0.48152992],0.5020083785057068,0.5132651925086975,1663315767843
11,0.3623112951754884,0.4643163208480218,0.4133138080117551,[0.53038222 0.47690812],[0.53911084 0.47147948],[0.54747695 0.47440192],[0.55444896 0.4818545 ],[0.54630405 0.48277068],[0.53793758 0.48075888],0.5025905966758728,0.5117683410644531,1663315767879
12,0.3668959723039199,0.44915098650343627,0.4080234794036781,[0.52993232 0.47814134],[0.53859246 0.47275603],[0.54693073 0.47546613],[0.55393291 0.4826085 ],[0.54583728 0.48392013],[0.53749341 0.48208097],0.5015478730201721,0.5130102634429932,1663315767913
13,0.38852006271270423,0.4564591043343507,0.4224895835235275,[0.52971983 0.4777185 ],[0.53838062 0.47185779],[0.54673135 0.47483084],[0.55364758 0.48230386],[0.54547584 0.4836624 ],[0.53720683 0.48179951],0.5014240145683289,0.5130046606063843,1663315767945
14,0.4325178854978803,0.4411407347229296,0.43682931011040493,[0.5294621  0.47821215],[0.53808343 0.47141403],[0.5464564 0.4743439],[0.55325431 0.48227137],[0.5450843  0.48410988],[0.53685009 0.48236138],0.5011603832244873,0.5134796500205994,1663315767986
15,0.38825545994065247,0.48477160361731964,0.43651353177898605,[0.52855122 0.47739384],[0.5371694  0.47125801],[0.54563576 0.47419056],[0.55267364 0.48171136],[0.54452485 0.48298591],[0.5361796  0.48137346],0.5011395812034607,0.5131742358207703,1663315768016
16,0.38292211216636557,0.4681973945183215,0.4255597533423435,[0.52856469 0.477552  ],[0.53732407 0.47134677],[0.5458234  0.47419432],[0.55284369 0.48172471],[0.54475248 0.48294431],[0.53632766 0.48134851],0.4997072219848633,0.5133093595504761,1663315768046
