FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169588
2,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169614
3,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169647
4,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169675
5,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169694
6,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169714
7,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169732
8,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169750
9,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169768
10,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169787
11,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169808
12,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169836
13,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169858
14,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169880
15,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169905
16,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169930
17,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169952
18,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319169975
19,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170000
20,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170024
21,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170045
22,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170069
23,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170092
24,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170115
25,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170138
26,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170163
27,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170186
28,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170210
29,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170231
30,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170251
31,0,0,0,[0.48408583 0.46462172],[0.48891458 0.453302  ],[0.49595839 0.45118856],[0.50393802 0.45674276],[0.49617615 0.46114254],[0.48955449 0.46365583],0.45737239718437195,0.5010150074958801,1663319170270
