FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
122,0,0,0,0,0,0,0,0,0,1663659452839
123,0,0,0,0,0,0,0,0,0,1663659452855
124,0,0,0,0,0,0,0,0,0,1663659452873
125,0,0,0,0,0,0,0,0,0,1663659452889
126,0,0,0,0,0,0,0,0,0,1663659452906
127,0,0,0,0,0,0,0,0,0,1663659452925
128,0,0,0,0,0,0,0,0,0,1663659452942
129,0,0,0,0,0,0,0,0,0,1663659452959
130,0,0,0,0,0,0,0,0,0,1663659452977
131,0,0,0,0,0,0,0,0,0,1663659452994
132,0,0,0,0,0,0,0,0,0,1663659453011
133,0,0,0,0,0,0,0,0,0,1663659453029
134,0,0,0,0,0,0,0,0,0,1663659453046
135,0,0,0,0,0,0,0,0,0,1663659453063
136,0,0,0,0,0,0,0,0,0,1663659453080
137,0,0,0,0,0,0,0,0,0,1663659453098
138,0,0,0,0,0,0,0,0,0,1663659453115
139,0,0,0,0,0,0,0,0,0,1663659453130
140,0,0,0,0,0,0,0,0,0,1663659453145
141,0,0,0,0,0,0,0,0,0,1663659453161
142,0,0,0,0,0,0,0,0,0,1663659453179
143,0,0,0,0,0,0,0,0,0,1663659453197
144,0,0,0,0,0,0,0,0,0,1663659453213
145,0,0,0,0,0,0,0,0,0,1663659453231
146,0,0,0,0,0,0,0,0,0,1663659453248
147,0,0,0,0,0,0,0,0,0,1663659453266
148,0,0,0,0,0,0,0,0,0,1663659453287
149,0,0,0,0,0,0,0,0,0,1663659453305
150,0,0,0,0,0,0,0,0,0,1663659453322
151,0,0,0,0,0,0,0,0,0,1663659453340
152,0,0,0,0,0,0,0,0,0,1663659453357
153,0,0,0,0,0,0,0,0,0,1663659453376
154,0,0,0,0,0,0,0,0,0,1663659453392
155,0,0,0,0,0,0,0,0,0,1663659453409
156,0,0,0,0,0,0,0,0,0,1663659453426
157,0,0,0,0,0,0,0,0,0,1663659453444
158,0,0,0,0,0,0,0,0,0,1663659453462
159,0,0,0,0,0,0,0,0,0,1663659453481
160,0,0,0,0,0,0,0,0,0,1663659453497
161,0,0,0,0,0,0,0,0,0,1663659453515
162,0,0,0,0,0,0,0,0,0,1663659453533
163,0,0,0,0,0,0,0,0,0,1663659453551
164,0,0,0,0,0,0,0,0,0,1663659453570
165,0,0,0,0,0,0,0,0,0,1663659453587
166,0,0,0,0,0,0,0,0,0,1663659453606
167,0,0,0,0,0,0,0,0,0,1663659453623
168,0,0,0,0,0,0,0,0,0,1663659453639
169,0,0,0,0,0,0,0,0,0,1663659453656
170,0,0,0,0,0,0,0,0,0,1663659453673
171,0,0,0,0,0,0,0,0,0,1663659453690
172,0,0,0,0,0,0,0,0,0,1663659453709
173,0,0,0,0,0,0,0,0,0,1663659453727
174,0,0,0,0,0,0,0,0,0,1663659453746
175,0,0,0,0,0,0,0,0,0,1663659453764
176,0,0,0,0,0,0,0,0,0,1663659453780
177,0,0,0,0,0,0,0,0,0,1663659453798
178,0,0,0,0,0,0,0,0,0,1663659453816
179,0,0,0,0,0,0,0,0,0,1663659453833
180,0,0,0,0,0,0,0,0,0,1663659453850
181,0,0,0,0,0,0,0,0,0,1663659453867
182,0,0,0,0,0,0,0,0,0,1663659453884
183,0,0,0,0,0,0,0,0,0,1663659453901
184,0,0,0,0,0,0,0,0,0,1663659453917
185,0,0,0,0,0,0,0,0,0,1663659453933
186,0,0,0,0,0,0,0,0,0,1663659453950
187,0,0,0,0,0,0,0,0,0,1663659453968
188,0,0,0,0,0,0,0,0,0,1663659453986
189,0,0,0,0,0,0,0,0,0,1663659454002
190,0,0,0,0,0,0,0,0,0,1663659454019
191,0,0,0,0,0,0,0,0,0,1663659454037
192,0,0,0,0,0,0,0,0,0,1663659454053
193,0,0,0,0,0,0,0,0,0,1663659454068
194,0,0,0,0,0,0,0,0,0,1663659454085
195,0,0,0,0,0,0,0,0,0,1663659454102
196,0,0,0,0,0,0,0,0,0,1663659454118
197,0,0,0,0,0,0,0,0,0,1663659454135
198,0,0,0,0,0,0,0,0,0,1663659454153
199,0,0,0,0,0,0,0,0,0,1663659454172
200,0,0,0,0,0,0,0,0,0,1663659454190
