FN,EAR_L,EAR_R,EAR,EAR_Diff,NewEAR
1,0.3847075743762813,0.432588517183655,0.40864804577996816,0.047880942807373705,0.40864804577996816
2,0.36573753048008356,0.4560500112328336,0.4108937708564586,0.09031248075275006,0.4108937708564586
3,0.3746996914630396,0.39091749612048193,0.3828085937917608,0.016217804657442325,0.3828085937917608
4,0.372487588120832,0.43648938776842316,0.40448848794462755,0.06400179964759117,0.40448848794462755
5,0.3616177586292946,0.3841635316612591,0.3728906451452768,0.022545773031964533,0.3728906451452768
6,0.37131077353170927,0.4271401805634644,0.3992254770475868,0.05582940703175515,0.3992254770475868
7,0.37329950076236007,0.45420620656678784,0.4137528536645739,0.08090670580442777,0.4137528536645739
8,0.3788143621590742,0.4557848533606893,0.41729960775988173,0.07697049120161509,0.41729960775988173
9,0.3600472292985761,0.443025437318244,0.40153633330841004,0.08297820801966793,0.40153633330841004
10,0.38060944846669637,0.4104507958868621,0.39553012217677924,0.029841347420165754,0.39553012217677924
11,0.38541917074589455,0.41932369652786117,0.4023714336368779,0.03390452578196662,0.4023714336368779
12,0.4070963343420009,0.4471102024262519,0.4271032683841264,0.040013868084251,0.4271032683841264
13,0.43618108758162144,0.41624657387520664,0.426213830728414,0.019934513706414803,0.426213830728414
14,0.39557888624175863,0.4389396118510761,0.41725924904641737,0.043360725609317474,0.41725924904641737
15,0.41634811331544486,0.4296261518456352,0.42298713258054,0.013278038530190328,0.42298713258054
16,0.4097776895503236,0.44518586059264414,0.4274817750714839,0.035408171042320524,0.4274817750714839
17,0.4040478497941826,0.42066869083630176,0.4123582703152422,0.01662084104211914,0.4123582703152422
18,0.4045939937739077,0.42015803165635784,0.4123760127151328,0.015564037882450144,0.4123760127151328
19,0.39459313033777776,0.4551065954505385,0.42484986289415816,0.060513465112760734,0.42484986289415816
20,0.4171169604072396,0.40400828224004715,0.4105626213236434,0.013108678167192467,0.4105626213236434
21,0.40050255165171345,0.4862093033166635,0.4433559274841885,0.08570675166495006,0.4433559274841885
22,0.4152454096652241,0.43915026584692995,0.427197837756077,0.023904856181705847,0.427197837756077
23,0.4515303528799322,0.46988868771394465,0.46070952029693846,0.018358334834012446,0.46070952029693846
24,0.4222771140438031,0.42608669677359773,0.4241819054087004,0.003809582729794647,0.4241819054087004
25,0.4260747349675713,0.44419958407917837,0.43513715952337484,0.018124849111607055,0.43513715952337484
26,0.45300403342407775,0.5101603195123409,0.48158217646820933,0.05715628608826312,0.48158217646820933
27,0.45494581169543213,0.43692058219116403,0.4459331969432981,0.018025229504268103,0.4459331969432981
28,0.4579450704268713,0.5156922747490569,0.4868186725879641,0.05774720432218555,0.4868186725879641
29,0.4545089449099732,0.43478244832421714,0.4446456966170952,0.019726496585756037,0.4446456966170952
30,0.45729386808284866,0.44715855408448246,0.45222621108366556,0.010135313998366202,0.45222621108366556
31,0.4735120742367766,0.4730878517494747,0.47329996299312566,0.00042422248730189516,0.47329996299312566
32,0.5101311803990349,0.4886897877063743,0.4994104840527046,0.021441392692660655,0.4994104840527046
33,0.5122407124182912,0.4994836033846922,0.5058621579014917,0.012757109033598946,0.5058621579014917
34,0.49317392155844403,0.47728834879531107,0.48523113517687755,0.01588557276313296,0.48523113517687755
35,0.48165271489693084,0.46822654219813664,0.47493962854753374,0.013426172698794203,0.47493962854753374
36,0.47706873860775206,0.45291466260164415,0.4649917006046981,0.024154076006107916,0.4649917006046981
37,0.4776439045744277,0.40777102207365606,0.44270746332404187,0.06987288250077162,0.44270746332404187
