FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
28,0.19847153319777586,0.2511326195904701,0.22480207639412297,[0.46525279 0.30419105],[0.4826225  0.29724509],[0.50098085 0.29608673],[0.51794291 0.29866618],[0.49941534 0.30653214],[0.48057094 0.30750963],1663674137931
29,0.18832483990626842,0.2092555533560061,0.19879019663113726,[0.46451119 0.30326769],[0.48151657 0.29691768],[0.49950013 0.29567701],[0.51623487 0.29742843],[0.49763525 0.30539882],[0.47913313 0.3063269 ],1663674137956
30,0.2221698286302277,0.23448648012663023,0.22832815437842896,[0.46790525 0.30041787],[0.48357603 0.29254544],[0.50061941 0.291253  ],[0.51658124 0.29388848],[0.49877143 0.30201858],[0.48154598 0.30325407],1663674137975
31,0.2022488357183236,0.2441017323140475,0.22317528401618555,[0.46865225 0.29529274],[0.48688376 0.28749898],[0.50585794 0.28654367],[0.52178073 0.28971335],[0.50322372 0.29703981],[0.48457313 0.29803547],1663674137995
32,0.2135286412458402,0.24517797805158437,0.22935330964871228,[0.47448987 0.2933085 ],[0.49152321 0.28542912],[0.50970179 0.28509486],[0.52544534 0.28863522],[0.50723213 0.29549727],[0.48958859 0.29642084],1663674138019
33,0.22028651721440104,0.26697964330385654,0.24363308025912878,[0.46954027 0.29428861],[0.48742267 0.28665364],[0.50576895 0.28661278],[0.52115661 0.29042506],[0.50288302 0.29748732],[0.4849574  0.29794097],1663674138038
34,0.20188411037938184,0.25095191932524424,0.22641801485231305,[0.45837349 0.29008675],[0.47796953 0.28315571],[0.49764797 0.28293708],[0.51384956 0.28646779],[0.4952825  0.29377571],[0.47583637 0.29430684],1663674138058
35,0.22364205319767938,0.23499354278688356,0.22931779799228147,[0.44660351 0.2948322 ],[0.46328366 0.28617948],[0.48170322 0.28492928],[0.49783817 0.28806424],[0.47998628 0.29623738],[0.46221775 0.29780856],1663674138077
36,0.20693621023095604,0.22452946610387,0.215732838167413,[0.43856797 0.30034485],[0.45478791 0.29158822],[0.47303355 0.28973734],[0.48924807 0.29217893],[0.47190306 0.30018711],[0.45429295 0.30231169],1663674138100
37,0.21877351502405976,0.3002592420878092,0.25951637855593446,[0.4347156  0.30087364],[0.44898021 0.29197109],[0.46640262 0.29000223],[0.48326299 0.29241207],[0.46552971 0.30081567],[0.44873735 0.30268171],1663674138120
38,0.20460802611235504,0.3111463388374912,0.25787718247492314,[0.43862271 0.2975359 ],[0.45286745 0.28917155],[0.47025931 0.28685755],[0.48776889 0.28868809],[0.4698244 0.2971217],[0.45279205 0.29933262],1663674138139
39,0.21539517848179762,0.2858881289746393,0.25064165372821845,[0.44530147 0.29385176],[0.46134704 0.28470492],[0.47969219 0.28251117],[0.49708289 0.2851482 ],[0.47964841 0.29375237],[0.46152213 0.29608214],1663674138157
40,0.21503783868673937,0.3230958983918234,0.2690668685392814,[0.44862515 0.28874916],[0.46382922 0.28028238],[0.4813824  0.27856088],[0.49761966 0.28082508],[0.48031077 0.28921548],[0.46322519 0.29090202],1663674138175
41,0.17605293625886878,0.2485767031593398,0.2123148197091043,[0.45681661 0.28419438],[0.47479007 0.27714348],[0.49342149 0.27587312],[0.50945443 0.2780337 ],[0.4918614  0.28501189],[0.47319427 0.2863965 ],1663674138195
42,0.18359123040754324,0.2457217430770518,0.21465648674229754,[0.46281385 0.28467169],[0.47800267 0.2777226 ],[0.49514014 0.27652213],[0.51083565 0.27856258],[0.49333194 0.28514799],[0.47663534 0.28657919],1663674138216
43,0.2010337781877801,0.24046556336549652,0.22074967077663832,[0.46728864 0.28691658],[0.48354638 0.27993333],[0.50114912 0.27961126],[0.51661807 0.28264001],[0.49898526 0.28913474],[0.48190376 0.28994137],1663674138237
44,0.213879203134593,0.29681112624613015,0.25534516469036156,[0.47094512 0.2930747 ],[0.48775601 0.28502986],[0.50545794 0.28460661],[0.52093709 0.28839454],[0.50275958 0.29497653],[0.48538309 0.29552776],1663674138256
45,0.18039511536239825,0.28833443159085903,0.23436477347662865,[0.46966079 0.2966553 ],[0.48672628 0.29008231],[0.50486773 0.28974572],[0.52035201 0.29233778],[0.50190026 0.29839343],[0.48416641 0.29893193],1663674138274
46,0.19175790768207351,0.29419646253798637,0.24297718511002994,[0.46951041 0.29752293],[0.4861033  0.29095656],[0.50405127 0.29023591],[0.51979417 0.29280046],[0.50173157 0.29974586],[0.48418236 0.30034271],1663674138293
47,0.19980020576615942,0.2818578487150358,0.2408290272405976,[0.47122371 0.29693884],[0.48926795 0.29013684],[0.50793856 0.28948513],[0.52385879 0.29246494],[0.50538623 0.29982045],[0.48695168 0.30034027],1663674138313
48,0.1945973004445662,0.26040874727998864,0.22750302386227741,[0.47259954 0.29295373],[0.49050158 0.28655845],[0.50900251 0.28607959],[0.52518499 0.28944373],[0.50669211 0.29610148],[0.48832488 0.29655087],1663674138336
49,0.20417323908008,0.2734935253093421,0.23883338219471106,[0.47137094 0.29342112],[0.48944297 0.28525442],[0.50803435 0.28448299],[0.52422589 0.28784379],[0.50638372 0.29497197],[0.48793229 0.29623589],1663674138358
50,0.21834849137844972,0.26740614127075263,0.2428773163246012,[0.46902382 0.29123637],[0.48608735 0.28324991],[0.50385183 0.28277856],[0.51926178 0.28637207],[0.50162119 0.29339364],[0.4841432  0.29427424],1663674138380
51,0.18107295444130597,0.2495089153586755,0.21529093489999074,[0.46933162 0.28769445],[0.48678806 0.28122482],[0.50498629 0.28019792],[0.52103293 0.28270921],[0.50360054 0.28949216],[0.48546737 0.29054499],1663674138402
52,0.21718138531601267,0.31213136396462404,0.2646563746403183,[0.47095031 0.28728276],[0.48873517 0.27913883],[0.50692987 0.27862492],[0.5224216 0.2822383],[0.50481987 0.28947386],[0.48673511 0.29037431],1663674138422
53,0.20334388670763043,0.2871245801481603,0.24523423342789535,[0.46980652 0.28792006],[0.48633346 0.28035468],[0.50366884 0.27981013],[0.51879376 0.2828846 ],[0.50111735 0.28934357],[0.48420551 0.29028782],1663674138448
54,0.18428343871851102,0.2433554199760932,0.2138194293473021,[0.47066551 0.28549141],[0.48740605 0.27907273],[0.50478107 0.27873161],[0.52022022 0.2817983 ],[0.50296003 0.28751433],[0.485686   0.28825843],1663674138470
55,0.19603397203929454,0.23565734312991093,0.21584565758460272,[0.47262758 0.28481317],[0.48908165 0.27797413],[0.50649977 0.27776605],[0.52182251 0.28091642],[0.50403321 0.28696051],[0.48701704 0.28758344],1663674138490
56,0.16827322201675524,0.24270249281488449,0.20548785741581987,[0.4758431  0.28500587],[0.49342558 0.27933735],[0.51182163 0.27905196],[0.52775544 0.28169912],[0.50975776 0.28739125],[0.49151221 0.28804505],1663674138507
57,0.17388051800362012,0.2671511960060041,0.22051585700481213,[0.48075953 0.28688568],[0.49744576 0.28111967],[0.51540422 0.28131539],[0.53123653 0.28416485],[0.51269686 0.28952616],[0.49521825 0.28977132],1663674138527
58,0.19797256243882624,0.20263072204405683,0.20030164224144154,[0.48098183 0.28768751],[0.49783787 0.28171897],[0.51615286 0.28248048],[0.53192526 0.28609359],[0.51245636 0.29180738],[0.49503672 0.29147267],1663674138546
59,0.18371319544386294,0.3044379410768676,0.24407556826036528,[0.48155785 0.28954405],[0.49947169 0.28356993],[0.51815516 0.28410169],[0.53369391 0.28772777],[0.51470399 0.29302892],[0.49658641 0.29272261],1663674138567
