FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.19297609834522841,0.3633521667749237,0.27816413256007605,[0.48029691 0.33007064],[0.49033836 0.32456142],[0.50299466 0.32347134],[0.51441157 0.3257207 ],[0.50202501 0.33000576],[0.48982394 0.3312088 ],1663671457408
2,0.1828296337773567,0.4155956005495599,0.2992126171634583,[0.47533926 0.31646743],[0.48505172 0.31131262],[0.49857801 0.30994272],[0.51165992 0.3114154 ],[0.49767986 0.31663653],[0.4849554  0.31796697],1663671457430
3,0.1771543761389451,0.31728161596611487,0.24721799605252998,[0.48265266 0.31117198],[0.49553761 0.3065511 ],[0.50894815 0.3063587 ],[0.52051544 0.30810747],[0.50650585 0.31256297],[0.49309152 0.3128866 ],1663671457449
4,0.270180075532735,0.3147479669350423,0.29246402123388865,[0.4818576  0.30049223],[0.49458945 0.29127386],[0.51077986 0.29124057],[0.52480352 0.2967585 ],[0.50745749 0.30238038],[0.49302444 0.30283755],1663671457469
5,0.2742800772466382,0.27521711207546157,0.2747485946610499,[0.47770804 0.29351702],[0.49104705 0.28425086],[0.50775689 0.28432816],[0.52255958 0.28926852],[0.50404251 0.2960777 ],[0.4892098  0.29650512],1663671457486
6,0.24481185162820765,0.2786661826556322,0.26173901714191994,[0.47379494 0.29074752],[0.48821887 0.28261381],[0.50560135 0.28246498],[0.52118969 0.28665501],[0.50237638 0.29377189],[0.48631078 0.293989  ],1663671457505
7,0.2363964050303368,0.2741562361784286,0.2552763206043827,[0.47207376 0.28526425],[0.48714629 0.27628613],[0.50465083 0.27588189],[0.51971251 0.27953839],[0.50205231 0.28681588],[0.48568863 0.28763977],1663671457530
8,0.23857013241358388,0.26295665730284695,0.2507633948582154,[0.48230305 0.28511015],[0.49715972 0.27607721],[0.51415467 0.27557147],[0.52876449 0.27905557],[0.51157969 0.28627545],[0.49554095 0.28730786],1663671457551
9,0.25095193045330455,0.2781922046393133,0.2645720675463089,[0.49251288 0.28451011],[0.50740945 0.2759755 ],[0.52456671 0.27599072],[0.53924483 0.28018355],[0.5212937  0.28728795],[0.5052827 0.2875756],1663671457571
10,0.23527640162652771,0.2604228842759634,0.24784964295124556,[0.50253886 0.28051507],[0.51822001 0.27252936],[0.53541082 0.27331451],[0.550264   0.27826539],[0.53184009 0.2838712 ],[0.51549751 0.28353554],1663671457586
11,0.22735531632461775,0.27180315302978175,0.24957923467719975,[0.49812528 0.27455437],[0.51334363 0.2676636 ],[0.53030998 0.2686477 ],[0.54541415 0.27354324],[0.52659827 0.27872908],[0.51058006 0.27806753],1663671457606
12,0.22418371555904182,0.22780493767565485,0.22599432661734833,[0.49372581 0.27101082],[0.50850165 0.26409447],[0.526169   0.26477006],[0.54192579 0.26876009],[0.52197999 0.2749033 ],[0.50584882 0.27442932],1663671457625
13,0.24274988216651963,0.17448375270930938,0.2086168174379145,[0.48717457 0.27207169],[0.50307351 0.26347026],[0.52101898 0.26349363],[0.53668684 0.26825872],[0.5170483  0.27498108],[0.50034171 0.27510899],1663671457647
14,0.2583016044032387,0.27746070609746154,0.2678811552503501,[0.48796976 0.27802399],[0.50152469 0.2691105 ],[0.51876861 0.26910532],[0.53387696 0.27336317],[0.51486063 0.28044695],[0.49963978 0.28080121],1663671457670
15,0.23531580340197156,0.24920321226531636,0.24225950783364397,[0.49038398 0.28223988],[0.50560158 0.27433625],[0.52260101 0.27427083],[0.53715992 0.27839044],[0.51925015 0.28487241],[0.50324368 0.28504997],1663671457688
16,0.22034533632156564,0.23293749439212602,0.22664141535684584,[0.4932884  0.28177905],[0.50837618 0.27509937],[0.52597654 0.27565864],[0.54087532 0.27897903],[0.52175671 0.2853744 ],[0.50573146 0.28517276],1663671457706
17,0.23322425916535755,0.278721511560218,0.2559728853627878,[0.4940677  0.28170991],[0.50920093 0.27482346],[0.52646571 0.27576119],[0.54109764 0.28000873],[0.52217162 0.28595454],[0.50635266 0.28533489],1663671457730
18,0.23308596112481586,0.24057474395695938,0.23683035254088763,[0.49381474 0.27998704],[0.50926042 0.27271512],[0.52648282 0.27334788],[0.54161793 0.27811113],[0.52257597 0.28388783],[0.50642639 0.28340682],1663671457750
19,0.2199067372187484,0.21751826680630304,0.21871250201252573,[0.48963952 0.27706155],[0.50398767 0.26992905],[0.52153927 0.270585  ],[0.53720134 0.27433875],[0.51759833 0.28033051],[0.50183129 0.28014433],1663671457773
20,0.2154711299835275,0.23079281424265907,0.22313197211309327,[0.48094952 0.27922991],[0.49575269 0.2718789 ],[0.51325631 0.27218536],[0.52880919 0.27562127],[0.50973189 0.28184196],[0.49360508 0.28205845],1663671457794
21,0.22941609704953264,0.2311262840408815,0.23027119054520706,[0.47461805 0.28047946],[0.49066707 0.27204567],[0.50849754 0.27184656],[0.52380985 0.27562273],[0.50533134 0.28262159],[0.48851752 0.28329203],1663671457819
22,0.23360172633025234,0.22917290701331783,0.23138731667178508,[0.46943095 0.28151143],[0.48559424 0.27278873],[0.50332856 0.27204081],[0.51859015 0.27556926],[0.50044298 0.28315252],[0.48362848 0.28427601],1663671457842
23,0.2196908089676527,0.19838083017814725,0.20903581957289996,[0.46257943 0.28059417],[0.47942442 0.27212411],[0.49727044 0.27120534],[0.51252055 0.2744306 ],[0.49506006 0.28190419],[0.47766417 0.28316963],1663671457865
24,0.20919215730357768,0.21369342314616271,0.2114427902248702,[0.46082473 0.27915907],[0.47624925 0.2712003 ],[0.49382728 0.27031803],[0.50942296 0.27306288],[0.49206141 0.28019121],[0.47522327 0.2816121 ],1663671457885
25,0.18125133131303317,0.22680525776989782,0.20402829454146548,[0.46327356 0.28015321],[0.47856277 0.27303693],[0.49679312 0.27141684],[0.5128147  0.27240637],[0.49514064 0.28023687],[0.4778797  0.28221509],1663671457907
26,0.20683732532536242,0.24980610207517914,0.22832171370027077,[0.46696356 0.28115246],[0.48137456 0.2724627 ],[0.49925584 0.2707772 ],[0.51530612 0.27268323],[0.49735212 0.28061438],[0.4806883  0.28272274],1663671457927
27,0.21893127326691658,0.28644337843206175,0.25268732584948916,[0.47277156 0.28331488],[0.48769391 0.27458954],[0.50569057 0.2734156 ],[0.52111679 0.27553782],[0.50305498 0.28374094],[0.4863449  0.28528914],1663671457946
28,0.2042526050271208,0.25132568104653474,0.2277891430368278,[0.4756901  0.28536227],[0.49300358 0.27734557],[0.5117963  0.27626139],[0.52781266 0.27910668],[0.50935942 0.28663862],[0.49124599 0.28798702],1663671457967
29,0.2317792040942165,0.23532961927284274,0.23355441168352964,[0.47275531 0.28820884],[0.49021861 0.27944794],[0.50886792 0.27912578],[0.52451891 0.28318551],[0.50605738 0.29073665],[0.48801401 0.29140845],1663671457989
30,0.22372085152155857,0.25185456921030464,0.2377877103659316,[0.46962729 0.29017127],[0.48632112 0.28198639],[0.50438625 0.28173912],[0.51995802 0.28547585],[0.50158602 0.29256907],[0.4842478  0.29322854],1663671458009
31,0.2360905614734472,0.270701250594618,0.2533959060340326,[0.46788737 0.28884846],[0.48382169 0.2800315 ],[0.50178432 0.27994063],[0.51768363 0.28419536],[0.49849233 0.29123819],[0.48139852 0.29162893],1663671458030
32,0.22557040451268998,0.22065069946053598,0.22311055198661298,[0.46753383 0.28545889],[0.48341292 0.27706039],[0.50079304 0.27681983],[0.51629841 0.28078812],[0.49808511 0.28739578],[0.48130786 0.28804374],1663671458049
33,0.24904175726135383,0.2666740734208292,0.25785791534109154,[0.47308177 0.28325903],[0.48711458 0.27464151],[0.504803   0.27483031],[0.52027416 0.27865127],[0.50091386 0.28600049],[0.48515236 0.28626674],1663671458069
