FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.22463173873378514,0.2754327465129235,0.25003224262335433,[0.49410242 0.32873318],[0.51339203 0.32339001],[0.53243023 0.32524854],[0.54675627 0.32981297],[0.52594298 0.33544469],[0.50764132 0.33343595],1663672742908
2,0.23094871753973814,0.27796584093615795,0.25445727923794803,[0.48660934 0.328269  ],[0.50575638 0.32259303],[0.52494484 0.32515275],[0.53925788 0.33089808],[0.51864105 0.33578879],[0.50062394 0.3334232 ],1663672742930
3,0.22670952524293017,0.29012534300119097,0.2584174341220606,[0.48352316 0.329254  ],[0.50316513 0.32361525],[0.52292871 0.32574067],[0.53741014 0.33091801],[0.51655209 0.33646262],[0.49788049 0.33435574],1663672742953
4,0.2353858981479701,0.3101412949651864,0.2727635965565782,[0.48142755 0.32963458],[0.50120723 0.32347795],[0.52108836 0.32536867],[0.5359813  0.33060893],[0.51510179 0.33699265],[0.49617943 0.33504385],1663672742984
5,0.2369055929001428,0.30878611823416446,0.27284585556715363,[0.47882962 0.3290208 ],[0.4977755  0.32247761],[0.51737767 0.32400605],[0.53263056 0.32898155],[0.5120042  0.33573988],[0.49338901 0.33427426],1663672743007
6,0.22812298183856788,0.3042624923685022,0.2661927371035351,[0.48045778 0.32720277],[0.49885082 0.32163605],[0.51791829 0.32343215],[0.53298831 0.32816964],[0.51261926 0.33439577],[0.49442527 0.33256808],1663672743030
7,0.23889207282763397,0.28112179837188017,0.26000693559975707,[0.48323607 0.32513559],[0.5028103  0.31899869],[0.52254421 0.32093179],[0.53713101 0.3258509 ],[0.51663423 0.33256045],[0.4978632  0.33070436],1663672743048
8,0.22429192088618816,0.31375037773380754,0.2690211493099979,[0.48655015 0.32042891],[0.50497085 0.31487057],[0.52403384 0.31680417],[0.53905952 0.32161564],[0.51853651 0.32739609],[0.50030148 0.32551911],1663672743070
9,0.2319728981258684,0.2902742955105535,0.26112359681821096,[0.49227542 0.31773189],[0.51094007 0.31187308],[0.52995926 0.313739  ],[0.54453915 0.3189131 ],[0.52437264 0.32470062],[0.5063588  0.32291067],1663672743092
10,0.23722330407459308,0.2813701625887133,0.25929673333165315,[0.49615628 0.31674698],[0.5149135  0.31095198],[0.53411901 0.31315705],[0.54867661 0.31888619],[0.52842253 0.32454038],[0.51025277 0.32223707],1663672743112
11,0.23317409667228756,0.24898591429326006,0.2410800054827738,[0.49949563 0.31408721],[0.51972437 0.30857152],[0.53992212 0.31106663],[0.55419976 0.31675255],[0.53324115 0.32236615],[0.51414245 0.31966043],1663672743130
12,0.24647114449860685,0.2601018747408492,0.25328650961972804,[0.50243121 0.31216684],[0.52091664 0.30632716],[0.53942299 0.30856559],[0.55353725 0.31440246],[0.53363037 0.31999227],[0.51597762 0.31770691],1663672743147
13,0.24441540774180173,0.2587738847962451,0.2515946462690234,[0.50828308 0.31533587],[0.52723753 0.30988365],[0.54597044 0.31267333],[0.55989635 0.31878576],[0.53976649 0.32388449],[0.52197069 0.32119036],1663672743167
14,0.23544603001258935,0.2126362579761998,0.22404114399439456,[0.50584567 0.31536472],[0.52531171 0.31011361],[0.54480058 0.31299028],[0.55938554 0.31939834],[0.53852069 0.3242338 ],[0.52006322 0.32135308],1663672743186
15,0.21796075858141808,0.2765448993333042,0.24725282895736111,[0.50298816 0.31191462],[0.52159953 0.30732071],[0.54100287 0.31022662],[0.55578721 0.31573847],[0.53468019 0.32020512],[0.516572   0.31739995],1663672743208
16,0.2244180108163958,0.2502840857023826,0.23735104825938919,[0.50069833 0.31372014],[0.52035725 0.30882186],[0.54001343 0.31114268],[0.55446845 0.31668329],[0.53382677 0.32188573],[0.51516807 0.31939009],1663672743228
17,0.2314924943071376,0.2879703523047025,0.25973142330592003,[0.49601796 0.31394523],[0.51469076 0.30820274],[0.5339933 0.3104893],[0.54858893 0.3161757 ],[0.52821344 0.32142431],[0.51002967 0.31925282],1663672743246
18,0.2272646571020108,0.26186429969398833,0.24456447839799955,[0.49256301 0.31368202],[0.51116693 0.30787235],[0.53030115 0.30989456],[0.5447349  0.31519109],[0.5247615  0.32053208],[0.50646961 0.3186208 ],1663672743270
19,0.22884529349132215,0.29123859795175117,0.26004194572153666,[0.49056786 0.31665045],[0.50891316 0.31076702],[0.52792895 0.31258109],[0.54297096 0.31786472],[0.52275693 0.32356891],[0.50444704 0.32173955],1663672743290
20,0.23140029856027552,0.3107243296014159,0.2710623140808457,[0.48696983 0.31652385],[0.50439155 0.31050313],[0.52269989 0.31235841],[0.53741306 0.31754598],[0.51781964 0.32304883],[0.50033438 0.32136863],1663672743309
21,0.21338484517591247,0.2922164538799457,0.2528006495279291,[0.48768759 0.31398213],[0.50689644 0.30829751],[0.52655941 0.30962068],[0.54130387 0.31411824],[0.52096099 0.3199608 ],[0.50240076 0.318472  ],1663672743328
22,0.23733509136490902,0.25153185825058005,0.24443347480774452,[0.49139768 0.31343809],[0.50902063 0.30668846],[0.52716523 0.30814162],[0.54155278 0.31314453],[0.52248114 0.31910056],[0.50518727 0.31794307],1663672743350
23,0.24703608910235647,0.27312838903201775,0.2600822390671871,[0.49667892 0.3113693 ],[0.51371884 0.3043972 ],[0.53155202 0.30623773],[0.54588008 0.31181118],[0.52654934 0.31729999],[0.50979298 0.31591558],1663672743373
24,0.22871977754330908,0.265219459830887,0.24696961868709805,[0.49935776 0.30651674],[0.51819372 0.30085406],[0.537193   0.30312049],[0.55144554 0.30888513],[0.53170842 0.3138175 ],[0.51368767 0.31179285],1663672743397
25,0.20824441839105412,0.24415534609882478,0.22619988224493945,[0.50044721 0.30683476],[0.51967645 0.30205432],[0.53875065 0.30408382],[0.55305719 0.30903098],[0.5332793  0.31376344],[0.51498264 0.31179389],1663672743416
