FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
1,0.2708333190881227,0.28314747390280665,0.27699039649546464,[0.57166564 0.17798008],[0.58741891 0.16542807],[0.60746962 0.16594571],[0.6234284  0.17120457],[0.60217559 0.17886537],[0.58436543 0.17941371],1663672495844
2,0.2683800313317006,0.2644494348255647,0.2664147330786326,[0.56910878 0.18130396],[0.58581215 0.16892838],[0.60556847 0.16993532],[0.6213097  0.17498167],[0.60008883 0.182594  ],[0.58231091 0.18292752],1663672495864
3,0.2502353906194262,0.29356406043755645,0.2718997255284913,[0.5655058  0.18920653],[0.58401215 0.17785206],[0.60400623 0.17909886],[0.61893141 0.18386854],[0.59820092 0.19091685],[0.57978356 0.19088757],1663672495888
4,0.24736224229763334,0.31006795665697084,0.2787150994773021,[0.56146449 0.19556519],[0.58009839 0.18488437],[0.60002857 0.1860766 ],[0.61492699 0.1908178 ],[0.59447461 0.19795999],[0.5760892  0.19770834],1663672495908
5,0.26245563355852614,0.274037073833136,0.26824635369583105,[0.56296247 0.19527838],[0.58082807 0.18362027],[0.60096514 0.18521702],[0.61657149 0.1900937 ],[0.594953   0.19774872],[0.57677728 0.19740961],1663672495926
6,0.2770970689112388,0.29092943503222785,0.2840132519717333,[0.56689328 0.1897478 ],[0.58295918 0.17903005],[0.60263461 0.18063912],[0.61882591 0.18509525],[0.59615135 0.19334479],[0.57875377 0.19304453],1663672495949
7,0.27354168659748507,0.24545776319146045,0.25949972489447276,[0.57198066 0.18430722],[0.58862811 0.17373833],[0.60769206 0.17504852],[0.6231485  0.17941219],[0.60072678 0.18725999],[0.58393818 0.18699583],1663672495974
8,0.26756455460663775,0.26081369862424086,0.2641891266154393,[0.57127512 0.17690516],[0.58828056 0.16547981],[0.60773021 0.16751444],[0.62378794 0.17272614],[0.60145617 0.17977035],[0.58394063 0.17923281],1663672495992
9,0.2672721280408084,0.2566312967696562,0.2619517124052323,[0.57388479 0.16583553],[0.59107447 0.15481213],[0.61059886 0.15702292],[0.6266219  0.16264056],[0.60443717 0.16937032],[0.58672714 0.16858487],1663672496013
10,0.25157670877761484,0.27335991029265866,0.2624683095351368,[0.57054883 0.15462425],[0.58996743 0.14348581],[0.60999614 0.14587829],[0.62517303 0.15157939],[0.60332018 0.15763631],[0.58486581 0.15652958],1663672496033
11,0.26757643609203763,0.2615667025039429,0.2645715692979903,[0.57088089 0.14775802],[0.58811897 0.13704053],[0.60648894 0.13898532],[0.6216504  0.14422214],[0.60036916 0.15078312],[0.5834893  0.15019423],1663672496051
12,0.26347615096027527,0.24089313329519185,0.25218464212773356,[0.56655216 0.14635736],[0.58326429 0.1360272 ],[0.60137695 0.13767099],[0.61676246 0.14249633],[0.59560192 0.14929822],[0.5790658  0.14891466],1663672496072
13,0.2742819301893182,0.2904940837439296,0.2823880069666239,[0.56395608 0.14278647],[0.58068889 0.13208166],[0.59905428 0.13359615],[0.61389822 0.13831218],[0.59326851 0.14583036],[0.57662308 0.14544989],1663672496091
14,0.2636056799558042,0.28578385011421925,0.2746947650350117,[0.5646376 0.1384277],[0.58207142 0.12644088],[0.60113043 0.12806991],[0.6160115  0.13372403],[0.59532547 0.14001873],[0.57823896 0.13981658],1663672496112
15,0.2585940959626802,0.2787362423779374,0.2686651691703088,[0.56548584 0.1347826 ],[0.58369118 0.12330881],[0.60281616 0.12488803],[0.61765409 0.130588  ],[0.59761244 0.13697773],[0.58000642 0.13671756],1663672496130
16,0.2659041356027467,0.28166386139184224,0.2737839984972945,[0.56664115 0.1325403 ],[0.584158   0.12087826],[0.60280436 0.12269908],[0.61782628 0.12850089],[0.59698701 0.13463758],[0.58002019 0.13427886],1663672496149
17,0.2638447821307001,0.30323176576586097,0.2835382739482806,[0.56350309 0.13019615],[0.58067787 0.11894367],[0.59875834 0.12054542],[0.61342806 0.12574096],[0.59354478 0.13219254],[0.57694119 0.13211262],1663672496171
18,0.23774027230829936,0.3080530304735257,0.27289665139091257,[0.56094092 0.12960702],[0.57962263 0.11933324],[0.59828341 0.12097662],[0.61327189 0.12593473],[0.59271497 0.13175736],[0.57515001 0.13133667],1663672496191
19,0.23896965508699314,0.2952741344998289,0.26712189479341103,[0.55788273 0.13186726],[0.57507569 0.12110195],[0.59346956 0.12222832],[0.60934192 0.12713423],[0.58856732 0.13315801],[0.57143015 0.13328777],1663672496212
20,0.23586856241450158,0.27273387920073927,0.2543012208076204,[0.54790258 0.13329074],[0.56613404 0.12188366],[0.58545202 0.12304819],[0.60132653 0.12870073],[0.58101112 0.13434923],[0.56298649 0.1346541 ],1663672496235
21,0.2577800839540482,0.326619012467545,0.29219954821079663,[0.54156774 0.1366957 ],[0.55952966 0.12450213],[0.57854831 0.12558302],[0.59391379 0.13134271],[0.57394361 0.1378136 ],[0.55617219 0.13815497],1663672496258
22,0.2538990784056384,0.3004510702509428,0.2771750743282906,[0.53845775 0.14013745],[0.55476415 0.12826352],[0.57309276 0.12934336],[0.58866072 0.13460067],[0.56851774 0.14080989],[0.55167222 0.1412012 ],1663672496288
23,0.24942044404670285,0.3120268463434352,0.28072364519506904,[0.53889012 0.14235315],[0.55532736 0.13097142],[0.57330954 0.13201751],[0.58893394 0.13700821],[0.56875604 0.14321841],[0.55216312 0.1435957 ],1663672496313
24,0.21398658506095983,0.3174886182144377,0.2657376016376988,[0.54063612 0.14271775],[0.55860364 0.13264896],[0.57720697 0.13380548],[0.59280509 0.13832274],[0.57268822 0.14352748],[0.55520546 0.14382911],1663672496335
25,0.2161741339992219,0.3205522530458456,0.26836319352253374,[0.54635048 0.1439929 ],[0.56438273 0.13434058],[0.5829187  0.13551912],[0.59852356 0.13980192],[0.57820779 0.14544663],[0.56070781 0.14538635],1663672496356
26,0.2200080257583777,0.2909500644330161,0.25547904509569686,[0.55000544 0.14471087],[0.56801474 0.13463669],[0.58676916 0.13590376],[0.60237694 0.14026323],[0.58183104 0.1459578 ],[0.56426299 0.14595716],1663672496377
27,0.22445311462055356,0.2901938616022598,0.2573234881114067,[0.55408502 0.14476575],[0.57289791 0.13489424],[0.59194875 0.13661724],[0.60735369 0.14172477],[0.5870235  0.14707524],[0.56895089 0.14664066],1663672496401
28,0.2275017459610069,0.27635074307644,0.2519262445187234,[0.56122959 0.14409015],[0.57934886 0.13415326],[0.59795886 0.13619281],[0.61361361 0.14171636],[0.59318036 0.14656581],[0.57551491 0.14598629],1663672496423
29,0.22326030137473657,0.2906890568637975,0.256974679119267,[0.56661445 0.14284718],[0.58303809 0.13436419],[0.60085171 0.13628754],[0.6163739  0.14041848],[0.59527445 0.14562237],[0.57898331 0.14498769],1663672496446
30,0.2410039589483169,0.31066935637961657,0.2758366576639667,[0.56802416 0.1439286 ],[0.58434683 0.13464224],[0.60189259 0.13657898],[0.61730683 0.14135757],[0.59652305 0.14679171],[0.5803448  0.14621866],1663672496468
31,0.22976663361269503,0.2705158118657678,0.2501412227392314,[0.56130195 0.14251775],[0.57926065 0.13366662],[0.59768367 0.13559869],[0.61249965 0.14009114],[0.59194529 0.14560992],[0.57487404 0.14485142],1663672496489
32,0.25120646388772166,0.3145202445083587,0.2828633541980402,[0.55139518 0.14536659],[0.56750792 0.13423933],[0.58557326 0.13554324],[0.60099018 0.14055997],[0.58062619 0.14662479],[0.56405014 0.14666547],1663672496509
33,0.2521197920295908,0.3232244772981305,0.28767213466386066,[0.543818   0.14715502],[0.56023031 0.13599704],[0.57862121 0.13711575],[0.59400761 0.14209399],[0.57422543 0.14861357],[0.55734903 0.14880338],1663672496530
34,0.24313011801761839,0.2870811420840815,0.2651056300508499,[0.53756386 0.14638905],[0.55416268 0.13558598],[0.57244217 0.13655867],[0.58759314 0.14099219],[0.56783032 0.14750046],[0.55105305 0.14779043],1663672496551
35,0.2466469557648552,0.28625534276215414,0.26645114926350466,[0.53237039 0.14403403],[0.54675686 0.13384877],[0.56370056 0.1346883 ],[0.57887167 0.13809945],[0.5590452  0.14494032],[0.54379308 0.14533801],1663672496571
36,0.20042316014955433,0.2916335846690056,0.24602837240927994,[0.52608103 0.14379901],[0.53975499 0.13656411],[0.55661106 0.1372613 ],[0.57183963 0.13862759],[0.55110568 0.14487533],[0.5361287  0.14487006],1663672496591
37,0.11100092628137818,0.24750754236647746,0.1792542343239278,[0.51858377 0.14837953],[0.53266799 0.14766617],[0.55169731 0.14736241],[0.5689531  0.14443174],[0.54675591 0.15161154],[0.52952886 0.15116318],1663672496613
38,0.09662913540719734,0.25873210056184426,0.17768061798452078,[0.51257098 0.15116064],[0.52619648 0.14871752],[0.54402691 0.14749716],[0.56103474 0.14427216],[0.53960907 0.15058368],[0.52324623 0.15152259],1663672496634
39,0.2405480532976751,0.3083203092450264,0.2744341812713508,[0.50901127 0.15206364],[0.52064657 0.140278  ],[0.53741801 0.13888367],[0.5534057  0.14072683],[0.53456211 0.14924909],[0.51985723 0.1515421 ],1663672496653
40,0.24526940086522306,0.3885727084996035,0.3169210546824133,[0.50535339 0.15113157],[0.51872522 0.13749197],[0.53670889 0.13588253],[0.55317974 0.13863774],[0.5344277  0.14734551],[0.51831359 0.15004544],1663672496675
41,0.2577016262508481,0.39906555448708436,0.32838359036896625,[0.50658131 0.15005088],[0.51882821 0.13602325],[0.53673744 0.13427374],[0.55374545 0.13706911],[0.53462309 0.14623505],[0.51871514 0.14908858],1663672496696
42,0.2521778877075741,0.3743698978888929,0.3132738927982335,[0.50447863 0.14977862],[0.51648575 0.13668413],[0.53362226 0.1352579 ],[0.55010569 0.13753471],[0.53127789 0.14646594],[0.51596212 0.14904888],1663672496720
43,0.2641855238981483,0.4207589686819446,0.34247224629004647,[0.50093418 0.15124671],[0.51318628 0.13668248],[0.53123337 0.13464957],[0.54788059 0.13737379],[0.52853847 0.14703356],[0.51257735 0.1498601 ],1663672496742
44,0.24982781483830657,0.333349067546204,0.2915884411922553,[0.49942404 0.15480956],[0.51186132 0.14119756],[0.52981466 0.13892519],[0.54626584 0.14088479],[0.52770704 0.15068576],[0.51182538 0.15366662],1663672496765
45,0.24362027033293826,0.3413019471171992,0.2924611087250687,[0.49646121 0.15912797],[0.5095911 0.1462546],[0.52736837 0.14452213],[0.54334629 0.14660379],[0.52483302 0.15577328],[0.50893635 0.15834892],1663672496789
46,0.26898252750207224,0.32609484840866715,0.2975386879553697,[0.49229476 0.16422585],[0.50307858 0.15062836],[0.52039266 0.14877801],[0.53705496 0.15114065],[0.51847303 0.16071224],[0.50354475 0.16361964],1663672496811
47,0.2782990078967463,0.3901671976702563,0.33423310278350127,[0.48550558 0.16758914],[0.4974516 0.1527822],[0.51568896 0.15065995],[0.53229994 0.15325831],[0.51327771 0.16378042],[0.4975042  0.16668159],1663672496832
48,0.2848978343812156,0.34996222446550557,0.31743002942336057,[0.48649004 0.16830277],[0.49655536 0.15520075],[0.51377106 0.15292168],[0.52984011 0.15468222],[0.51159108 0.16554762],[0.49705204 0.16826978],1663672496855
49,0.2888643801410338,0.3455392809843208,0.3172018305626773,[0.48874402 0.16902472],[0.49888042 0.15334643],[0.51723737 0.15071991],[0.53492373 0.15394019],[0.51528001 0.164352  ],[0.4995088  0.16762733],1663672496876
50,0.26640477177502114,0.3229167436392773,0.2946607577071492,[0.49246553 0.16723509],[0.50368726 0.15180939],[0.52243543 0.1492393 ],[0.54024732 0.15250456],[0.51996738 0.16208744],[0.50378114 0.16536698],1663672496899
51,0.2817247046246882,0.34351028526746186,0.31261749494607505,[0.49722087 0.16654882],[0.50840205 0.15046468],[0.52736998 0.14807689],[0.54545701 0.15212142],[0.52480799 0.16180103],[0.50844389 0.16487169],1663672496923
52,0.2520268669014205,0.31209562609239433,0.28206124649690745,[0.49650115 0.168479  ],[0.5084936  0.15390378],[0.52714694 0.15169623],[0.54517108 0.15520811],[0.52458036 0.16392946],[0.5079571  0.16682097],1663672496945
53,0.2637538320255628,0.27076661890125625,0.26726022546340955,[0.49474579 0.17391922],[0.50728834 0.1603415 ],[0.52557635 0.15844235],[0.54213673 0.16107769],[0.52318233 0.17088772],[0.50714523 0.17356779],1663672496966
54,0.276528926719554,0.34877357786678975,0.31265125229317187,[0.49535504 0.17692213],[0.50631166 0.16443905],[0.52369303 0.1628269 ],[0.53964692 0.16474059],[0.52079952 0.17507741],[0.50601166 0.17725348],1663672496987
55,0.2787542218855052,0.23059485791350984,0.2546745398995075,[0.49852246 0.17848258],[0.5089671  0.16456513],[0.52673656 0.16311318],[0.54368818 0.16625211],[0.52415752 0.17555426],[0.50897115 0.17794669],1663672497005
56,0.2812129517286846,0.33214013867866526,0.30667654520367493,[0.50000441 0.17640005],[0.5105859  0.16249661],[0.52866542 0.16140576],[0.54599762 0.16497362],[0.52559638 0.17408518],[0.51025385 0.1761011 ],1663672497027
57,0.2934257359636142,0.2928709101521365,0.29314832305787536,[0.50214446 0.17556433],[0.51282144 0.16057292],[0.53111088 0.15914124],[0.54866594 0.16309384],[0.52810133 0.17264068],[0.51250643 0.17500369],1663672497047
58,0.2924400959299753,0.3080817238719437,0.3002609099009595,[0.5051285  0.17425902],[0.51576281 0.16073871],[0.53354883 0.15923233],[0.55039924 0.16205198],[0.53029513 0.17241779],[0.5150854  0.17456481],1663672497069
59,0.2906300748690507,0.3431811024445582,0.3169055886568044,[0.50689173 0.17456023],[0.51800352 0.16070214],[0.53591132 0.15937234],[0.55264276 0.16267589],[0.53259212 0.17247829],[0.51720268 0.17463523],1663672497096
60,0.28803130789236653,0.3288554798842253,0.3084433938882959,[0.50952798 0.17466003],[0.52064216 0.16110829],[0.53889948 0.16009314],[0.5558604  0.16353726],[0.53545445 0.17315406],[0.52009869 0.17503877],1663672497116
61,0.2788406496062675,0.3284980347448425,0.30366934217555497,[0.51467514 0.17288792],[0.52657938 0.159668  ],[0.54487026 0.1590587 ],[0.56126738 0.16240422],[0.54123652 0.17166722],[0.52558184 0.1731427 ],1663672497137
62,0.2624360512167766,0.3404632195263362,0.3014496353715564,[0.51521105 0.17248276],[0.52945316 0.15878242],[0.54916984 0.15787914],[0.56625384 0.16130024],[0.54523015 0.17083055],[0.52791721 0.17258622],1663672497154
63,0.262460280518852,0.3297721124851821,0.29611619650201704,[0.51856411 0.17097059],[0.53253561 0.15725636],[0.55190057 0.15641734],[0.56882626 0.16007335],[0.54780698 0.16912873],[0.53086424 0.17079592],1663672497174
64,0.2598751417728691,0.39572757486793114,0.32780135832040014,[0.51890814 0.16973288],[0.53371185 0.15579356],[0.55337757 0.15512739],[0.57019812 0.15911905],[0.54930764 0.16790757],[0.53180099 0.16947094],1663672497196
65,0.2779200522224149,0.327296679471335,0.30260836584687495,[0.52071142 0.1654755 ],[0.53552055 0.15075198],[0.5552507  0.15031996],[0.57176518 0.15475293],[0.55069488 0.16386288],[0.5332585  0.16528517],1663672497214
