File name,Blink rate is higher than avg or not,Blink duration is higher thn avg or not,Perclos is higher than avg or not,Avg ear is highetr than avg or not,P*EAR is hgiher than avg or not,Final,,
VIDEO_18112022143847_1668762527864_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022143946_1668762586856_EAR.csv,1,1,1,1,1,1,Looking at mobile or infotainment system,Head Pitch Angle
VIDEO_18112022144045_1668762645861_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022144144_1668762704857_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022144243_1668762763857_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022144342_1668762822858_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022144441_1668762881983_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022144540_1668762940876_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022144639_1668762999856_EAR.csv,0,1,1,1,1,0,,
VIDEO_18112022144738_1668763058854_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022144837_1668763117860_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022144937_1668763177011_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022145035_1668763235862_EAR.csv,1,0,1,0,1,0,,
VIDEO_18112022145134_1668763294873_EAR.csv,1,1,1,0,1,0,,
VIDEO_18112022145233_1668763353858_EAR.csv,1,1,1,1,1,1,Looking at mobile or infotainment system,Head Pitch Angle
VIDEO_18112022145332_1668763412867_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022145431_1668763471856_EAR.csv,0,1,1,1,1,0,,
VIDEO_18112022145530_1668763530863_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022145629_1668763589979_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022145728_1668763648854_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022155712_1668767232981_EAR.csv,1,1,1,1,1,1,should not count as vehical is stopped at restrurent,Speed is zero
VIDEO_18112022155811_1668767291982_EAR.csv,1,1,1,0,0,0,should not count as vehical is stopped at restrurent,Speed is zero
VIDEO_18112022155910_1668767350994_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022160010_1668767410200_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022160109_1668767469000_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022160208_1668767528000_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022160307_1668767587000_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022160405_1668767645989_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022160505_1668767705126_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022160604_1668767764000_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022160702_1668767822994_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022160802_1668767882000_EAR.csv,1,0,0,0,1,0,,
VIDEO_18112022160900_1668767940997_EAR.csv,1,1,1,0,0,0,,
VIDEO_18112022161000_1668768000148_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022161059_1668768059146_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022161158_1668768118001_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022161257_1668768177130_EAR.csv,1,0,0,0,1,0,Blink rate is higher and rubbing his eyes,
VIDEO_18112022161355_1668768235993_EAR.csv,1,1,1,1,1,1,Looking at IC,Pitch angle
VIDEO_18112022161454_1668768294996_EAR.csv,1,1,1,1,0,1,looking at IC,
VIDEO_18112022161553_1668768353996_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022161652_1668768412997_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022161751_1668768471990_EAR.csv,0,0,0,0,1,0,,
VIDEO_18112022161851_1668768531146_EAR.csv,0,1,1,1,0,0,,
VIDEO_18112022161949_1668768589999_EAR.csv,0,1,0,0,1,0,,
VIDEO_18112022162049_1668768649236_EAR.csv,0,1,1,1,1,0,,
VIDEO_18112022162148_1668768708429_EAR.csv,0,1,1,0,1,0,,
VIDEO_18112022162247_1668768767527_EAR.csv,1,0,1,1,1,1,"yawning, looks like tired",
VIDEO_18112022162346_1668768826604_EAR.csv,1,0,1,1,1,1,blink rate is higher,cluster
VIDEO_18112022162445_1668768885444_EAR.csv,1,0,1,0,1,0,,
VIDEO_18112022162544_1668768944439_EAR.csv,1,0,1,1,1,1,,
VIDEO_18112022162643_1668769003573_EAR.csv,1,0,1,1,1,1,Drowsy,
VIDEO_18112022162742_1668769062449_EAR.csv,1,0,1,0,1,0,Drowsy,
VIDEO_18112022162841_1668769121443_EAR.csv,1,0,1,1,0,1,Drowsy,
VIDEO_18112022162940_1668769180439_EAR.csv,1,0,0,1,1,0,Stop the car and go out to wash his face,
VIDEO_18112022163138_1668769298440_EAR.csv,1,1,1,0,0,0,,
VIDEO_18112022163237_1668769357450_EAR.csv,0,0,0,1,1,0,,
VIDEO_18112022163336_1668769416439_EAR.csv,0,1,1,0,0,0,,
VIDEO_18112022163435_1668769475440_EAR.csv,0,0,0,0,1,0,,
VIDEO_18112022163534_1668769534444_EAR.csv,1,0,1,1,1,1,,
VIDEO_18112022163633_1668769593578_EAR.csv,1,1,1,0,0,0,,
VIDEO_18112022163732_1668769652435_EAR.csv,1,0,0,1,0,0,,
VIDEO_18112022163832_1668769712257_EAR.csv,1,0,0,0,0,0,,
VIDEO_18112022163931_1668769771222_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022164030_1668769830381_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022164129_1668769889216_EAR.csv,1,0,0,0,0,0,,
VIDEO_18112022164228_1668769948222_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022164327_1668770007222_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022164426_1668770066233_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022164525_1668770125381_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022164624_1668770184231_EAR.csv,0,0,0,0,1,0,,
VIDEO_18112022164723_1668770243239_EAR.csv,1,0,1,1,0,1,,
VIDEO_18112022164822_1668770302229_EAR.csv,1,0,0,0,0,0,,
VIDEO_18112022164921_1668770361232_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022165020_1668770420225_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022165119_1668770479220_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022165218_1668770538219_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022165317_1668770597228_EAR.csv,0,0,0,1,1,0,,
VIDEO_18112022165416_1668770656215_EAR.csv,1,0,1,0,1,0,,
VIDEO_18112022165515_1668770715214_EAR.csv,1,0,1,1,0,1,,
VIDEO_18112022165614_1668770774327_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022165713_1668770833572_EAR.csv,0,0,0,0,1,0,,
VIDEO_18112022165812_1668770892415_EAR.csv,0,1,1,1,0,0,,
VIDEO_18112022165911_1668770951426_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022170010_1668771010434_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022170109_1668771069419_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022170208_1668771128426_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022170307_1668771187410_EAR.csv,0,1,0,1,1,0,,
VIDEO_18112022170406_1668771246409_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022170505_1668771305422_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022170604_1668771364436_EAR.csv,0,0,0,1,1,0,,
VIDEO_18112022170703_1668771423426_EAR.csv,0,1,1,1,0,0,,
VIDEO_18112022170802_1668771482409_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022170901_1668771541420_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022171000_1668771600560_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022171059_1668771659453_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022171158_1668771718458_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022171257_1668771777452_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022171356_1668771836450_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022171455_1668771895466_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022171554_1668771954461_EAR.csv,0,1,0,1,0,0,,
VIDEO_18112022171653_1668772013447_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022171752_1668772072602_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022171851_1668772131578_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022171950_1668772190559_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022172049_1668772249452_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022172148_1668772308455_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022172247_1668772367472_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022172346_1668772426600_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022172445_1668772485514_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022172544_1668772544458_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022172643_1668772603457_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022172742_1668772662493_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022172841_1668772721484_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022172940_1668772780492_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022173039_1668772839483_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022173138_1668772898493_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022173237_1668772957489_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022173336_1668773016491_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022173435_1668773075489_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022173534_1668773134482_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022173633_1668773193483_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022173732_1668773252487_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022173831_1668773311478_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022173930_1668773370486_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022174029_1668773429496_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022174128_1668773488602_EAR.csv,0,1,0,0,0,0,,
VIDEO_18112022174227_1668773547493_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022174326_1668773606482_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022174425_1668773665482_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022174524_1668773724483_EAR.csv,0,0,0,1,0,0,,
VIDEO_18112022174623_1668773783490_EAR.csv,0,0,0,0,0,0,,
VIDEO_18112022174722_1668773842488_EAR.csv,0,0,0,0,0,0,,
