,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,Multiplication of 4 features,F*G,Windowsize 4,,average,,Duration normalize,
29,VIDEO_18112022135432_1668759872989_EAR.csv,0,31,3.25806,0.05611,0.43973,2.4920,0.0247,0.0382,0.0000,0.0334,0.0000,0.116359447004608,0.002871002947509
30,VIDEO_18112022135531_1668759931875_EAR.csv,33,28,3.25000,0.05056,0.43095,1.9826,0.0218,0.0328,0.0000,0.0330,0.0000,0.116071428571429,0.002528814952817
31,VIDEO_18112022135631_1668759991018_EAR.csv,0,19,2.89474,0.03056,0.46917,0.7885,0.0143,0.0257,0.0000,0.0324,0.0000,0.103383458646617,0.001482077602574
32,VIDEO_18112022135729_1668760049868_EAR.csv,5,16,3.31250,0.02944,0.47235,0.7371,0.0139,0.0187,0.0000,0.0319,0.0000,0.118303571428571,0.001645384124027
33,VIDEO_18112022135828_1668760108863_EAR.csv,0,19,2.84211,0.03000,0.50275,0.8144,0.0151,0.0163,0.0000,0.0314,0.0000,0.101503759398496,0.001530916307571
34,VIDEO_18112022135927_1668760167859_EAR.csv,0,34,2.58824,0.04889,0.49903,2.1470,0.0244,0.0169,1.0000,0.0312,0.0000,0.092436974789916,0.002255200705386
35,VIDEO_18112022140026_1668760226860_EAR.csv,0,20,4.45000,0.04944,0.46177,2.0320,0.0228,0.0191,1.0000,0.0309,0.0000,0.158928571428571,0.003628617797368
36,VIDEO_18112022140125_1668760285855_EAR.csv,2,20,5.60000,0.06222,0.44393,3.0937,0.0276,0.0225,1.0000,0.0308,0.0000,0.2,0.005524465617212
37,VIDEO_18112022140224_1668760344862_EAR.csv,0,30,5.80000,0.09667,0.38005,6.3924,0.0367,0.0279,1.0000,0.0310,1.0000,0.207142857142857,0.007610041132129
38,VIDEO_18112022140323_1668760403859_EAR.csv,0,22,4.04545,0.04944,0.45712,2.0116,0.0226,0.0274,0.0000,0.0308,0.0000,0.144480519480519,0.003265567098592
39,VIDEO_18112022140422_1668760462875_EAR.csv,0,22,4.59091,0.05611,0.44856,2.5421,0.0252,0.0280,0.0000,0.0306,0.0000,0.163961038961039,0.004126738530919
40,VIDEO_18112022140521_1668760521875_EAR.csv,0,27,4.25926,0.06389,0.42320,3.1094,0.0270,0.0279,0.0000,0.0306,0.0000,0.152116402116402,0.004112905228288
41,VIDEO_18112022140620_1668760580854_EAR.csv,0,14,3.64286,0.02833,0.45075,0.6513,0.0128,0.0219,0.0000,0.0301,0.0000,0.130102040816327,0.001661565279955
42,VIDEO_18112022140719_1668760639857_EAR.csv,0,29,4.03448,0.06500,0.43693,3.3228,0.0284,0.0233,1.0000,0.0301,0.0000,0.144088669950739,0.004092175266044
43,VIDEO_18112022140818_1668760698853_EAR.csv,0,18,2.83333,0.02833,0.44689,0.6458,0.0127,0.0202,0.0000,0.0297,0.0000,0.101190476190476,0.00128126366638
