,Minutes,Blink_per min,Avg_Blink_duration,Perclose_per_minute,Missing frame
0,1,16,8.5625,0.07611111111111112,0
1,2,8,3.5555555555555554,0.017777777777777778,32
2,3,8,5.111111111111111,0.025555555555555557,0
3,4,9,0.9,0.005,21
4,5,10,0.9090909090909091,0.005555555555555556,0
5,6,11,1.1666666666666667,0.0077777777777777776,0
6,7,9,0.8,0.0044444444444444444,1
7,8,10,2.272727272727273,0.013888888888888888,0
8,9,11,0.5,0.0033333333333333335,0
9,10,11,1.4166666666666667,0.009444444444444445,23
10,11,10,1.8181818181818181,0.011111111111111112,0
11,12,15,7.8125,0.06944444444444445,0
12,13,10,2.8181818181818183,0.017222222222222222,1
13,14,22,1.0869565217391304,0.013888888888888888,0
14,15,16,4.0588235294117645,0.03833333333333333,3
15,16,14,2.4,0.02,0
16,17,18,2.4210526315789473,0.025555555555555557,0
17,18,12,0.6923076923076923,0.005,0
18,19,13,1.2857142857142858,0.01,0
19,20,11,1.75,0.011666666666666667,0
20,21,13,2.0,0.015555555555555555,0
21,22,9,1.6,0.008888888888888889,0
22,23,18,1.6842105263157894,0.017777777777777778,0
23,24,14,1.0,0.008333333333333333,0
24,25,17,2.0555555555555554,0.020555555555555556,0
25,26,15,1.6875,0.015,0
26,27,18,2.0526315789473686,0.021666666666666667,0
27,28,13,1.9285714285714286,0.015,0
28,29,11,4.916666666666667,0.03277777777777778,10
29,30,9,1.7,0.009444444444444445,0
30,31,14,2.6666666666666665,0.022222222222222223,2
31,32,11,9.666666666666666,0.06444444444444444,0
32,33,21,0.7727272727272727,0.009444444444444445,0
33,34,23,5.125,0.06833333333333333,0
34,35,12,2.4615384615384617,0.017777777777777778,3
35,36,9,2.3,0.012777777777777779,11
36,37,9,2.1,0.011666666666666667,11
37,38,13,1.2857142857142858,0.01,0
38,39,15,9.0625,0.08055555555555556,0
39,40,6,2.142857142857143,0.008333333333333333,0
40,41,14,1.2666666666666666,0.010555555555555556,0
41,42,10,1.7272727272727273,0.010555555555555556,0
42,43,10,1.9090909090909092,0.011666666666666667,21
43,44,8,1.6666666666666667,0.008333333333333333,130
44,45,19,4.2,0.04666666666666667,62
45,46,4,1.4,0.0038888888888888888,0
46,47,3,1.5,0.0033333333333333335,0
47,48,7,3.375,0.015,0
48,49,3,1.0,0.0022222222222222222,32
49,50,8,1.6666666666666667,0.008333333333333333,21
50,51,11,1.0,0.006666666666666667,0
51,52,12,1.9230769230769231,0.013888888888888888,80
52,53,3,3.0,0.006666666666666667,0
53,54,11,4.333333333333333,0.028888888888888888,0
54,55,8,2.0,0.01,0
55,56,6,1.0,0.0038888888888888888,0
56,57,10,3.5454545454545454,0.021666666666666667,29
