,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR
0,VIDEO_18112022132601_1668758161824_EAR.csv,42,40,5.575,0.12684869169510807,0.3971444340041227
1,VIDEO_18112022132700_1668758220821_EAR.csv,30,51,6.686274509803922,0.19265536723163842,0.34646433032361196
2,VIDEO_18112022132759_1668758279823_EAR.csv,56,15,5.466666666666667,0.047018348623853214,0.502953058630359
3,VIDEO_18112022132858_1668758338982_EAR.csv,0,30,12.6,0.21,0.4091319845124711
4,VIDEO_18112022132957_1668758397827_EAR.csv,0,27,4.222222222222222,0.06333333333333334,0.4410528517435026
5,VIDEO_18112022133056_1668758456943_EAR.csv,1,11,2.272727272727273,0.013896609227348526,0.18721047993560722
6,VIDEO_18112022133155_1668758515992_EAR.csv,6,33,3.606060606060606,0.06633221850613155,0.45490111460694915
7,VIDEO_18112022133254_1668758574829_EAR.csv,7,31,5.0,0.08644729503625209,0.41216656080634495
8,VIDEO_18112022133353_1668758633830_EAR.csv,26,29,4.137931034482759,0.06764374295377677,0.42795725530810563
9,VIDEO_18112022133452_1668758692845_EAR.csv,0,45,4.4,0.11,0.43298008644158215
10,VIDEO_18112022133551_1668758751830_EAR.csv,0,32,4.5,0.08,0.4022620713904201
11,VIDEO_18112022133650_1668758810845_EAR.csv,0,14,2.7142857142857144,0.021111111111111112,0.44487656258155167
12,VIDEO_18112022133749_1668758869829_EAR.csv,25,37,4.594594594594595,0.09577464788732394,0.43063461298441186
13,VIDEO_18112022133848_1668758928833_EAR.csv,5,30,2.9,0.048467966573816156,0.48303987165330686
14,VIDEO_18112022133947_1668758987822_EAR.csv,13,39,3.6666666666666665,0.0800223838836038,0.4638196174865334
15,VIDEO_18112022134046_1668759046835_EAR.csv,0,33,4.393939393939394,0.08055555555555556,0.4693554623821905
16,VIDEO_18112022134145_1668759105952_EAR.csv,8,40,3.125,0.06975446428571429,0.4306945514549298
17,VIDEO_18112022134244_1668759164825_EAR.csv,0,31,3.4516129032258065,0.059444444444444446,0.4685987659536323
18,VIDEO_18112022134343_1668759223825_EAR.csv,0,41,4.219512195121951,0.0961111111111111,0.4228805833243106
19,VIDEO_18112022134442_1668759282826_EAR.csv,0,23,5.739130434782608,0.07333333333333333,0.42774899141928613
20,VIDEO_18112022134541_1668759341860_EAR.csv,1,30,3.5,0.058365758754863814,0.41852227827692334
21,VIDEO_18112022134640_1668759400861_EAR.csv,3,34,3.0588235294117645,0.05787423483583751,0.4671350480052958
22,VIDEO_18112022134739_1668759459857_EAR.csv,0,29,3.2413793103448274,0.052222222222222225,0.4126300934657906
23,VIDEO_18112022134838_1668759518862_EAR.csv,5,26,2.923076923076923,0.04233983286908078,0.4981558616422791
24,VIDEO_18112022134937_1668759577861_EAR.csv,0,33,2.909090909090909,0.05333333333333334,0.4663115358396416
25,VIDEO_18112022135036_1668759636860_EAR.csv,0,20,5.7,0.06333333333333334,0.4185753792912297
26,VIDEO_18112022135136_1668759696016_EAR.csv,0,24,7.458333333333333,0.09944444444444445,0.43682493413090917
27,VIDEO_18112022135234_1668759754860_EAR.csv,0,36,5.138888888888889,0.10277777777777777,0.41493869327664773
28,VIDEO_18112022135333_1668759813859_EAR.csv,0,31,6.32258064516129,0.10888888888888888,0.3856227606953177
29,VIDEO_18112022135432_1668759872989_EAR.csv,0,31,3.2580645161290325,0.05611111111111111,0.43972698805882665
30,VIDEO_18112022135531_1668759931875_EAR.csv,33,28,3.25,0.05149971703452179,0.4389942072581716
31,VIDEO_18112022135631_1668759991018_EAR.csv,0,19,2.8947368421052633,0.030555555555555555,0.469169425528951
32,VIDEO_18112022135729_1668760049868_EAR.csv,5,16,3.3125,0.029526462395543174,0.47366809701571994
33,VIDEO_18112022135828_1668760108863_EAR.csv,0,19,2.8421052631578947,0.03,0.5027453553256518
34,VIDEO_18112022135927_1668760167859_EAR.csv,0,34,2.588235294117647,0.04888888888888889,0.499033048650474
35,VIDEO_18112022140026_1668760226860_EAR.csv,0,20,4.45,0.049444444444444444,0.4617657795413829
36,VIDEO_18112022140125_1668760285855_EAR.csv,2,20,5.6,0.06229143492769744,0.4444240773420667
37,VIDEO_18112022140224_1668760344862_EAR.csv,0,30,5.8,0.09666666666666666,0.38004961658670877
38,VIDEO_18112022140323_1668760403859_EAR.csv,0,22,4.045454545454546,0.049444444444444444,0.4571216764195075
39,VIDEO_18112022140422_1668760462875_EAR.csv,0,22,4.590909090909091,0.05611111111111111,0.448556777088765
40,VIDEO_18112022140521_1668760521875_EAR.csv,0,27,4.2592592592592595,0.06388888888888888,0.42320162076784523
41,VIDEO_18112022140620_1668760580854_EAR.csv,0,14,3.642857142857143,0.028333333333333332,0.45074988909511454
42,VIDEO_18112022140719_1668760639857_EAR.csv,0,29,4.0344827586206895,0.065,0.43692916713048724
43,VIDEO_18112022140818_1668760698853_EAR.csv,0,18,2.8333333333333335,0.028333333333333332,0.4468905798308343
44,VIDEO_18112022140917_1668760757869_EAR.csv,1,20,7.0,0.07782101167315175,0.4471059627941843
45,VIDEO_18112022141016_1668760816857_EAR.csv,0,27,10.407407407407407,0.15611111111111112,0.32666696388276156
46,VIDEO_18112022141115_1668760875868_EAR.csv,184,20,3.65,0.04517326732673267,0.3994582755606042
47,VIDEO_18112022141214_1668760934860_EAR.csv,0,18,2.5,0.025,0.4591200017968854
48,VIDEO_18112022141313_1668760993865_EAR.csv,0,25,3.4,0.04722222222222222,0.4626445189747695
49,VIDEO_18112022141412_1668761052861_EAR.csv,0,17,6.9411764705882355,0.06555555555555556,0.4200066766153743
50,VIDEO_18112022141511_1668761111866_EAR.csv,0,25,3.48,0.04833333333333333,0.41582728288021664
51,VIDEO_18112022141611_1668761171018_EAR.csv,0,26,4.346153846153846,0.06277777777777778,0.4216692969588001
52,VIDEO_18112022141709_1668761229858_EAR.csv,6,22,3.6818181818181817,0.0451505016722408,0.4571815613084932
53,VIDEO_18112022141808_1668761288980_EAR.csv,0,10,2.6,0.014444444444444444,0.47929432056811105
54,VIDEO_18112022141907_1668761347861_EAR.csv,0,24,3.5416666666666665,0.04722222222222222,0.43763025899244073
55,VIDEO_18112022142006_1668761406868_EAR.csv,0,42,3.9523809523809526,0.09222222222222222,0.38341435940862656
56,VIDEO_18112022142105_1668761465861_EAR.csv,0,32,4.5,0.08,0.4259231239323296
57,VIDEO_18112022142204_1668761524864_EAR.csv,0,48,4.583333333333333,0.12222222222222222,0.3908631838912797
58,VIDEO_18112022142303_1668761583866_EAR.csv,2,40,6.45,0.14349276974416017,0.35277954665984185
59,VIDEO_18112022142402_1668761642861_EAR.csv,12,48,4.1875,0.11241610738255034,0.38467958887776416
60,VIDEO_18112022142501_1668761701851_EAR.csv,0,29,3.2413793103448274,0.052222222222222225,0.43930548263079655
