,File_name,MissingFrames_per_min,Blink_per_min,blink_duration_per_min,Perclose_per_min,Avg_EAR,,,,
0,VIDEO_23112022095805_1669177685396_EAR.csv,0,22,3.000000,0.036667,0.487236,0.01786530662164,,,
1,VIDEO_23112022095905_1669177745186_EAR.csv,29,12,3.166667,0.021111,0.488410,0.010310885662291,,0.014088096141966,FALSE
2,VIDEO_23112022100004_1669177804026_EAR.csv,0,22,5.136364,0.062778,0.468429,0.02940693716708,,0.01919437648367,TRUE
3,VIDEO_23112022100103_1669177863023_EAR.csv,0,27,3.592593,0.053889,0.483088,0.02603308834356,0.020904054448643,0.020904054448643,TRUE
4,VIDEO_23112022100202_1669177922019_EAR.csv,0,6,5.500000,0.018333,0.459875,0.008431042164684,0.018545488334404,0.018409451991851,FALSE
5,VIDEO_23112022100301_1669177981021_EAR.csv,0,7,4.000000,0.015556,0.444546,0.006915152957441,0.017696555158191,0.016493735486116,FALSE
6,VIDEO_23112022100400_1669178040027_EAR.csv,0,7,3.285714,0.012778,0.491323,0.006278019843157,0.01191432582721,0.015034347537122,FALSE
7,VIDEO_23112022100459_1669178099015_EAR.csv,0,11,2.545455,0.015556,0.449349,0.006989872173266,0.007153521784637,0.01402878811664,FALSE
8,VIDEO_23112022100558_1669178158031_EAR.csv,3,14,3.571429,0.027778,0.443345,0.012315127431126,0.008124543101247,0.013838381373805,FALSE
9,VIDEO_23112022100657_1669178217018_EAR.csv,0,6,4.833333,0.016111,0.442572,0.007130331151387,0.008178337649734,0.013167576351563,FALSE
10,VIDEO_23112022100756_1669178276025_EAR.csv,0,6,3.166667,0.010556,0.470280,0.004964064010616,0.007849848691599,0.012421802502386,FALSE
11,VIDEO_23112022100855_1669178335031_EAR.csv,0,8,3.375000,0.015000,0.478600,0.007179007125313,0.007897132429611,0.01198490288763,FALSE
12,VIDEO_23112022100954_1669178394264_EAR.csv,0,9,2.888889,0.014444,0.449657,0.00649504653457,0.006442112205472,0.011562606245087,FALSE
13,VIDEO_23112022101053_1669178453204_EAR.csv,0,12,3.083333,0.020556,0.425663,0.008749732757613,0.006846962607028,0.011361686710268,FALSE
14,VIDEO_23112022101152_1669178512202_EAR.csv,0,8,2.625000,0.011667,0.416026,0.004853634878054,0.006819355323888,0.01092781658812,FALSE
