FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
30,0.36694805254259205,0.2551782526013995,0.3110631525719958,[0.56243885 0.50600052],[0.58631539 0.49303591],[0.60772747 0.49545833],[0.62082928 0.50493658],[0.60548353 0.51604283],[0.58384836 0.51505131]
31,0.3710605495194687,0.2479555055888271,0.3095080275541479,[0.56586158 0.50060785],[0.58956808 0.48778111],[0.61062443 0.49058497],[0.62343919 0.50017643],[0.60802042 0.51106095],[0.58673376 0.50968838]
32,0.35461630190951543,0.24659269056276029,0.30060449623613783,[0.56889403 0.49538454],[0.59319705 0.4839313 ],[0.61454153 0.4870832 ],[0.62759185 0.4960703 ],[0.6117301  0.50703263],[0.59004712 0.50518584]
33,0.3579012608969315,0.26457771096089244,0.31123948592891193,[0.57336557 0.49227956],[0.59815413 0.47979265],[0.62024546 0.48283279],[0.63319951 0.49237329],[0.61719406 0.50333732],[0.59507197 0.50167567]
34,0.3578894260420705,0.2627158802971769,0.3103026531696237,[0.57862556 0.48810738],[0.60289204 0.47513995],[0.62485188 0.47811681],[0.63770121 0.48799521],[0.62187481 0.49827975],[0.60012615 0.49686825]
35,0.36628970952450773,0.28509313172424217,0.32569142062437495,[0.58138061 0.48326135],[0.60591638 0.4695949 ],[0.62790453 0.47288793],[0.64069581 0.48286986],[0.62484133 0.49342954],[0.60294628 0.49208492]
36,0.36457499902169455,0.2677800293883615,0.31617751420502804,[0.58235383 0.47711426],[0.60750586 0.4638415 ],[0.62971675 0.46747932],[0.64276057 0.47756711],[0.62667102 0.48829919],[0.60438299 0.4866339 ]
37,0.33615781832826247,0.2882821346120021,0.3122199764701323,[0.58381432 0.47496533],[0.60911202 0.46170321],[0.63154864 0.46469244],[0.64517134 0.47420886],[0.62876761 0.48417801],[0.60620099 0.48307729]
38,0.36083930340427867,0.2799837115929161,0.32041150749859737,[0.58512086 0.47279125],[0.61092907 0.45833692],[0.63392258 0.46148884],[0.6476469  0.47203797],[0.63109839 0.48287153],[0.60805726 0.48171982]
39,0.3634308905026112,0.28463663815168755,0.32403376432714937,[0.58585083 0.4703545 ],[0.6122703  0.45496413],[0.63594639 0.45803258],[0.64978969 0.46904731],[0.63314605 0.48002312],[0.6095342  0.47912601]
40,0.35935687605406125,0.2860096473643724,0.3226832617092168,[0.58781528 0.46752137],[0.61463386 0.45259878],[0.63877249 0.45601374],[0.65287709 0.46678174],[0.63566792 0.47804275],[0.61167461 0.47693667]
41,0.36236128599806283,0.29899458648660937,0.3306779362423361,[0.58997369 0.46652159],[0.61684102 0.45149913],[0.64154851 0.45466918],[0.65591383 0.46517301],[0.63845223 0.47722438],[0.61412275 0.47638267]
42,0.3741127606079162,0.3081815394118447,0.34114715000988044,[0.59111005 0.46594656],[0.61812508 0.45003223],[0.64283925 0.45347777],[0.6568805  0.46502125],[0.63972533 0.47661123],[0.61534941 0.47575682]
43,0.3615209917319454,0.29834795020939503,0.3299344709706702,[0.59309673 0.46244428],[0.61992872 0.44740489],[0.64455146 0.45083657],[0.65882075 0.462098  ],[0.64152771 0.47321829],[0.6171993 0.4721919]
44,0.36967683053857264,0.2985693327969277,0.3341230816677502,[0.59292966 0.46056214],[0.62032729 0.4450869 ],[0.64548326 0.44874051],[0.65989733 0.46019909],[0.64224303 0.47209468],[0.61744052 0.47086138]
