FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
30,0.39250330869434835,0.3753830063116265,0.38394315750298746,[0.47864172 0.48878983],[0.49651116 0.47325888],[0.51416504 0.47299606],[0.52455688 0.47995344],[0.51221937 0.49088398],[0.49488074 0.4918994 ]
31,0.36545360252309744,0.34538992976829197,0.3554217661456947,[0.48981377 0.48731464],[0.50741148 0.47207701],[0.52516466 0.4710429 ],[0.53543252 0.476722  ],[0.52354074 0.48762751],[0.50623721 0.48960394]
32,0.3442717723642238,0.3593004861042783,0.351786129234251,[0.5045523  0.49401802],[0.52230453 0.47987056],[0.53954256 0.47933048],[0.54920024 0.48501149],[0.53746796 0.4943321 ],[0.52054656 0.49599189]
33,0.33268445849211664,0.3717023636695146,0.3521934110808156,[0.52172315 0.49055451],[0.53961486 0.47656494],[0.55712736 0.47529343],[0.56733006 0.48078883],[0.5550915  0.49050665],[0.53786111 0.49215105]
34,0.3498329885715209,0.3919825746007326,0.37090778158612675,[0.53311825 0.49466294],[0.55065978 0.48085433],[0.56721711 0.48012057],[0.57767391 0.48616055],[0.56545961 0.49557385],[0.54897344 0.49694994]
35,0.38328263159272485,0.359407660181064,0.37134514588689443,[0.54228717 0.48554927],[0.56004512 0.47169206],[0.57668597 0.47200647],[0.58720303 0.47903177],[0.57411849 0.48893541],[0.55757099 0.48918697]
36,0.34868311748893566,0.3684085019638007,0.3585458097263682,[0.55018312 0.49023527],[0.56835073 0.4783482 ],[0.5848012  0.47869518],[0.59571463 0.48512682],[0.58280641 0.49423349],[0.56608617 0.49447551]
37,0.34237363899523127,0.3803800127907912,0.36137682589301123,[0.55792165 0.49094579],[0.5759204  0.48023289],[0.59219015 0.48051399],[0.60263407 0.48627368],[0.59060848 0.49551183],[0.57407182 0.4958261 ]
38,0.364506565584073,0.37885885322783336,0.37168270940595316,[0.56147981 0.50173914],[0.57889068 0.49096966],[0.59493947 0.49147159],[0.60512727 0.49718577],[0.5930025  0.50725448],[0.57679141 0.50692308]
39,0.3577630459541757,0.3636637765843591,0.36071341126926737,[0.56132179 0.50427675],[0.57863182 0.49287948],[0.59495318 0.49297795],[0.60456198 0.49860978],[0.59318602 0.50826234],[0.57687223 0.50859916]
40,0.40383568011713095,0.3796598450135709,0.39174776256535093,[0.56193048 0.51403546],[0.57832998 0.50075853],[0.59408545 0.50068069],[0.60341966 0.50659251],[0.59264106 0.51716632],[0.5768975  0.51819557]
41,0.39870994208633226,0.36449626431714044,0.38160310320173635,[0.56305414 0.5134359 ],[0.57970005 0.50054032],[0.59570903 0.50081825],[0.60485405 0.50715601],[0.59366202 0.51729524],[0.57787347 0.51754498]
42,0.3919370950948171,0.39230424141735604,0.3921206682560866,[0.56398278 0.5169937 ],[0.58114195 0.5037455 ],[0.59768403 0.50391656],[0.60706466 0.51052618],[0.59553897 0.52066416],[0.57920587 0.52090138]
43,0.38734627467854094,0.4123973203801612,0.3998717975293511,[0.56617075 0.51231194],[0.58339083 0.49969548],[0.60011798 0.49997339],[0.60932791 0.50650692],[0.59841496 0.51641017],[0.5819298 0.5168432]
44,0.3933154153328368,0.3898388286882374,0.39157712201053707,[0.56665015 0.51386333],[0.58373731 0.50163841],[0.60004365 0.50217813],[0.60921693 0.50879812],[0.59762836 0.51879364],[0.58155507 0.51842761]
45,0.3903930982210099,0.37587570504892565,0.3831344016349678,[0.56599778 0.51099908],[0.58307505 0.49867356],[0.59946626 0.49914193],[0.60861075 0.50589502],[0.59740078 0.51559097],[0.581249   0.51550603]
46,0.3853038513688713,0.3631035938723879,0.3742037226206296,[0.56570715 0.51411778],[0.58244222 0.50199795],[0.59848213 0.50250965],[0.60766423 0.50900197],[0.59618026 0.5185464 ],[0.58039439 0.51824015]
47,0.1682906369322267,0.20984110675831696,0.18906587184527185,[0.56549948 0.51551419],[0.58099091 0.51256335],[0.59655476 0.51357645],[0.60651749 0.51417732],[0.59513843 0.5198586 ],[0.57917809 0.51971042]
48,0.2142581440521465,0.2840927774262829,0.2491754607392147,[0.56616133 0.51536232],[0.58185291 0.51007497],[0.59719944 0.5103457 ],[0.60644543 0.51218253],[0.59560943 0.51853639],[0.58006924 0.51886839]
49,0.34475272603519214,0.32431984077525106,0.33453628340522157,[0.57024544 0.51448327],[0.58595556 0.50430679],[0.6007545  0.50468755],[0.60958695 0.50967497],[0.5988124  0.51812565],[0.58393711 0.51790816]
50,0.36569684038609945,0.3481474116709277,0.3569221260285136,[0.56849784 0.51613039],[0.58525759 0.50494778],[0.60156554 0.5050211 ],[0.61050391 0.51045728],[0.59949952 0.52035785],[0.58324784 0.52034378]
51,0.3836288456888132,0.375103519036026,0.3793661823624196,[0.56843346 0.51673162],[0.58520985 0.50454879],[0.60153431 0.50453067],[0.61051607 0.5102793 ],[0.59945756 0.52067381],[0.58328617 0.52082485]
52,0.3931604268635818,0.362176540149995,0.3776684835067884,[0.56713378 0.51912796],[0.58409172 0.50633681],[0.60090256 0.5060882 ],[0.60977471 0.51212627],[0.59875941 0.52294725],[0.58222055 0.52321714]
53,0.39723715252349484,0.37968018325055575,0.3884586678870253,[0.56615084 0.51953971],[0.58315659 0.50677246],[0.59994465 0.50658309],[0.60899341 0.51277238],[0.59772986 0.52372026],[0.58114409 0.52383381]
54,0.39015160696603435,0.3952274868436324,0.3926895469048334,[0.56518382 0.52081841],[0.58234501 0.50808728],[0.59927279 0.50786328],[0.60836697 0.51395822],[0.59725267 0.52478254],[0.58050472 0.52506691]
55,0.4098914355299087,0.383738774221362,0.3968151048756353,[0.56431854 0.52118784],[0.5814299  0.50796467],[0.59822816 0.50785303],[0.60718083 0.51434296],[0.59606856 0.52551144],[0.57949167 0.52565181]
56,0.4146512250439822,0.39707077059840057,0.4058609978211914,[0.56390166 0.52106088],[0.58089161 0.50763267],[0.59766966 0.50751144],[0.60666275 0.51402444],[0.59553719 0.52532446],[0.57902074 0.52553374]
57,0.4174367285092847,0.3915014484429157,0.4044690884761002,[0.56322467 0.52106136],[0.58024514 0.50683951],[0.59711349 0.50649214],[0.60610372 0.51314503],[0.59482777 0.5245378 ],[0.57828963 0.52494794]
58,0.38988037383631957,0.3957023735287407,0.39279137368253014,[0.56335187 0.51954877],[0.58029073 0.50681925],[0.59697813 0.5066607 ],[0.60610825 0.51273447],[0.59512937 0.52335769],[0.57863355 0.52369958]
59,0.4096581124374105,0.40689158009123866,0.4082748462643246,[0.56433851 0.51991004],[0.58071744 0.50666368],[0.59674156 0.50647229],[0.60552603 0.51247191],[0.59489363 0.52336526],[0.57909983 0.52388561]
60,0.42385752305881613,0.4068334832603691,0.4153455031595926,[0.56507087 0.51938146],[0.58162284 0.50570732],[0.59775406 0.50573826],[0.60647136 0.51215178],[0.59548235 0.52327752],[0.5795753  0.52353126]
61,0.39078843996465906,0.3858881850013583,0.38833831248300865,[0.566064   0.52052736],[0.58236486 0.50778514],[0.59858894 0.5074538 ],[0.60757595 0.51344752],[0.59673244 0.5237537 ],[0.58070779 0.52420974]
62,0.3926087763018853,0.387234542827332,0.38992165956460867,[0.56641465 0.51991194],[0.5829069  0.50725353],[0.599132   0.50689292],[0.60787874 0.51279289],[0.59704942 0.52325219],[0.58103961 0.52369124]
63,0.39844999024685723,0.40312009627377515,0.40078504326031617,[0.56807911 0.52011538],[0.5840503  0.50799018],[0.59946978 0.50805187],[0.60804641 0.51378977],[0.59734088 0.52397668],[0.58205229 0.52404624]
64,0.41757089134539455,0.3795857263542556,0.39857830884982504,[0.56933576 0.51951092],[0.58532113 0.50636989],[0.60072494 0.50670695],[0.60918486 0.51313192],[0.59833455 0.52330208],[0.58314419 0.52316636]
65,0.4051139573174356,0.39028790899589,0.3977009331566628,[0.57053447 0.52079582],[0.58613706 0.5083909 ],[0.60126758 0.5085054 ],[0.60975677 0.51453459],[0.59930462 0.52433944],[0.58439183 0.5245229 ]
66,0.39499132497404726,0.3811217669090097,0.3880565459415285,[0.56931859 0.52042037],[0.58547997 0.50819153],[0.60125971 0.50807482],[0.60985452 0.51380926],[0.59908462 0.52414709],[0.58347952 0.52429473]
67,0.4013064906797865,0.3648023476518437,0.3830544191658151,[0.56820375 0.52236432],[0.58499694 0.50995708],[0.60125154 0.51019168],[0.60987926 0.51629138],[0.59872526 0.52690637],[0.58260936 0.5266856 ]
68,0.4107947232242586,0.3574320651804653,0.3841133942023619,[0.56742305 0.52235353],[0.58434987 0.50929958],[0.60084999 0.50969768],[0.60959393 0.51632273],[0.59830421 0.52695316],[0.58203387 0.52670354]
69,0.38856971670898477,0.3699579617962617,0.37926383925262325,[0.56661171 0.52348614],[0.58332634 0.51132303],[0.59971052 0.51141971],[0.6085844  0.51736712],[0.59762323 0.52773225],[0.58141708 0.52773023]
70,0.414808148373226,0.3690296843322762,0.3919189163527511,[0.56679279 0.52388507],[0.58311182 0.5107857 ],[0.59901071 0.51083809],[0.607723   0.51712912],[0.59689724 0.52781653],[0.5812372  0.52799022]
71,0.4079046550924579,0.38951349550704234,0.3987090752997501,[0.56695515 0.52456135],[0.58311582 0.51217544],[0.59870684 0.51226652],[0.60730249 0.51800823],[0.59652323 0.52871954],[0.581065   0.52879918]
72,0.2820306178604445,0.2710156343485445,0.2765231261044945,[0.56615388 0.52376193],[0.58160335 0.51670212],[0.59654427 0.51746166],[0.60524136 0.52072996],[0.59482366 0.52802867],[0.5798167  0.52796912]
73,0.05443603098491005,0.05382766196550681,0.05413184647520843,[0.56641924 0.52859384],[0.58125019 0.53195482],[0.59693193 0.53266162],[0.60741872 0.5287534 ],[0.59522551 0.5340445 ],[0.57922965 0.53298348]
74,0.046294225423922614,0.05859515427621098,0.0524446898500668,[0.56666625 0.52847201],[0.58164006 0.53314269],[0.59740728 0.53350621],[0.60799438 0.52860284],[0.59566128 0.53384638],[0.57962638 0.53277099]
75,0.04650189930579062,0.06466177609562812,0.055581837700709374,[0.56682253 0.52951604],[0.58186394 0.53356481],[0.59775597 0.53437942],[0.60838485 0.53005832],[0.59619796 0.535411  ],[0.58000481 0.53429455]
76,0.04565965064636717,0.058081630466782795,0.05187064055657498,[0.56658137 0.52904469],[0.58183396 0.5333063 ],[0.59788173 0.53384429],[0.60828513 0.52924502],[0.59619749 0.53429407],[0.57976907 0.53327429]
77,0.05105331403504815,0.0667125430036943,0.05888292851937122,[0.56641263 0.52958864],[0.58158129 0.53358579],[0.59735698 0.53440571],[0.60780108 0.53003031],[0.59550405 0.5351001 ],[0.57935935 0.5339238 ]
78,0.05526233380841305,0.06034202538213171,0.05780217959527238,[0.56624496 0.52828044],[0.58190894 0.53218657],[0.59808266 0.53278786],[0.60813129 0.52829361],[0.59600401 0.5335291 ],[0.57949746 0.53241849]
79,0.16031560768079675,0.2847737210786179,0.22254466437970732,[0.56702071 0.5265497 ],[0.58208406 0.52408987],[0.59720719 0.52459872],[0.60653543 0.52482122],[0.59570092 0.53057313],[0.58018899 0.53032881]
80,0.3377308661678355,0.30695465776593384,0.32234276196688466,[0.56743079 0.5252434 ],[0.58308446 0.51585716],[0.59787321 0.51628661],[0.60630745 0.52072865],[0.59604454 0.52920598],[0.58122253 0.52911508]
81,0.38067059688732086,0.3642570147865015,0.3724638058369112,[0.56767672 0.52542663],[0.58328134 0.51453823],[0.59817088 0.51512933],[0.60674924 0.52060843],[0.59614158 0.52988273],[0.58133262 0.52949232]
82,0.38561631384453726,0.3731632380273032,0.37938977593592027,[0.56771457 0.52562922],[0.58347815 0.51419973],[0.59869695 0.51444179],[0.60735202 0.51963198],[0.59676671 0.52966952],[0.58164036 0.52965891]
83,0.39026902593576196,0.3922926592336755,0.39128084258471874,[0.56800938 0.52627641],[0.58389384 0.51442856],[0.59921712 0.51484358],[0.60799164 0.5204795 ],[0.59711444 0.5303461 ],[0.58193958 0.53019744]
84,0.4065240944996572,0.38422542889301153,0.39537476169633434,[0.5683068  0.52631956],[0.58422095 0.51381123],[0.59960252 0.5141651 ],[0.60825151 0.52022016],[0.59733576 0.53032112],[0.58213776 0.53021866]
85,0.4047230919355351,0.3770033867403237,0.3908632393379294,[0.56784302 0.52604878],[0.58409691 0.51376271],[0.5996213  0.51398927],[0.60811716 0.52001905],[0.59714836 0.53026301],[0.5817374 0.5300957]
86,0.39034673943784665,0.38557791892013804,0.3879623291789923,[0.56815082 0.52576387],[0.58406001 0.51376444],[0.59945971 0.51390463],[0.60784543 0.51971585],[0.59707445 0.52938336],[0.58189386 0.52929968]
87,0.4200572489566086,0.37492631573726304,0.39749178234693583,[0.56889617 0.52670306],[0.58477545 0.51358366],[0.60017204 0.51345706],[0.60876697 0.51952982],[0.5979386  0.53030938],[0.58271784 0.53049308]
88,0.3989785578726082,0.40785739193736104,0.40341797490498466,[0.56855154 0.52684867],[0.58416378 0.51454836],[0.59931684 0.51441932],[0.60775077 0.52007759],[0.59731638 0.53006601],[0.58229476 0.53040707]
89,0.41859541633385583,0.38103866015329696,0.3998170382435764,[0.56872982 0.52672327],[0.58421671 0.51394296],[0.5991872  0.51386476],[0.6076014  0.51975238],[0.59704602 0.5302242 ],[0.58224809 0.53038865]
90,0.4078446831431197,0.3717379391889707,0.3897913111660452,[0.56762308 0.52618819],[0.58346426 0.51390904],[0.59880376 0.5138666 ],[0.60739863 0.51963639],[0.59665787 0.5301944 ],[0.58143932 0.53019714]
91,0.4059433819310989,0.3681060378732568,0.38702470990217785,[0.56685627 0.52670634],[0.58301067 0.51392913],[0.59867275 0.51384926],[0.60715824 0.51988381],[0.59633446 0.53027183],[0.58088005 0.53038979]
92,0.41629819608565216,0.37594990543350554,0.39612405075957885,[0.56823683 0.52706474],[0.58368599 0.51420659],[0.59879887 0.51421618],[0.60730529 0.52028894],[0.5967356 0.5304997],[0.58185619 0.53070557]
93,0.4234564781902396,0.37318922831113577,0.3983228532506877,[0.56817955 0.52672124],[0.58376086 0.51340228],[0.59897739 0.51341921],[0.60740572 0.51967996],[0.59673864 0.53004348],[0.58183777 0.53027081]
94,0.41075811934817963,0.3884167164008974,0.39958741787453855,[0.56816518 0.52680737],[0.58384085 0.51459885],[0.59898132 0.51483476],[0.60750484 0.5208897 ],[0.5968231  0.53103364],[0.58184749 0.53081656]
95,0.4182181561119068,0.3718533292845925,0.3950357426982497,[0.56786728 0.52680898],[0.58349609 0.51380992],[0.598786  0.5136205],[0.6073423  0.51954883],[0.59686691 0.53018123],[0.58181298 0.53062648]
96,0.3955794637984369,0.380611257115717,0.38809536045707693,[0.56806743 0.52650297],[0.58384228 0.51438677],[0.59912932 0.51427478],[0.60767823 0.51987028],[0.59704453 0.52998632],[0.58189481 0.53019273]
97,0.40693334681380927,0.3814749237543612,0.39420413528408527,[0.56726664 0.52712011],[0.58324432 0.51407474],[0.59880495 0.51391423],[0.60744697 0.52023631],[0.59654856 0.53042632],[0.58115023 0.53045374]
98,0.3969925532572417,0.38823226275432,0.39261240800578084,[0.56760037 0.52732784],[0.58368397 0.51429194],[0.59951651 0.51394922],[0.60804588 0.52018011],[0.59722084 0.53012729],[0.58170408 0.53044164]
99,0.40440403844665157,0.36955223872747567,0.38697813858706365,[0.56734812 0.52720433],[0.58367616 0.51456106],[0.59941125 0.51453292],[0.60801572 0.52055109],[0.5969944 0.5310365],[0.58143204 0.53105909]
100,0.3823726785745954,0.3847478833648677,0.38356028096973155,[0.56795216 0.52725333],[0.58380455 0.51569486],[0.59910309 0.51579201],[0.60779399 0.52133328],[0.59690106 0.53102857],[0.58174396 0.53096497]
101,0.39307249184820653,0.3585023460662327,0.3757874189572196,[0.56805122 0.52740395],[0.58375072 0.51525897],[0.59915984 0.51532102],[0.60798556 0.52105391],[0.59694946 0.53106493],[0.58178312 0.53102696]
102,0.3932122625112214,0.34298945373978384,0.36810085812550264,[0.56782877 0.52744246],[0.5835256  0.51539218],[0.59875268 0.51565045],[0.60747516 0.52137721],[0.59651899 0.53118688],[0.58150434 0.5311082 ]
103,0.28767057703723853,0.2547623985771505,0.27121648780719454,[0.56756693 0.52913523],[0.58227146 0.52211571],[0.59652728 0.52281064],[0.60519677 0.52592176],[0.59492129 0.53320575],[0.58057749 0.53319734]
104,0.05920655381147949,0.06506097032321514,0.06213376206734732,[0.56557769 0.53134865],[0.58097917 0.53415418],[0.59711623 0.53521889],[0.60742098 0.531762  ],[0.59503013 0.53636855],[0.57861781 0.5351764 ]
105,0.062122447931721274,0.0654522774793938,0.06378736270555754,[0.56554615 0.53366488],[0.58121854 0.53664851],[0.59723222 0.53711104],[0.60739774 0.53310919],[0.5951044  0.53835815],[0.57860142 0.53743917]
106,0.057064630739500494,0.060672972892551656,0.05886880181602608,[0.56642622 0.53233397],[0.58159107 0.53673482],[0.59734505 0.53730595],[0.60752028 0.53253013],[0.59523737 0.53803039],[0.57913172 0.53683496]
