FN,EAR_L,EAR_R,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
1,0.33525882816293884,0.24861496980261982,0.2919368989827793,2.4896482228875407,8.528035447257386,1,1663215587733
2,0.3316163768417309,0.2573870816535519,0.2945017292476414,2.513109961585258,8.53343023827214,1,1663215587879
3,0.33492392468144344,0.2582819713084296,0.2966029479949365,2.727462232336414,9.195667982312084,1,1663215587918
4,0.30215576844592706,0.24272772565267967,0.27244174704930335,2.3896152704128606,8.771105369473409,1,1663215587945
5,0.3218775508308133,0.26520108196600234,0.2935393163984078,2.577107262849636,8.779427895620781,1,1663215587966
6,0.3118667647999782,0.2846460488774674,0.2982564068387228,2.821691901966105,9.460624607778795,1,1663215587991
7,0.3021477198775072,0.20083409505663938,0.2514909074670733,2.8446863305659247,11.311288981445056,1,1663215588019
8,0.14960795432004415,0.1261266053573524,0.1378672798386983,2.5411702205284556,18.432003761164864,1,1663215588047
9,0.08258780214782607,0.08379691979154757,0.08319236096968682,2.9820850629822226,35.84565972432034,1,1663215588068
10,0.17047719116720322,0.07035900003402629,0.12041809560061476,2.704980100913238,22.46323600636173,1,1663215588088
11,0.1890772245964785,0.14004169145139134,0.1645594580239349,2.988270967496572,18.159217363622655,1,1663215588111
12,0.2343983842723449,0.1818215736344617,0.2081099789534033,3.042610700281882,14.62020569884895,1,1663215588135
13,0.25290684228725857,0.21044005966174334,0.23167345097450096,2.9440069250245817,12.707571422798086,1,1663215588153
14,0.2324863363635997,0.18983883798085366,0.2111625871722267,2.8209550753894694,13.359161360760679,1,1663215588175
15,0.26795065454111316,0.22163167959220417,0.24479116706665865,3.107768104531124,12.695589231309368,1,1663215588193
16,0.2769191081645767,0.21998607940691395,0.24845259378574533,3.3032466987358915,13.29527958796223,1,1663215588220
17,0.2812980824169833,0.22769358195152825,0.25449583218425575,3.3693779589096033,13.239422940608959,1,1663215588242
18,0.27417479224156494,0.23397890644372712,0.254076849342646,3.4376415780846035,13.529928393627975,1,1663215588265
19,0.31036934561704366,0.24044387712183607,0.2754066113694399,3.671361642012012,13.330695380755117,1,1663215588283
