FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
30,0.34282680357743195,0.37126062188703046,0.35704371273223123,[0.11203523 0.66844326],[0.12896761 0.65828568],[0.14496461 0.66067892],[0.15602763 0.66696578],[0.14036267 0.67457116],[0.12460682 0.67320746]
31,0.3387913657829411,0.40214523674716113,0.37046830126505115,[0.11062569 0.66953605],[0.12768336 0.65966582],[0.14390363 0.66219091],[0.15527773 0.66843462],[0.13915296 0.67610908],[0.12315525 0.67455035]
32,0.3220409048109373,0.3978964059678641,0.3599686553894007,[0.10884223 0.67045832],[0.12596658 0.66113859],[0.14231001 0.66352522],[0.154128   0.66950881],[0.1379571  0.67694163],[0.12173159 0.67560053]
33,0.33199251679601455,0.4078451097653553,0.36991881328068493,[0.1075566  0.67092359],[0.1244428  0.66122395],[0.14066449 0.66374779],[0.15261175 0.67010397],[0.13649999 0.6775682 ],[0.12041572 0.67617786]
34,0.32043610074377127,0.41843100149446844,0.36943355111911985,[0.10528897 0.66995758],[0.12268233 0.66072839],[0.13921808 0.66315079],[0.15133241 0.66914833],[0.13543434 0.6769256 ],[0.11894434 0.67548996]
35,0.32623897785534034,0.4033521524664668,0.36479556516090356,[0.10210378 0.67113858],[0.11942134 0.66101736],[0.13598636 0.66360509],[0.14802822 0.67016459],[0.132153  0.6774891],[0.11572748 0.67614073]
36,0.32975518926132136,0.4169990982090949,0.37337714373520814,[0.09639308 0.6726532 ],[0.11407532 0.66218019],[0.13107868 0.66451979],[0.14325064 0.67118114],[0.12656522 0.67887944],[0.10995544 0.67750198]
37,0.3026585696676867,0.3664246557657496,0.3345416127167182,[0.08796059 0.67146343],[0.10357882 0.66415191],[0.11957312 0.66679907],[0.13193965 0.67153662],[0.11388558 0.67871833],[0.09869717 0.67664677]
38,0.27761464473130887,0.3779381961062856,0.32777642041879723,[0.08068504 0.67275709],[0.09704326 0.6654734 ],[0.11376989 0.66763335],[0.12644207 0.672665  ],[0.10831949 0.67908895],[0.09230413 0.67727715]
39,0.2913857808566378,0.36516976561485054,0.32827777323574414,[0.07569782 0.673271  ],[0.09241581 0.66519582],[0.10905069 0.6671747 ],[0.12162676 0.67265344],[0.1039281 0.6793831],[0.08780974 0.67791653]
40,0.27038774268816534,0.375456229444832,0.3229219860664987,[0.07428882 0.67439431],[0.0914251  0.66588819],[0.108253   0.66730618],[0.12124485 0.67284787],[0.1037592  0.67898202],[0.08719511 0.67807037]
41,0.27110166322982077,0.35153391408722673,0.3113177886585238,[0.07489305 0.6748172 ],[0.09150451 0.66628706],[0.10779558 0.66796678],[0.12068694 0.67346334],[0.10409832 0.67937446],[0.08784837 0.67860448]
42,0.27260648699851475,0.3516881494397342,0.31214731821912445,[0.07602969 0.675704  ],[0.09271005 0.66700006],[0.10890408 0.66861892],[0.1220995  0.67424673],[0.10516628 0.68013579],[0.08890827 0.67945492]
43,0.3151764084572296,0.3458281983608493,0.33050230340903947,[0.07434034 0.67497677],[0.09071511 0.66545606],[0.10639349 0.66764903],[0.11980002 0.6739524 ],[0.10267957 0.68085009],[0.08679935 0.67988348]
44,0.35598711038646424,0.3759835556840613,0.36598533303526276,[0.07384464 0.67590308],[0.09087337 0.66483265],[0.10756706 0.66762561],[0.12063364 0.6754387 ],[0.10436739 0.6832006 ],[0.08760952 0.68193799]
45,0.3528663838814327,0.3716491161991898,0.36225775004031124,[0.07342194 0.67562431],[0.09063614 0.66463691],[0.10735096 0.66801113],[0.12043504 0.67613226],[0.10341852 0.68341833],[0.08685529 0.68149769]
46,0.34925587282773307,0.38454442694964214,0.3669001498886876,[0.07494222 0.67708004],[0.09258199 0.66556913],[0.11004233 0.66841137],[0.12344427 0.67658919],[0.10683663 0.6843828 ],[0.08961076 0.6829074 ]
47,0.35897935088635663,0.36365527467690756,0.3613173127816321,[0.07605129 0.6781432 ],[0.09332021 0.66629541],[0.11033988 0.66884267],[0.12328672 0.67674452],[0.10672351 0.68480593],[0.08990962 0.68352121]
48,0.373123382347004,0.34651821481841777,0.3598207985827109,[0.07832497 0.67900586],[0.09651025 0.66636413],[0.11394143 0.66896832],[0.12647679 0.67730314],[0.1099589  0.68590182],[0.09282539 0.68455476]
49,0.37608063111785744,0.39977716594324575,0.38792889853055157,[0.08064363 0.67904943],[0.09892529 0.66627568],[0.11634813 0.66872638],[0.1289634  0.67689461],[0.11228085 0.68594593],[0.09515922 0.68457925]
50,0.353720602200201,0.4161744805478967,0.38494754137404885,[0.08428507 0.67975795],[0.10158415 0.66755044],[0.11838813 0.66953748],[0.13142781 0.67734361],[0.11368039 0.68529427],[0.09748066 0.6839956 ]
51,0.3839064762663911,0.4415735919617719,0.4127400341140815,[0.08630943 0.67869169],[0.1039217  0.66571611],[0.12083785 0.66741806],[0.13350655 0.67539012],[0.11607659 0.68488765],[0.09964298 0.68342692]
52,0.3696217168563617,0.44165880446901995,0.4056402606626908,[0.08843285 0.67843258],[0.10635253 0.66542399],[0.12347089 0.66678643],[0.13611102 0.67416435],[0.11930356 0.68384933],[0.10257725 0.68284184]
53,0.36261802160671813,0.42240158292136615,0.39250980226404214,[0.08871374 0.6779809 ],[0.10691127 0.66485834],[0.12432934 0.66620374],[0.13696675 0.67385954],[0.12020285 0.68314409],[0.103235   0.68215859]
54,0.36485904571245087,0.46522016647109626,0.4150396060917736,[0.08922754 0.67721611],[0.10748975 0.66439891],[0.12494215 0.66603297],[0.13746996 0.67397362],[0.1205639  0.68300593],[0.10369085 0.68174195]
55,0.3787515792385387,0.43919442554366434,0.4089730023911015,[0.08867009 0.6773777 ],[0.10688277 0.66452879],[0.12441434 0.66632068],[0.1370419 0.6741814],[0.11953399 0.68397528],[0.10264587 0.68243945]
56,0.3938813323584625,0.405612097307434,0.39974671483294827,[0.08836877 0.67725587],[0.10467116 0.66343939],[0.12157456 0.66565216],[0.13414276 0.67458135],[0.11640225 0.68263561],[0.10051653 0.68133026]
57,0.3845052812563618,0.46570855980875875,0.4251069205325603,[0.08771034 0.6766417 ],[0.10480732 0.66378796],[0.12183171 0.66635728],[0.13408521 0.6745252 ],[0.11759614 0.68312812],[0.10110408 0.68181396]
58,0.38146483223608263,0.4460910173717337,0.4137779248039082,[0.08769105 0.67636293],[0.10451226 0.66340381],[0.12126528 0.66591847],[0.13344319 0.67421389],[0.11680429 0.68230587],[0.10070369 0.68095577]
59,0.38865818240433775,0.461778285818642,0.42521823411148985,[0.08888256 0.67683363],[0.10576405 0.66369855],[0.12249395 0.66630834],[0.1345495  0.67448169],[0.11838231 0.68295544],[0.10210527 0.68172842]
60,0.3834080775388379,0.46213142806644675,0.4227697528026423,[0.0914153  0.67543757],[0.10844231 0.66225266],[0.1253562  0.66485119],[0.13781753 0.673015  ],[0.12121253 0.68151259],[0.10476121 0.68034345]
61,0.372095981644983,0.4303032114777596,0.4011995965613713,[0.09211954 0.67320395],[0.10902305 0.66049218],[0.1258823  0.66309369],[0.13853262 0.67092764],[0.1218849  0.67923033],[0.10552733 0.67810601]
62,0.36203638967231594,0.4505938048823994,0.4063150972773577,[0.09346741 0.67148656],[0.11102625 0.65943688],[0.12808765 0.66197461],[0.14042735 0.66961855],[0.12418015 0.67790955],[0.1074594  0.67669439]
63,0.3738059853183154,0.47057258727204465,0.42218928629518004,[0.09463225 0.67084378],[0.1118505  0.65832239],[0.1288355  0.66076398],[0.14095929 0.66847044],[0.12471262 0.67695212],[0.10818435 0.67591971]
64,0.36564056686040924,0.45554706869418393,0.4105938177772966,[0.09485447 0.67121279],[0.11195992 0.65847099],[0.12904133 0.66057014],[0.14152038 0.6682874 ],[0.12540214 0.67663163],[0.1087416  0.67590064]
65,0.35967438450928235,0.457506550255693,0.40859046738248767,[0.09461822 0.67081147],[0.11200228 0.65795517],[0.12927532 0.65997738],[0.14180706 0.66774416],[0.1258703  0.67597109],[0.10898758 0.67536074]
66,0.37283107496715423,0.45697482944524503,0.41490295220619966,[0.09497352 0.66940308],[0.11216947 0.65620464],[0.12943739 0.65837711],[0.14220695 0.66648996],[0.12614548 0.67504227],[0.10933629 0.67428392]
67,0.3739528621463858,0.4606623586828096,0.4173076104145977,[0.09520106 0.66914117],[0.1123848  0.65590143],[0.12951076 0.65814441],[0.14201812 0.66620916],[0.12569009 0.6746279 ],[0.10910081 0.67376494]
68,0.36997723418274014,0.4554252654913122,0.41270124983702616,[0.09528641 0.66888571],[0.11277319 0.65583229],[0.13013819 0.65803862],[0.14269204 0.66616189],[0.12659286 0.67461532],[0.1097101  0.67375672]
69,0.3582569726282714,0.45358473339489885,0.4059208530115851,[0.09502482 0.66836911],[0.11244854 0.65600479],[0.12969653 0.65817165],[0.14241707 0.66574818],[0.12656918 0.67419857],[0.10958271 0.67345089]
70,0.3720336328433567,0.4126507490794976,0.3923421909614272,[0.09548666 0.66859478],[0.1122617  0.65588796],[0.12924787 0.65841287],[0.14189741 0.66640925],[0.12532708 0.67457461],[0.10890073 0.67351079]
71,0.1638508546977086,0.31919308434645294,0.24152196952208077,[0.09710478 0.66798168],[0.11379991 0.66448301],[0.13088229 0.6659199 ],[0.14481965 0.66725081],[0.1270649  0.67260534],[0.11011811 0.67151725]
72,0.07978930792507279,0.24982605313372003,0.1648076805293964,[0.09784005 0.67054802],[0.11289922 0.67182261],[0.13017045 0.67330384],[0.14596236 0.6717658 ],[0.12687461 0.67571104],[0.10997786 0.67392707]
73,0.29827364813676543,0.37260452038215147,0.33543908425945845,[0.09506977 0.6713897 ],[0.11149012 0.66150999],[0.12831813 0.66319591],[0.14158894 0.66948777],[0.12524852 0.67633468],[0.1088371  0.67554289]
74,0.36714450747844546,0.4211275881316862,0.39413604780506584,[0.09456595 0.6713171 ],[0.11117221 0.6585843 ],[0.12808354 0.66073722],[0.14080107 0.66867757],[0.12432713 0.67680067],[0.10793608 0.67579103]
75,0.3857186737962796,0.4359657837334047,0.41084222876484217,[0.09532961 0.6709379 ],[0.11164717 0.65824467],[0.12802292 0.66088969],[0.14032544 0.66878176],[0.12350592 0.6771729 ],[0.1076839  0.67565238]
76,0.3856116440207067,0.42903514669178666,0.4073233953562467,[0.09380721 0.6709916 ],[0.11040407 0.65741634],[0.12732562 0.65961218],[0.13959113 0.66777056],[0.12308888 0.67628288],[0.10689563 0.67527115]
77,0.39446877428590416,0.44291808169652763,0.4186934279912159,[0.09330521 0.67097729],[0.10975729 0.65695864],[0.12670094 0.65918922],[0.13930185 0.66768557],[0.12276378 0.67636871],[0.10653435 0.67543608]
78,0.3737749963898602,0.42594860243480764,0.3998617994123339,[0.09266893 0.67038393],[0.10923803 0.65743154],[0.12612805 0.65964168],[0.13857135 0.66741806],[0.12219673 0.67586857],[0.1059449 0.6748119]
79,0.36914689521367366,0.45723051850911184,0.41318870686139275,[0.0913511  0.67128336],[0.10839757 0.6579386 ],[0.12547565 0.66004544],[0.13769275 0.66823602],[0.12122796 0.67616326],[0.10489889 0.67520726]
80,0.38226332566635995,0.44294031392272376,0.41260181979454186,[0.08920116 0.67199302],[0.10658434 0.65858358],[0.12372112 0.66100079],[0.13578498 0.6692993 ],[0.11892231 0.67770857],[0.10248184 0.67640835]
81,0.3825523867487477,0.44989761948136997,0.41622500311505883,[0.08746924 0.67328626],[0.1040738  0.65948927],[0.12119979 0.66153491],[0.13366008 0.67035204],[0.11690675 0.678298  ],[0.10064983 0.67727059]
82,0.37666692104905275,0.4013726181871351,0.3890197696180939,[0.0853807  0.67243713],[0.1020133  0.65959096],[0.11899491 0.66194105],[0.13144623 0.67012131],[0.11492142 0.67837542],[0.09862804 0.67708123]
83,0.384846888232837,0.4236527667636761,0.40424982749825655,[0.08499879 0.6727078 ],[0.10165484 0.65974045],[0.11859951 0.66215533],[0.13092899 0.67049903],[0.11418533 0.67886388],[0.0980055  0.67748022]
84,0.38870002339356857,0.3911772564075101,0.38993863990053934,[0.08504956 0.67373616],[0.10158792 0.66035771],[0.11860671 0.66272789],[0.1312241  0.67118758],[0.11415702 0.67962056],[0.09788954 0.67846572]
85,0.37895124126999974,0.4243779842010839,0.4016646127355418,[0.08409868 0.67324066],[0.10049565 0.66075134],[0.11742336 0.66339952],[0.13003016 0.67178804],[0.11294112 0.67980367],[0.09688945 0.67820621]
86,0.38772570679176116,0.4111787429159131,0.39945222485383713,[0.08440059 0.67392212],[0.10062693 0.66091031],[0.11757125 0.66325986],[0.13025963 0.67194426],[0.1133213  0.68008924],[0.09722359 0.67882675]
87,0.3779753834499889,0.39168204115086186,0.38482871230042537,[0.08402783 0.67363673],[0.10059899 0.66149461],[0.117385   0.66409594],[0.12995706 0.67203498],[0.11281369 0.68037903],[0.09665288 0.67888117]
88,0.39323438901919383,0.39996535283333373,0.3965998709262638,[0.08269001 0.67418778],[0.09956125 0.66150486],[0.11647979 0.6642431 ],[0.12894106 0.67234898],[0.11183789 0.68133467],[0.09550751 0.67975307]
89,0.3823075243056446,0.40512314815607703,0.3937153362308608,[0.08191539 0.67542601],[0.09854323 0.66254491],[0.11566648 0.66525424],[0.12855035 0.673742  ],[0.11102571 0.68197262],[0.09479452 0.68048799]
90,0.38632501468556923,0.407239766774378,0.3967823907299736,[0.08126068 0.67571753],[0.09809988 0.66281706],[0.11504076 0.6658181 ],[0.12757728 0.67415684],[0.10999606 0.68245506],[0.09390638 0.68075526]
91,0.3885485606773382,0.3974055936168977,0.39297707714711794,[0.08140533 0.67586273],[0.09852447 0.66370845],[0.11534082 0.66691321],[0.12774506 0.67491543],[0.11043455 0.6837002 ],[0.09414715 0.68171269]
92,0.3679619533582261,0.38773669398138055,0.37784932366980334,[0.08072849 0.67624074],[0.09771725 0.66487086],[0.11431154 0.66783512],[0.12672487 0.67518884],[0.10934442 0.68354374],[0.0931369  0.68164003]
93,0.1083077902196496,0.28261780442767964,0.19546279732366462,[0.0808547  0.67732745],[0.09574221 0.67957973],[0.11268301 0.68232447],[0.12872766 0.68124068],[0.10806549 0.68527669],[0.09148434 0.68205285]
94,0.1256431022394706,0.35990281741438396,0.24277295982692726,[0.08177118 0.67525756],[0.09675194 0.67658013],[0.11333448 0.67917955],[0.12883589 0.67866904],[0.10859632 0.68324828],[0.09234521 0.68005568]
95,0.32841233036483625,0.38485298286239455,0.35663265661361543,[0.07715468 0.67397261],[0.09425358 0.66321772],[0.11139632 0.66574579],[0.1242124  0.67292809],[0.10698053 0.68018007],[0.09039986 0.67856288]
96,0.37580056308901794,0.36900319090620853,0.37240187699761323,[0.07693609 0.67296684],[0.0937947  0.65998739],[0.11092912 0.66252536],[0.12346868 0.67041892],[0.10618804 0.67882419],[0.0897874  0.67758894]
