FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
30,0.3352553500510833,0.24878513897771948,0.2920202445144014,[0.45663559 0.59350151],[0.47304499 0.58497924],[0.48835826 0.58758485],[0.49724618 0.59506094],[0.4854559  0.60052949],[0.4705559 0.5987398]
31,0.3255536755026842,0.30931200965118216,0.31743284257693316,[0.45710769 0.58891046],[0.47325838 0.58111441],[0.48822102 0.58380955],[0.4969871  0.59117407],[0.48526338 0.59630835],[0.47076696 0.5940401 ]
32,0.35497486630864067,0.2693443024843412,0.31215958439649094,[0.45517829 0.58755481],[0.47223544 0.57848763],[0.48779535 0.58048522],[0.49674076 0.58833861],[0.48493493 0.59483367],[0.46967512 0.59314746]
33,0.31708252968520945,0.24120680989431312,0.27914466978976127,[0.45451039 0.58411384],[0.47090828 0.57575411],[0.48646244 0.57743424],[0.49582839 0.58451682],[0.48396462 0.59015357],[0.46889964 0.58884227]
34,0.3456505377672256,0.2491514352053191,0.29740098648627233,[0.45423433 0.5809741 ],[0.47073838 0.5718863 ],[0.48579761 0.57403618],[0.49453166 0.58164245],[0.48266038 0.58743101],[0.46803159 0.58572823]
35,0.35442039824190497,0.29229257429727584,0.3233564862695904,[0.45347109 0.57918251],[0.47049361 0.5697301 ],[0.48600519 0.57195747],[0.49491867 0.57993102],[0.48293185 0.58607852],[0.46777159 0.58441281]
36,0.34917508203749614,0.26348233204651084,0.3063287070420035,[0.45224819 0.57549542],[0.46901512 0.56717598],[0.48426646 0.56951237],[0.49329877 0.5770551 ],[0.48137918 0.5834533 ],[0.46634215 0.58137822]
37,0.37103062939612375,0.256667160242437,0.31384889481928036,[0.45077267 0.5761463 ],[0.46809319 0.56676316],[0.4833284  0.56938368],[0.4916442  0.57771528],[0.47981226 0.58401412],[0.46491939 0.58173496]
38,0.3516125319912199,0.2763159608722985,0.3139642464317592,[0.44875985 0.5749414 ],[0.4656345  0.56631827],[0.48112476 0.56869507],[0.49031264 0.57653022],[0.47799596 0.58286178],[0.46279556 0.58077639]
39,0.33693437225955775,0.27665736585072886,0.30679586905514333,[0.44612393 0.57376951],[0.46334711 0.56613445],[0.47896913 0.56902015],[0.48792687 0.57674885],[0.47611248 0.58259851],[0.46062452 0.58023965]
40,0.36368392941225386,0.2572544187694477,0.3104691740908508,[0.4448328  0.57341152],[0.46241438 0.56499326],[0.47800085 0.5685243 ],[0.48651329 0.57721823],[0.47486371 0.5830006 ],[0.45942456 0.58033556]
41,0.36928400435780695,0.2580186780224267,0.31365134119011684,[0.44166377 0.57372385],[0.45910361 0.56552869],[0.47483373 0.56882828],[0.48346674 0.57701015],[0.47167838 0.58364648],[0.45606267 0.58105284]
42,0.35035289524936425,0.2688299923315265,0.30959144379044534,[0.43829253 0.57385188],[0.45565957 0.56557691],[0.47184369 0.56833637],[0.48151484 0.57658118],[0.46878564 0.58311832],[0.45296425 0.58058834]
43,0.3330164904689732,0.28124519092777084,0.30713084069837204,[0.43490162 0.57345641],[0.45253563 0.56494045],[0.46927834 0.567173  ],[0.47924155 0.57500535],[0.46648797 0.58159757],[0.45022339 0.57961732]
44,0.34965310966688734,0.2645534527127978,0.30710328118984254,[0.43171328 0.57420117],[0.44961753 0.56500155],[0.46661741 0.56729281],[0.47629222 0.57531691],[0.46330267 0.58253103],[0.44687817 0.58034849]
45,0.33439334612215843,0.2758679798987217,0.30513066301044006,[0.42854592 0.57318503],[0.44626653 0.56445855],[0.46290106 0.56641304],[0.47246775 0.57393998],[0.46023947 0.5807116 ],[0.44395739 0.57911223]
46,0.33529616273207674,0.2649282214765008,0.30011219210428874,[0.42711335 0.57234734],[0.44479403 0.56409419],[0.46094859 0.56672102],[0.47031951 0.57449573],[0.4579789  0.58073354],[0.44203278 0.57851803]
47,0.34675601803586764,0.26940787618654316,0.3080819471112054,[0.42630789 0.57221168],[0.44346821 0.56315476],[0.45914811 0.56541342],[0.46847981 0.57334685],[0.4559769  0.57959694],[0.44058445 0.57759321]
48,0.33038354206809095,0.2611294441280164,0.2957564930980537,[0.42367488 0.57104665],[0.44114089 0.56245589],[0.45696464 0.56515819],[0.46620709 0.57296705],[0.45365751 0.57865292],[0.43811417 0.57636893]
49,0.35722510913681005,0.28379668592999396,0.320510897533402,[0.4226622  0.57087642],[0.44058439 0.56218028],[0.45639718 0.56557655],[0.46555585 0.57413405],[0.45269799 0.58027607],[0.43702149 0.57734311]
50,0.332476032820938,0.25112585840408336,0.2918009456125107,[0.41864595 0.57168925],[0.4369691  0.56289369],[0.45408946 0.56560981],[0.46408951 0.57402813],[0.45089889 0.58038598],[0.4342252  0.57778406]
51,0.3358908248276572,0.2525873654251551,0.2942390951264061,[0.41656613 0.57337862],[0.43503848 0.56317163],[0.45233303 0.56510574],[0.46234813 0.57325637],[0.44906652 0.58006525],[0.43228087 0.57836705]
52,0.3309274184591427,0.2558507972335784,0.2933891078463605,[0.41495222 0.57372487],[0.43282238 0.56457585],[0.44954032 0.56646174],[0.459553   0.57402724],[0.44662812 0.58086067],[0.43017101 0.57916635]
53,0.36398553007762796,0.26568970903766714,0.31483761955764755,[0.41523328 0.57552564],[0.43356079 0.56394547],[0.45080745 0.5660125 ],[0.46072239 0.57481629],[0.44707975 0.58207625],[0.4303785 0.5802663]
54,0.36217962814376686,0.2569483329182607,0.30956398053101375,[0.41310722 0.57620227],[0.4306742  0.56562394],[0.44739386 0.56754071],[0.45735624 0.57554978],[0.44443968 0.58306074],[0.42809927 0.58167571]
55,0.3154812232116671,0.26769890119651174,0.29159006220408945,[0.41284227 0.57553071],[0.43066621 0.56594354],[0.44750494 0.5681504 ],[0.45733145 0.57606995],[0.44404048 0.58160764],[0.42776346 0.57982022]
56,0.32656229634921796,0.25064428862028365,0.2886032924847508,[0.41222674 0.57632816],[0.42958093 0.56720436],[0.44581646 0.56965154],[0.45564538 0.57741356],[0.4424195  0.58326036],[0.42654267 0.58121908]
57,0.352816406353606,0.22637109301771288,0.28959374968565943,[0.41152552 0.577088  ],[0.42949116 0.56706113],[0.44648331 0.56930596],[0.45664269 0.57723582],[0.44353735 0.58471525],[0.42684805 0.5829913 ]
