FN,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
1,0.35022705712174207,2.6044632523864806,7.436499263622416,1,1663142026114
2,0.33761472874500276,2.508557155605835,7.430236130191242,1,1663142026258
3,0.35073209457795795,2.1830367670512003,6.22422869420629,1,1663142026303
4,0.31636380817615173,3.4512430063330126,10.909095532227747,1,1663142026336
5,0.30456467011958865,3.3831561046051797,11.108169911095626,1,1663142026364
6,0.3346112136469386,2.64073141996135,7.8919393979058015,1,1663142026398
7,0.28855630649399855,2.5922794932390874,8.983617529402366,1,1663142026425
8,0.2880168071873332,2.8715031469386947,9.9699152107849,1,1663142026445
9,0.2901895989271476,2.802988884868665,9.659163854361157,1,1663142026468
10,0.30251543708147477,3.126005829922665,10.33337624050159,1,1663142026491
11,0.30152431855441914,2.9679378797352713,9.84311280086557,1,1663142026517
12,0.2904575146871342,2.8925111575829257,9.958465563194634,1,1663142026538
13,0.2929000316074676,3.027840028640794,10.337452037897283,1,1663142026558
14,0.2917213433945137,2.8450155117923273,9.752510662014977,1,1663142026577
15,0.27870592173700814,3.3481174390049575,12.013083246090122,1,1663142026602
16,0.2994972211933453,3.844347084380954,12.83600251469169,1,1663142026623
17,0.30029172974848506,3.834546270051065,12.769403517248913,1,1663142026641
18,0.2879598311889477,3.858115139883517,13.398101825361804,1,1663142026662
19,0.29835628639507283,3.4280381631137544,11.489746720384057,1,1663142026685
20,0.31475926256830355,3.437701611977839,10.92168530300788,1,1663142026708
21,0.3080724899099979,3.4365539226714144,11.155017196359822,1,1663142026729
22,0.31433932404666987,3.458796031655784,11.00338318199812,1,1663142026752
23,0.31102845972886084,3.5472191336165513,11.404805646109814,1,1663142026773
24,0.3199053115434817,3.3040660007452365,10.3282623999075,1,1663142026797
25,0.2957773164228425,4.128604679543363,13.95848988514427,1,1663142026817
26,0.304035232835577,3.535812965609684,11.62961585942857,1,1663142026839
27,0.29547965068416315,4.9762578454639925,16.841287831300072,1,1663142026857
28,0.2399461647190384,2.811495575961393,11.717193226461754,1,1663142026874
29,0.1508503341179604,3.3991996371765723,22.53359037652844,1,1663142026898
30,0.09881870509024455,4.137315908663408,41.86774057487469,1,1663142026918
31,0.10327839050462514,2.872454842235198,27.812738252408764,1,1663142026940
32,0.12610283779208875,3.1555665528543786,25.023755278664694,1,1663142026959
33,0.2225438243949157,3.3448553705177826,15.030097463330014,1,1663142026981
34,0.26540081853450415,3.3152347770988038,12.491426346779702,1,1663142026997
35,0.2886437969267427,3.1517382382401866,10.91912686777777,1,1663142027017
36,0.300042715591052,2.9921263338230957,9.972334532197948,1,1663142027042
37,0.29718944761869637,2.710808708809882,9.12148372201942,1,1663142027065
38,0.29651293633722564,2.6705010492792898,9.006355952855007,1,1663142027087
39,0.30391903231177186,2.4619945415556934,8.100823837284677,1,1663142027106
40,0.32047787328835187,2.672475186940141,8.339031832427214,1,1663142027124
41,0.3227333687317283,2.4623819942081417,7.629771919416841,1,1663142027145
