FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
30,0.05927606434169678,0.059858419532959735,0.05956724193732826,[0.59134126 0.55216771],[0.61111164 0.55428594],[0.6321249  0.55721974],[0.64947718 0.55690944],[0.63037342 0.55976892],[0.60885173 0.5573684 ]
31,0.04688229784359905,0.015824659491407364,0.03135347866750321,[0.59244365 0.5514881 ],[0.61227769 0.55520946],[0.63361669 0.5579623 ],[0.65070027 0.55651861],[0.63174456 0.55975217],[0.61010242 0.55711621]
32,0.04274009737861987,0.03217801512906093,0.0374590562538404,[0.59223306 0.55210233],[0.61191171 0.55521816],[0.63300484 0.55794609],[0.65026146 0.55704433],[0.63130164 0.55944747],[0.60981047 0.55692601]
33,0.04736163729750583,0.05131406205763931,0.04933784967757257,[0.5917111  0.55211103],[0.61173439 0.55570292],[0.63314193 0.55800861],[0.65037757 0.55617398],[0.63055694 0.55879998],[0.6089288  0.55629301]
34,0.04042579259549796,0.047040796064741416,0.04373329433011969,[0.59146386 0.55197853],[0.61185807 0.55439299],[0.63358057 0.55688632],[0.65089136 0.55618382],[0.63153118 0.55782622],[0.60954636 0.55549788]
35,0.060763463429562424,0.12951093943701264,0.09513720143328754,[0.59245932 0.55123079],[0.61249852 0.55156797],[0.63310152 0.55382508],[0.64942789 0.55449349],[0.63078028 0.55615216],[0.60990071 0.55412865]
36,0.11272215770845286,0.1374864288105684,0.12510429325951064,[0.59113902 0.5502404 ],[0.61191815 0.54567343],[0.63207078 0.54688954],[0.64679164 0.54999471],[0.62975031 0.55229414],[0.609317   0.55180991]
37,0.22504825333743483,0.1933217414211955,0.20918499737931517,[0.58978164 0.54618746],[0.61031282 0.53541785],[0.63026053 0.53675342],[0.6432665  0.54365045],[0.62804836 0.54763716],[0.60859418 0.54829782]
38,0.3360292747322672,0.2921180945734637,0.31407368465286545,[0.58820039 0.54569471],[0.6098451 0.5300048],[0.63041222 0.531385  ],[0.64250708 0.53974754],[0.62746745 0.54833913],[0.60745507 0.54936534]
39,0.38825796386259537,0.3164979820965397,0.3523779729795675,[0.58884555 0.545636  ],[0.60996693 0.52731138],[0.63085121 0.52815789],[0.64299673 0.53884476],[0.62791342 0.54816753],[0.60797018 0.54937571]
40,0.3953213370146487,0.3463786201992507,0.3708499786069497,[0.58880305 0.54570639],[0.60983855 0.52694881],[0.63087016 0.52806008],[0.64329916 0.53948033],[0.62775582 0.54856163],[0.60774475 0.54948223]
41,0.3938738385086776,0.3521600507660533,0.37301694463736546,[0.5891661  0.54501313],[0.60989988 0.5268079 ],[0.63072979 0.52802265],[0.64308333 0.53898758],[0.62823778 0.54808486],[0.60836554 0.54927677]
42,0.39506666937472495,0.35277089726907246,0.3739187833218987,[0.58753937 0.54437494],[0.60930991 0.52611673],[0.63049316 0.52726591],[0.64264494 0.53768319],[0.62782347 0.54791635],[0.60737568 0.5490737 ]
43,0.42454734922933474,0.3501463290077219,0.3873468391185283,[0.58835882 0.54533291],[0.60941601 0.52555162],[0.63076532 0.52642506],[0.64334327 0.53830814],[0.62766033 0.54883218],[0.60740334 0.54991388]
44,0.41951715829846775,0.3469339182652933,0.38322553828188055,[0.5875724  0.54432601],[0.60899782 0.52549613],[0.63018131 0.52663499],[0.64234352 0.537462  ],[0.62722522 0.54851711],[0.60688543 0.54963732]
45,0.4249550208667883,0.3487552378722587,0.3868551293695235,[0.58890766 0.54549962],[0.60951144 0.52552092],[0.63048816 0.52615291],[0.64299655 0.53762686],[0.62753659 0.5482018 ],[0.60756606 0.54965216]
46,0.4228621000326839,0.3515826322554861,0.387222366144085,[0.58876753 0.54456073],[0.60977656 0.52473342],[0.63123435 0.52594638],[0.64374906 0.53794533],[0.62820596 0.54809129],[0.60786569 0.5491423 ]
47,0.4168430821120536,0.3549789290103533,0.38591100556120345,[0.5885281  0.54466593],[0.60955    0.52568525],[0.63069594 0.52696633],[0.64311182 0.53829789],[0.62800944 0.54858875],[0.6077975  0.54964691]
48,0.4176375077893141,0.3658778968872716,0.3917577023382929,[0.58842003 0.54415828],[0.60991204 0.5249415 ],[0.63140023 0.52609336],[0.64367276 0.53774846],[0.62859851 0.54809541],[0.60812551 0.54915673]
49,0.4156534848223171,0.3583752073957143,0.38701434610901575,[0.58881205 0.54343343],[0.60977429 0.52479362],[0.63088834 0.52619803],[0.64332843 0.53741664],[0.62832254 0.54768968],[0.60811967 0.54868716]
50,0.42732880376693816,0.3455419027268106,0.3864353532468744,[0.58872724 0.54319352],[0.60971123 0.52407634],[0.63087714 0.52540141],[0.64315099 0.53668064],[0.62811327 0.54753673],[0.6078943  0.54854733]
51,0.42267200124333304,0.3620303377583053,0.39235116950081916,[0.5894413  0.54383034],[0.61028683 0.52457476],[0.63149232 0.52568805],[0.64380389 0.53755003],[0.62863123 0.54757684],[0.6085335  0.54869688]
52,0.408682091342254,0.353059701555845,0.3808708964490495,[0.58796573 0.5432623 ],[0.60946488 0.52457064],[0.63066363 0.52587247],[0.64284897 0.53689349],[0.62778926 0.54716372],[0.60750514 0.54816562]
53,0.4162855987402237,0.3543020440791114,0.38529382140966756,[0.58827037 0.54349858],[0.6094932  0.52467537],[0.63077331 0.52596325],[0.64314795 0.5372684 ],[0.62806481 0.54767764],[0.6077472  0.54871237]
54,0.41513236639957996,0.36068676418640494,0.3879095652929925,[0.58850044 0.54364663],[0.61000681 0.52512288],[0.63127255 0.52655506],[0.64354521 0.53776628],[0.62846875 0.54823798],[0.6080634  0.54914272]
55,0.4236185946229499,0.3569963340688921,0.390307464345921,[0.58881724 0.54353285],[0.61015922 0.52447045],[0.63146567 0.5258311 ],[0.64377403 0.53725916],[0.62853998 0.54800284],[0.60818231 0.54889047]
56,0.4069370256901162,0.36775294689791743,0.3873449862940168,[0.58869863 0.5430218 ],[0.61012578 0.52509314],[0.63131046 0.52649206],[0.6435712  0.53733397],[0.62888998 0.54765987],[0.60850513 0.5486303 ]
57,0.4205465610051366,0.35994355057068333,0.39024505578790997,[0.58925056 0.54340327],[0.6105172  0.52497274],[0.63168406 0.52642107],[0.64391065 0.53713745],[0.62890434 0.54826188],[0.60861373 0.54915625]
58,0.4037537397874397,0.3481409885872469,0.3759473641873433,[0.58915967 0.54319853],[0.61045021 0.52480388],[0.63159144 0.52620423],[0.64391088 0.53762728],[0.62887573 0.5471077 ],[0.60863453 0.54809439]
59,0.3987556702607924,0.3374704115627829,0.36811304091178765,[0.5883103  0.54231733],[0.6105597 0.5249725],[0.63185775 0.52675289],[0.6437974 0.5373345],[0.62903267 0.54768485],[0.60835648 0.54817605]
60,0.38960864566043873,0.3289857927095199,0.3592972191849793,[0.58903962 0.54177916],[0.61094469 0.52517617],[0.63177812 0.52679312],[0.64360136 0.53686512],[0.62948108 0.54684407],[0.60913724 0.54760891]
61,0.3704318251554509,0.27098879568558276,0.32071031042051684,[0.58975917 0.54187089],[0.61153674 0.52615166],[0.63191879 0.52775711],[0.64343733 0.53727996],[0.62937587 0.54647201],[0.6093148  0.54706043]
62,0.22247957688741052,0.191108383068183,0.20679397997779675,[0.59009206 0.54392433],[0.61068165 0.53483003],[0.63050628 0.53628987],[0.64342725 0.54287857],[0.62894267 0.54712611],[0.60933483 0.54754698]
63,0.06286074124895494,0.07965923676251081,0.07125998900573288,[0.59151077 0.5465548 ],[0.61171269 0.54595202],[0.63217056 0.5483948 ],[0.64813697 0.54994762],[0.63052541 0.55088007],[0.60969424 0.54957974]
64,0.03825953347750457,0.06831062181150194,0.053285077644503256,[0.59194493 0.5475533 ],[0.61201382 0.55025035],[0.63309592 0.55319023],[0.65034842 0.55268347],[0.63139111 0.55401266],[0.60981178 0.55162024]
65,0.041751312209087545,0.03836406541401017,0.04005768881154886,[0.59116739 0.54738873],[0.61111462 0.54962581],[0.63224167 0.55259484],[0.64955103 0.55240369],[0.63024879 0.55335921],[0.60866964 0.5509035 ]
66,0.03867732211280432,0.04856778211276567,0.043622552112785,[0.59219956 0.54685462],[0.61190414 0.54988313],[0.63280964 0.55311424],[0.65011561 0.55262357],[0.6308741  0.55360502],[0.60956782 0.55078804]
67,0.04032579486046145,0.026399736113181232,0.03336276548682134,[0.59289271 0.5473119 ],[0.61293232 0.55030596],[0.63421255 0.55350721],[0.65148556 0.55328405],[0.6321069  0.55408889],[0.61050695 0.55114245]
68,0.03916947986848516,0.03477683465748257,0.03697315726298386,[0.59267485 0.54643095],[0.61262578 0.5500617 ],[0.63384229 0.55369753],[0.65114748 0.5531314 ],[0.63182443 0.55407256],[0.61019903 0.55087137]
69,0.057924949109529146,0.09461920900510946,0.07627207905731931,[0.59268814 0.54634637],[0.61239034 0.547921  ],[0.63307184 0.55123019],[0.64966768 0.55191445],[0.63073665 0.55314422],[0.60971653 0.55035114]
