FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0.2615942485569712,0.42901231979291915,0.34530328417494516,[0.37513959 0.45589203],[0.38804641 0.44341928],[0.40375417 0.43880671],[0.41753975 0.43893421],[0.40294671 0.45096987],[0.38759723 0.4551124 ],0.34587180614471436,0.5276028513908386,1663312639296
2,0.24678167353587435,0.30203186532129106,0.2744067694285827,[0.3932125  0.45568967],[0.40670407 0.44363683],[0.42273685 0.43953985],[0.43650553 0.43987292],[0.42202792 0.45096856],[0.40610656 0.45491958],0.3616161346435547,0.5276009440422058,1663312639318
3,0.23969892755389666,0.24897480421455834,0.24433686588422748,[0.39840949 0.46091008],[0.41325361 0.44903377],[0.43005162 0.44458935],[0.44373339 0.44445196],[0.42858538 0.45626572],[0.41202471 0.46031532],0.3611694276332855,0.5314130783081055,1663312639338
4,0.2545949889987709,0.27431557541003404,0.2644552822044025,[0.40480033 0.46410897],[0.41783562 0.45238915],[0.43412423 0.44856775],[0.44844648 0.44923723],[0.43297625 0.4603987 ],[0.41729257 0.46396878],0.3697660267353058,0.5378315448760986,1663312639362
5,0.2384336027458229,0.32219156241098185,0.28031258257840236,[0.40908962 0.47064811],[0.42350233 0.45890433],[0.44031838 0.45479167],[0.45475262 0.45483607],[0.43922672 0.46633485],[0.42260587 0.47031823],0.37271344661712646,0.5424661636352539,1663312639384
6,0.23810426416998318,0.3544544585406189,0.29627936135530103,[0.41139883 0.46755978],[0.426467   0.45545807],[0.44423175 0.45108974],[0.4590742  0.45142695],[0.44315431 0.4632813 ],[0.42583936 0.46717024],0.3715033531188965,0.5416842103004456,1663312639404
7,0.2474083503616863,0.33664232585509146,0.2920253381083889,[0.41495782 0.46444321],[0.43118617 0.45068368],[0.44995573 0.44618079],[0.46567208 0.44713849],[0.44917804 0.459544  ],[0.4305599  0.46379784],0.37593352794647217,0.5355991125106812,1663312639426
8,0.24531495138021073,0.330691382234122,0.28800316680716637,[0.41947758 0.46197623],[0.43513447 0.44827858],[0.45357931 0.44349533],[0.46935192 0.44416052],[0.45345202 0.45657554],[0.43514204 0.46118191],0.379596471786499,0.534915566444397,1663312639448
9,0.2519422366526198,0.23751970630871305,0.24473097148066641,[0.42861763 0.46093026],[0.44414139 0.44693944],[0.46291301 0.44184095],[0.4782095  0.44253296],[0.46282929 0.45534775],[0.44449416 0.4600803 ],0.3910314738750458,0.5382691621780396,1663312639473
10,0.2516326197249876,0.2994674568621982,0.2755500382935929,[0.43221742 0.46169591],[0.44780192 0.44643798],[0.46745643 0.44050789],[0.48377174 0.44130549],[0.46803316 0.45463678],[0.44892517 0.46015254],0.39883801341056824,0.5415372848510742,1663312639491
