FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0.15460900557099408,0.4129992571140609,0.28380413134252747,[0.43515915 0.4339031 ],[0.45094696 0.43151551],[0.46725348 0.43279591],[0.4809643 0.4362348],[0.46482411 0.43940282],[0.44848117 0.43821913],0.3730050325393677,0.47426438331604004,1663313928224
2,0.13210053653737025,0.46648943066933346,0.2992949836033518,[0.43400061 0.43656152],[0.44954422 0.43526724],[0.46613398 0.43735331],[0.48039874 0.44019103],[0.46373111 0.44278479],[0.44739625 0.44124997],0.3761577606201172,0.48104071617126465,1663313928242
3,0.10992520335225543,0.3967329176547536,0.2533290605035045,[0.43421394 0.4339574 ],[0.4491452  0.43299249],[0.46524557 0.43451908],[0.47966877 0.43622094],[0.46279782 0.43873411],[0.44691068 0.43761185],0.3758793771266937,0.4818132519721985,1663313928260
4,0.12999916773634135,0.39400283584983636,0.26200100179308883,[0.43621409 0.42607358],[0.45133099 0.42532489],[0.46781492 0.42688847],[0.48184529 0.42861059],[0.4642576 0.431844 ],[0.44808784 0.43011194],0.3753651976585388,0.47354835271835327,1663313928282
5,0.16100601769047063,0.48301311452161305,0.3220095661060418,[0.44213679 0.42750323],[0.45872512 0.42445314],[0.47508153 0.42588297],[0.48858058 0.42947286],[0.47257903 0.43273702],[0.45604181 0.43164089],0.37813058495521545,0.46963950991630554,1663313928305
6,0.21080983125422373,0.5390385125682139,0.3749241719112188,[0.44455856 0.41720062],[0.46104228 0.41123334],[0.47838014 0.41137564],[0.49271452 0.415665  ],[0.47490492 0.4211452 ],[0.45811033 0.42073587],0.3788652718067169,0.4663134813308716,1663313928329
7,0.2398601344994492,0.417385743169905,0.3286229388346771,[0.43995368 0.41704607],[0.45525557 0.40872872],[0.4724597  0.40897521],[0.48736805 0.41401756],[0.46906549 0.41987699],[0.45276177 0.419826  ],0.37692368030548096,0.47123491764068604,1663313928355
8,0.2504135711120295,0.43325963719298805,0.34183660415250877,[0.43618494 0.41775447],[0.45190689 0.40818593],[0.47062153 0.40710568],[0.48617446 0.41154334],[0.46697992 0.41933036],[0.44958493 0.42044097],0.37461337447166443,0.47612759470939636,1663313928377
9,0.23973484716771293,0.3807561630449255,0.3102455051063192,[0.42735955 0.41498107],[0.44238269 0.40556666],[0.46084979 0.40443581],[0.47680357 0.40785837],[0.45764783 0.41613293],[0.44060832 0.41725695],0.3674241006374359,0.47881725430488586,1663313928401
10,0.2084073962496634,0.41665967972698426,0.31253353798832384,[0.42736447 0.41642562],[0.44224754 0.40816772],[0.45948544 0.40632662],[0.47457203 0.40826157],[0.45763409 0.4162603 ],[0.44100359 0.41795313],0.36872345209121704,0.47806358337402344,1663313928422
11,0.21166175186944705,0.3515507456767694,0.28160624877310825,[0.42931131 0.41558191],[0.44479018 0.40679818],[0.46284494 0.40485132],[0.47761264 0.40638539],[0.46063343 0.41516164],[0.44347605 0.41698334],0.37169134616851807,0.4787801504135132,1663313928445
12,0.23148787102102872,0.40606499110953453,0.31877643106528164,[0.42788252 0.41238007],[0.44202772 0.40288463],[0.45913774 0.4008697 ],[0.47338536 0.40228391],[0.45681044 0.41143346],[0.44082624 0.41357931],0.36931267380714417,0.4752236604690552,1663313928468
13,0.24814536030806905,0.3912360749287996,0.3196907176184343,[0.42734849 0.40871179],[0.44069794 0.39836708],[0.45714325 0.39658177],[0.47200939 0.39922324],[0.45578361 0.40773684],[0.44034809 0.4097836 ],0.36672016978263855,0.47101154923439026,1663313928489
14,0.21906637677947058,0.29889591161041895,0.2589811441949448,[0.42923597 0.40780962],[0.44380832 0.39910415],[0.46020141 0.39740404],[0.47540355 0.39956045],[0.45836622 0.40760773],[0.4421818  0.40915385],0.3681642413139343,0.4728178381919861,1663313928507
15,0.14490256857852152,0.33375014927046187,0.2393263589244917,[0.43086112 0.41257906],[0.44650888 0.40594167],[0.46460074 0.40392914],[0.48149565 0.40415412],[0.46365795 0.41124436],[0.44572687 0.41340095],0.3688228726387024,0.47930029034614563,1663313928524
16,0.12683822645052026,0.4044928655353231,0.2656655459929217,[0.42349991 0.42036584],[0.43860003 0.41408056],[0.45545343 0.41093561],[0.47202426 0.41022977],[0.45565435 0.41705257],[0.43837216 0.42053145],0.3669779896736145,0.48134860396385193,1663313928544
17,0.17682114599974283,0.3773833562835497,0.27710225114164627,[0.41359866 0.42316425],[0.42828447 0.41443491],[0.44562644 0.41057989],[0.46352875 0.41146702],[0.44674638 0.41965261],[0.4288111  0.42341337],0.35075634717941284,0.482676237821579,1663313928565
18,0.16265090125891796,0.6400284626687975,0.4013396819638577,[0.40603033 0.43538472],[0.42032808 0.4281618 ],[0.43642327 0.4250015 ],[0.45100391 0.42490712],[0.43616721 0.4321802 ],[0.4200173  0.43599415],0.346169650554657,0.4996274709701538,1663313928589
19,0.24196124528787868,0.45976288292487866,0.35086206410637866,[0.39260897 0.44023925],[0.40708312 0.43148556],[0.42380461 0.42963099],[0.43747038 0.43107978],[0.42115828 0.44030041],[0.40530151 0.44250712],0.33784574270248413,0.5031102299690247,1663313928617
20,0.25322196314273504,0.4856923157126452,0.3694571394276901,[0.38499013 0.44882518],[0.4011572  0.43825993],[0.41860554 0.4364267 ],[0.43243241 0.43918622],[0.41655138 0.44823825],[0.39953992 0.45068401],0.33310097455978394,0.5091307163238525,1663313928639
21,0.22551319450949878,0.6132781551965742,0.4193956748530365,[0.38250798 0.45478863],[0.39891613 0.44635069],[0.41547412 0.44411075],[0.42921317 0.44582325],[0.41410542 0.45479697],[0.39749947 0.45693263],0.33169981837272644,0.5162794589996338,1663313928658
22,0.22262553420416542,0.5511444920654859,0.38688501313482565,[0.38916469 0.45912343],[0.40246058 0.45091945],[0.41825813 0.44888532],[0.43289456 0.45029837],[0.41693717 0.45862389],[0.40170115 0.46092623],0.3381354808807373,0.5165137052536011,1663313928682
23,0.1946741445823931,0.3482818879560357,0.2714780162692144,[0.39460579 0.45550609],[0.40979993 0.44858229],[0.42640865 0.44611055],[0.4403303  0.44587314],[0.42478183 0.45513457],[0.40820664 0.45746458],0.3454709053039551,0.5190901756286621,1663313928704
24,0.19595563314399192,0.3780601758318757,0.2870079044879338,[0.39867023 0.45156118],[0.41478533 0.44325435],[0.43223161 0.44067729],[0.44739172 0.44167447],[0.43084866 0.4503684 ],[0.41360983 0.45287719],0.344907283782959,0.5149085521697998,1663313928723
25,0.2193644332040984,0.3768449463538935,0.29810468977899596,[0.40496716 0.44824192],[0.42114472 0.43871754],[0.43899959 0.43574259],[0.45478037 0.43709114],[0.43818668 0.44710392],[0.42054868 0.44970638],0.3491649031639099,0.5163998007774353,1663313928744
26,0.23288601599708483,0.3756386047475914,0.30426231037233814,[0.40515733 0.45021617],[0.42108685 0.44088277],[0.43900347 0.43849811],[0.4543778  0.43988186],[0.43799487 0.45019752],[0.42052454 0.45255181],0.35386011004447937,0.5196249485015869,1663313928766
