FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,NOSE_x,NOSE_y,TIMESTAMP
1,0,0,0,[0.39896756 0.37748334],[0.41312656 0.36571082],[0.43027762 0.36070687],[0.44727692 0.3612273 ],[0.43176717 0.37201753],[0.4145219  0.37707439],0.3375549912452698,0.44965124130249023,1663312488066
2,0,0,0,[0.39896756 0.37748334],[0.41312656 0.36571082],[0.43027762 0.36070687],[0.44727692 0.3612273 ],[0.43176717 0.37201753],[0.4145219  0.37707439],0.3375549912452698,0.44965124130249023,1663312488083
3,0,0,0,[0.39896756 0.37748334],[0.41312656 0.36571082],[0.43027762 0.36070687],[0.44727692 0.3612273 ],[0.43176717 0.37201753],[0.4145219  0.37707439],0.3375549912452698,0.44965124130249023,1663312488099
4,0.1458779688786737,0.4537891912508688,0.29983358006477123,[0.41511452 0.40297374],[0.42753112 0.3990255 ],[0.44157177 0.39836472],[0.45400813 0.39872262],[0.43930131 0.4035376 ],[0.4257004  0.40449294],0.3661837577819824,0.4545081555843353,1663312488124
5,0.17143143413883663,0.44849657086745776,0.3099640025031472,[0.41662502 0.3949531 ],[0.42996976 0.39127833],[0.44514194 0.39055717],[0.45789996 0.3907932 ],[0.44081196 0.39678198],[0.42642304 0.39689252],0.36269891262054443,0.45105379819869995,1663312488149
6,0.2778648342634875,0.4356318188305085,0.356748326546998,[0.419626   0.38362873],[0.43413162 0.37273461],[0.45160666 0.37071979],[0.46497664 0.37429607],[0.44685173 0.38306972],[0.43109345 0.38485682],0.36124902963638306,0.4462621212005615,1663312488169
7,0.2859516966302246,0.35988357690668776,0.3229176367684562,[0.41219723 0.37898779],[0.42444682 0.3672868 ],[0.44151461 0.36473331],[0.45569417 0.36733967],[0.44005173 0.3775183 ],[0.42489833 0.38016304],0.3579423427581787,0.4481441080570221,1663312488189
8,0.22506143196998862,0.33759100311016715,0.2813262175400779,[0.40079713 0.37714154],[0.41355714 0.36745542],[0.42988342 0.36395708],[0.44486734 0.36404929],[0.42876932 0.37444681],[0.41347155 0.37760019],0.3421404957771301,0.4515395164489746,1663312488209
9,0.2194386738354496,0.2637094403948814,0.2415740571151655,[0.3968747  0.37583098],[0.41063145 0.36548978],[0.42718431 0.36186242],[0.44342855 0.36242712],[0.42729363 0.37260306],[0.41097471 0.37600443],0.3368823230266571,0.4461396038532257,1663312488227
10,0.22234363650524946,0.22380631568431186,0.22307497609478066,[0.39702895 0.37674561],[0.41109967 0.36593407],[0.42796522 0.36157665],[0.44468734 0.36198151],[0.42892364 0.37273243],[0.41213572 0.37687498],0.33611592650413513,0.4475487470626831,1663312488248
11,0.2313810646519534,0.2946854045435129,0.26303323459773315,[0.39814568 0.37786779],[0.41104779 0.3661353 ],[0.42796826 0.36149016],[0.44530129 0.36177105],[0.42923012 0.37298167],[0.41271231 0.37751177],0.3343692421913147,0.4532977342605591,1663312488267
12,0.23333316101380655,0.3563383864706443,0.2948357737422254,[0.40620649 0.37909949],[0.41842955 0.36826831],[0.43529889 0.36358196],[0.4522796 0.3636094],[0.43626612 0.3749907 ],[0.4201816  0.37936458],0.3393961787223816,0.4577089250087738,1663312488290
13,0.2339137888754826,0.2790797432364912,0.2564967660559869,[0.40985999 0.37781903],[0.42481288 0.36685625],[0.44264549 0.36253345],[0.45956311 0.36331367],[0.44359651 0.37474978],[0.42579818 0.37878481],0.34876155853271484,0.451163113117218,1663312488310
14,0.22118221659376502,0.27631435421879247,0.24874828540627875,[0.40974087 0.37898237],[0.42533308 0.36824557],[0.44363555 0.36402607],[0.46087885 0.36473435],[0.44454569 0.37590095],[0.42606285 0.37979609],0.34604817628860474,0.4531744420528412,1663312488334
15,0.23441651514207912,0.26398387967383385,0.2492001974079565,[0.41132987 0.3777532 ],[0.42516926 0.36758184],[0.44219929 0.36352119],[0.45857155 0.36402395],[0.44300255 0.37521836],[0.42611569 0.37888238],0.349362313747406,0.45419368147850037,1663312488354
16,0.22514560627241204,0.24481998904467367,0.23498279765854285,[0.41293281 0.37984741],[0.42670947 0.3693746 ],[0.44388664 0.36528549],[0.46157786 0.36601847],[0.44488016 0.37682363],[0.42748043 0.38053954],0.35117828845977783,0.4537706971168518,1663312488377
17,0.2343735381183375,0.2369692104319441,0.2356713742751408,[0.40997702 0.38330954],[0.4250522  0.37200308],[0.44321299 0.36731964],[0.46069905 0.36791956],[0.44479719 0.37979588],[0.42648831 0.38418847],0.3497965335845947,0.45787209272384644,1663312488398
18,0.2156984019417683,0.25750915366710214,0.2366037778044352,[0.4089129  0.38274193],[0.42377827 0.37189931],[0.4418076  0.36713806],[0.45924509 0.36750522],[0.44337496 0.37854558],[0.4251928  0.38298094],0.35107582807540894,0.4575612246990204,1663312488418
19,0.2428125450553711,0.23670681692452417,0.23975968098994763,[0.41389021 0.38054389],[0.42969275 0.36909321],[0.4482272  0.36509919],[0.46467668 0.36638796],[0.44868618 0.37782872],[0.43054485 0.3819305 ],0.35803914070129395,0.4530102014541626,1663312488441
20,0.24935943197621113,0.3001690210247655,0.2747642265004883,[0.41409951 0.38138291],[0.42787105 0.36969844],[0.44534242 0.36590296],[0.4617323  0.36749473],[0.4459818  0.37810799],[0.42920607 0.38214982],0.355104923248291,0.45354655385017395,1663312488461
21,0.2328669976548078,0.2808236027583099,0.2568453002065589,[0.41643947 0.38095382],[0.43051597 0.36961496],[0.44811651 0.36580306],[0.46483326 0.36733407],[0.44876295 0.3773554 ],[0.43173325 0.38139606],0.3580067753791809,0.45198124647140503,1663312488480
22,0.23431017311028182,0.22028414161163043,0.22729715736095613,[0.41723016 0.37980264],[0.43087849 0.36929968],[0.44792706 0.36587015],[0.46421209 0.36718857],[0.4482666  0.37718496],[0.4317725  0.38074133],0.3563265800476074,0.4513607323169708,1663312488501
23,0.23237712982638636,0.2675705236458775,0.24997382673613194,[0.41573808 0.38124508],[0.42961583 0.3703391 ],[0.44676462 0.36689222],[0.46290779 0.36830258],[0.44697729 0.37806532],[0.4305169  0.38186136],0.35495075583457947,0.4543973207473755,1663312488521
24,0.22905814892712598,0.2919338707806196,0.2604960098538728,[0.41542307 0.38086012],[0.43243146 0.36955446],[0.4521479  0.36592811],[0.46904293 0.3675034 ],[0.45163634 0.37856501],[0.43245363 0.38222197],0.35561883449554443,0.45405784249305725,1663312488543
25,0.23352127600487185,0.22936478636198676,0.2314430311834293,[0.41088399 0.38463575],[0.42707357 0.373209  ],[0.44621101 0.3691493 ],[0.46329466 0.37037659],[0.44646323 0.38184488],[0.42776525 0.38585979],0.3503325581550598,0.45735329389572144,1663312488565
26,0.23553851113820976,0.20197949918371016,0.21875900516095997,[0.4093304  0.38257921],[0.42418411 0.37088501],[0.44234222 0.36599576],[0.45966443 0.3665511 ],[0.44356099 0.3784098 ],[0.4256745  0.38320583],0.3498396873474121,0.4580996632575989,1663312488589
27,0.25759439799716677,0.31056208818231285,0.28407824308973983,[0.40730596 0.3844966 ],[0.42119256 0.37215739],[0.43918735 0.36745635],[0.45555276 0.3681376 ],[0.44026604 0.38045594],[0.42303085 0.38523069],0.34969308972358704,0.4633285105228424,1663312488611
28,0.2432829090641681,0.29681244796234346,0.2700476785132558,[0.40839815 0.38727137],[0.42276743 0.37551293],[0.44102007 0.37051338],[0.45859188 0.37099501],[0.44250008 0.38337594],[0.42441067 0.38813347],0.3507970869541168,0.4652325510978699,1663312488633
