FN,EAR_L,EAR_R,EAR,P1,P2,P3,P4,P5,P6,TIMESTAMP
122,0,0,0,0,0,0,0,0,0,1663658635401
123,0,0,0,0,0,0,0,0,0,1663658635420
124,0,0,0,0,0,0,0,0,0,1663658635437
125,0,0,0,0,0,0,0,0,0,1663658635455
126,0,0,0,0,0,0,0,0,0,1663658635473
127,0,0,0,0,0,0,0,0,0,1663658635490
128,0,0,0,0,0,0,0,0,0,1663658635511
129,0,0,0,0,0,0,0,0,0,1663658635529
130,0,0,0,0,0,0,0,0,0,1663658635547
131,0,0,0,0,0,0,0,0,0,1663658635565
132,0,0,0,0,0,0,0,0,0,1663658635583
133,0,0,0,0,0,0,0,0,0,1663658635600
134,0,0,0,0,0,0,0,0,0,1663658635619
135,0,0,0,0,0,0,0,0,0,1663658635636
136,0,0,0,0,0,0,0,0,0,1663658635654
137,0,0,0,0,0,0,0,0,0,1663658635670
138,0,0,0,0,0,0,0,0,0,1663658635690
139,0,0,0,0,0,0,0,0,0,1663658635708
140,0,0,0,0,0,0,0,0,0,1663658635725
141,0,0,0,0,0,0,0,0,0,1663658635743
142,0,0,0,0,0,0,0,0,0,1663658635761
143,0,0,0,0,0,0,0,0,0,1663658635778
144,0,0,0,0,0,0,0,0,0,1663658635796
145,0,0,0,0,0,0,0,0,0,1663658635813
146,0,0,0,0,0,0,0,0,0,1663658635830
147,0,0,0,0,0,0,0,0,0,1663658635847
148,0,0,0,0,0,0,0,0,0,1663658635865
149,0,0,0,0,0,0,0,0,0,1663658635881
150,0,0,0,0,0,0,0,0,0,1663658635899
151,0,0,0,0,0,0,0,0,0,1663658635916
152,0,0,0,0,0,0,0,0,0,1663658635935
153,0,0,0,0,0,0,0,0,0,1663658635952
154,0,0,0,0,0,0,0,0,0,1663658635969
155,0,0,0,0,0,0,0,0,0,1663658635987
156,0,0,0,0,0,0,0,0,0,1663658636004
157,0,0,0,0,0,0,0,0,0,1663658636020
158,0,0,0,0,0,0,0,0,0,1663658636038
159,0,0,0,0,0,0,0,0,0,1663658636055
160,0,0,0,0,0,0,0,0,0,1663658636072
161,0,0,0,0,0,0,0,0,0,1663658636090
162,0,0,0,0,0,0,0,0,0,1663658636108
163,0,0,0,0,0,0,0,0,0,1663658636129
164,0,0,0,0,0,0,0,0,0,1663658636146
165,0,0,0,0,0,0,0,0,0,1663658636161
166,0,0,0,0,0,0,0,0,0,1663658636178
167,0,0,0,0,0,0,0,0,0,1663658636195
168,0,0,0,0,0,0,0,0,0,1663658636223
169,0,0,0,0,0,0,0,0,0,1663658636240
170,0,0,0,0,0,0,0,0,0,1663658636257
171,0,0,0,0,0,0,0,0,0,1663658636274
172,0,0,0,0,0,0,0,0,0,1663658636290
173,0,0,0,0,0,0,0,0,0,1663658636308
174,0,0,0,0,0,0,0,0,0,1663658636326
175,0,0,0,0,0,0,0,0,0,1663658636344
176,0,0,0,0,0,0,0,0,0,1663658636362
177,0,0,0,0,0,0,0,0,0,1663658636378
178,0,0,0,0,0,0,0,0,0,1663658636396
179,0,0,0,0,0,0,0,0,0,1663658636414
180,0,0,0,0,0,0,0,0,0,1663658636431
181,0,0,0,0,0,0,0,0,0,1663658636447
182,0,0,0,0,0,0,0,0,0,1663658636465
183,0,0,0,0,0,0,0,0,0,1663658636483
