FN,EAR,MAR,MOEAR,MINUTE,TIMESTAMP
1,0.33088681818435717,2.248641607681694,6.795802927479689,1,1662603012099
2,0.2837418282831196,3.2941033810578833,11.609509253499994,1,1662603012130
3,0.3588501909382691,3.3514249889711487,9.339342916910068,1,1662603012157
4,0.47390860299330106,3.3560719186864443,7.081685999133221,1,1662603012267
5,0.3927713948645274,2.9414482387533956,7.4889573864408945,1,1662603012295
6,0.622017561476839,3.176707478255559,5.107102556257722,1,1662603012325
7,0.7207403449455432,3.260680690756764,4.52407127424389,1,1662603012354
8,0.7245528290111953,3.381534282624061,4.667063804358994,1,1662603012385
9,0.7154534844298372,3.541930048026952,4.950608425437475,1,1662603012420
10,0.6686716888770607,3.2806801965650703,4.906264540786088,1,1662603012447
11,0.6646325356028056,3.501668405049267,5.26857807506119,1,1662603012475
12,0.7265551541151437,3.2255860081089205,4.439561112242462,1,1662603012502
13,0.732380866872826,3.179690725331082,4.34158082106645,1,1662603012534
14,0.671065339948623,3.291232346988283,4.904488655665424,1,1662603012559
15,0.605827456984422,3.5103026747960664,5.794228429772751,1,1662603012585
16,0.5848131298219719,3.43964561438023,5.881614893679495,1,1662603012617
17,0.5275588621400822,3.4647759148072517,6.567562718503349,1,1662603012645
18,0.5427221937634669,3.396778050371325,6.258778596866694,1,1662603012673
19,0.5570531542912702,3.4332323217384406,6.1632041669461275,1,1662603012700
20,0.5372212698417247,3.2371829653093944,6.025790762646327,1,1662603012731
21,0.6186259010242171,3.031113016178926,4.899751224707076,1,1662603012760
22,0.6665538663693618,3.1321687713117576,4.699048238025085,1,1662603012788
23,0.5669889371504107,3.3837313468913495,5.967896594063023,1,1662603012813
24,0.5216365799011373,3.4937817863822644,6.697731564462791,1,1662603012840
25,0.5127491361318242,3.8128248926120736,7.436043522912583,1,1662603012873
26,0.5054869692075492,3.3559002732563417,6.63894517106421,1,1662603012898
27,0.5040705574842834,3.112508891906991,6.17474844680655,1,1662603012925
