FN,EAR,MAR,MOEAR,MINUTE,TIMESTAMP,NOSE_x,NOSE_y
803,0.31115827054613077,4.808360865131161,15.45310319629861,1,1662701913490,0.36014649271965027,0.43990686535835266
804,0.30565878970195515,4.864847381627278,15.915941388012898,1,1662701913510,0.35187676548957825,0.44440796971321106
805,0.29696698455659276,4.605105331928001,15.507128978677457,1,1662701913529,0.35222938656806946,0.4391779899597168
806,0.28722951309789235,4.3212547708425655,15.044605703069982,1,1662701913552,0.3510388731956482,0.440341979265213
807,0.328862815225155,5.328378765832135,16.202436150113463,1,1662701913571,0.35102301836013794,0.4375040531158447
808,0.29384186146171887,4.508410896577767,15.342983719714537,1,1662701913587,0.3514384925365448,0.432927668094635
809,0.3082599694520036,4.6349184760363125,15.035745589269494,1,1662701913608,0.3527596592903137,0.43227168917655945
810,0.3236251280741148,4.425453146598322,13.674627717983721,1,1662701913627,0.35594403743743896,0.4305861294269562
811,0.3038138235315471,4.5812763807120795,15.079222951276849,1,1662701913646,0.3606269955635071,0.4320008158683777
812,0.31619904152888756,4.193600831903136,13.262534926185136,1,1662701913664,0.36706864833831787,0.43619924783706665
813,0.3064163638056156,4.05802734165248,13.243507269823262,1,1662701913684,0.36939674615859985,0.43962809443473816
814,0.31738089392488333,4.230157228924567,13.328329807797902,1,1662701913707,0.36632904410362244,0.44291144609451294
815,0.3224224939928781,4.029817491287193,12.498561875699052,1,1662701913724,0.3691280484199524,0.44441667199134827
816,0.3008329323529061,3.7640016534777203,12.511933530808331,1,1662701913743,0.36786842346191406,0.4407746195793152
817,0.3028849142129202,4.023259747635041,13.283130188540175,1,1662701913764,0.3645540773868561,0.439089298248291
818,0.3166818701233111,4.178515581902865,13.19467887528836,1,1662701913784,0.3569702208042145,0.4499771296977997
819,0.3097042493598164,4.479646921338808,14.464273353041163,1,1662701913809,0.3445931077003479,0.45482197403907776
820,0.3191544400253028,4.86272081054069,15.236262450728148,1,1662701913830,0.3378911018371582,0.45204466581344604
821,0.31677606974203,4.7714543386204715,15.062546683233228,1,1662701913847,0.3360486328601837,0.44966113567352295
822,0.3355527621996467,3.697880095315073,11.020264208449321,1,1662701913865,0.338326096534729,0.44410020112991333
823,0.32242231926423026,4.089048003337572,12.682273400516456,1,1662701913884,0.33905065059661865,0.4438009262084961
824,0.3116706969421037,4.047991018353722,12.988038522933971,1,1662701913902,0.3367688059806824,0.4391123652458191
825,0.33998250252614126,4.000178745180269,11.765837110610406,1,1662701913921,0.34066471457481384,0.4388509690761566
826,0.33244820533972935,4.261781227668161,12.819384070108123,1,1662701913942,0.34177881479263306,0.4386763870716095
827,0.3342799828152921,4.56467298949965,13.655238794306989,1,1662701913959,0.3413425087928772,0.4413360059261322
828,0.3163163472584186,5.352472883424505,16.921265466725103,1,1662701913978,0.33739128708839417,0.44487813115119934
829,0.3368975021208599,4.890125524185022,14.51517299297375,1,1662701913997,0.3353393077850342,0.4482499361038208
830,0.3141548515091226,4.497664584515569,14.316712165703935,1,1662701914014,0.332008957862854,0.4482799768447876
831,0.3476904161827168,4.9401437615037604,14.208455371711015,1,1662701914032,0.33375516533851624,0.44892242550849915
832,0.3224105580211504,4.43060961189144,13.74213561455636,1,1662701914053,0.33018654584884644,0.44422340393066406
833,0.3342965325831294,4.616662945810069,13.81008325194652,1,1662701914070,0.3293408155441284,0.4419347941875458
834,0.3409281177015624,4.9141978518129505,14.414175882420713,1,1662701914088,0.3276793360710144,0.44746291637420654
835,0.3163898240979438,4.048267823673451,12.795189716405803,1,1662701914105,0.3301042914390564,0.4468753933906555
836,0.3534775455949614,4.854388231381165,13.733229428224142,1,1662701914124,0.3313365578651428,0.4477090835571289
837,0.3059408378513313,3.6618480369631086,11.969137767552773,1,1662701914145,0.33687543869018555,0.4347885847091675
838,0.327410722108202,4.092624820797727,12.49997188377113,1,1662701914168,0.34115493297576904,0.4334644079208374
