FN,EAR,MAR,MOEAR,MINUTE,TIMESTAMP,NOSE_x,NOSE_y
1,0.2062401311796085,6.018635146840673,29.182657673928745,1,1662703642780,0.3859747052192688,0.38322359323501587
2,0.22329660473691215,3.6081716125824284,16.15864968853231,1,1662703642829,0.3895948529243469,0.3940499424934387
3,0.24428980864977162,3.82275130497394,15.64842727620481,1,1662703642851,0.3792037069797516,0.40303897857666016
4,0.22600272927964282,3.7484715547201763,16.58595702214743,1,1662703642875,0.38445159792900085,0.40496984124183655
5,0.24302107998790506,4.16749711144716,17.148706242497862,1,1662703642895,0.3858546018600464,0.39916151762008667
6,0.24372335045423688,3.7055676972526785,15.203991289084387,1,1662703642917,0.39006003737449646,0.39804792404174805
7,0.2559077401381423,3.7695654943396475,14.730173820865234,1,1662703642942,0.3976931571960449,0.3925887942314148
8,0.26544815242920117,3.8749546935748427,14.597783627853085,1,1662703642962,0.3949526846408844,0.38734909892082214
9,0.27602260520167216,3.9430129705576364,14.285108886921517,1,1662703642983,0.4003608822822571,0.3831535577774048
10,0.2632365145737703,3.837581345632993,14.5784537219191,1,1662703643000,0.3960524797439575,0.37998059391975403
11,0.20759836043241922,3.601074637589681,17.34635394079599,1,1662703643018,0.3970471918582916,0.3808993101119995
12,0.22840640756882538,3.7925582001992226,16.60442997448054,1,1662703643037,0.39778122305870056,0.3808954060077667
13,0.24317909992495074,4.138506416437319,17.018347455494872,1,1662703643056,0.39842283725738525,0.3818424344062805
14,0.24408423160948506,3.997878342109025,16.379093052210376,1,1662703643074,0.39500293135643005,0.3835392892360687
15,0.2575004441471195,4.1626825171416835,16.165729464774785,1,1662703643093,0.39321795105934143,0.38723427057266235
16,0.25711559722514454,3.9727438442031002,15.45119738778176,1,1662703643112,0.38503190875053406,0.3921116590499878
17,0.2540065946935133,4.300742627845829,16.931617988246114,1,1662703643132,0.38431745767593384,0.3951648473739624
18,0.2615654711806331,3.9441796077911127,15.079129481380678,1,1662703643151,0.3855052590370178,0.39497122168540955
19,0.2518197198707065,4.164411361846434,16.537272632916103,1,1662703643173,0.38520461320877075,0.3971579372882843
20,0.2708546596436233,4.099129759580639,15.134056637512028,1,1662703643195,0.39252328872680664,0.3954414129257202
21,0.2739038223306653,3.9531375797848898,14.432575442530839,1,1662703643215,0.39319393038749695,0.39589518308639526
22,0.25740910916611076,3.9318571120471835,15.274739595597936,1,1662703643234,0.3936479389667511,0.393327534198761
23,0.27053689825311533,3.552567187254586,13.131544015599642,1,1662703643253,0.39384910464286804,0.4016686975955963
24,0.2584432883795351,3.7118904616145443,14.362495094720638,1,1662703643272,0.39303359389305115,0.4052868187427521
25,0.24921215236222483,3.549153137582838,14.2414930569847,1,1662703643291,0.3931092619895935,0.4196845293045044
26,0.25023416469588705,3.6546695935789666,14.604998474211289,1,1662703643312,0.38870638608932495,0.4240046441555023
27,0.26688927497688464,3.547247316681099,13.291082292416311,1,1662703643335,0.3877842426300049,0.42851945757865906
28,0.2714773837817762,4.076667230766909,15.01659981386843,1,1662703643354,0.3933137059211731,0.4287453293800354
29,0.2607482903800346,4.0087298044815505,15.37394472899101,1,1662703643373,0.3934527635574341,0.4133172631263733
30,0.26941438851307997,4.341758663561615,16.115541146574003,1,1662703643393,0.396598219871521,0.4063751995563507
31,0.2793761928058538,3.9589752279553867,14.170768053620758,1,1662703643413,0.4075776934623718,0.3881567418575287
32,0.2522429207988901,4.4863152191195494,17.785693271037044,1,1662703643433,0.4054114520549774,0.3894200325012207
33,0.28899384638208464,4.31896043941014,14.94481800730094,1,1662703643451,0.40227824449539185,0.39798223972320557
34,0.27511211127423335,4.479050419313383,16.280818749010432,1,1662703643469,0.4008907079696655,0.41905272006988525
35,0.273161579300889,3.7446700027480526,13.708626272889122,1,1662703643489,0.4076385498046875,0.4239664375782013
36,0.16975177727344243,3.8177918674554747,22.490438266844386,1,1662703643509,0.4270707368850708,0.41181662678718567
37,0.20844502862641384,3.999737241523186,19.18845111289138,1,1662703643532,0.4530526399612427,0.4021265506744385
38,0.20985202587717283,3.214280218154679,15.31688914948102,1,1662703643554,0.4811634421348572,0.3975222110748291
39,0.22939779634924112,3.039975595902476,13.25198255729684,1,1662703643574,0.5059532523155212,0.3948480486869812
40,0.2495698803638316,2.861971926217214,11.467617494727058,1,1662703643593,0.5067088603973389,0.4019653797149658
41,0.24102977768764716,3.298977569247978,13.687012455046759,1,1662703643611,0.4974903464317322,0.41040951013565063
42,0.20024437820776728,3.3230100305167767,16.594773147982842,1,1662703643630,0.4818839132785797,0.4126098155975342
43,0.18967015111694777,3.722447418314215,19.625899997406602,1,1662703643652,0.43804383277893066,0.4149605929851532
44,0.24742739959658355,4.310286641943807,17.420409578613715,1,1662703643672,0.42675089836120605,0.4127395451068878
45,0.24217916355772862,4.171237962694535,17.223768970943,1,1662703643689,0.416705846786499,0.4050184488296509
46,0.26698855123884274,4.19583484067327,15.715411096110104,1,1662703643708,0.41295140981674194,0.39969339966773987
