FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
29,0.19269157606552237,0.10900909217039845,0.1508503341179604,[0.58163106 0.40311784],[0.6024915  0.39815795],[0.62215149 0.39936653],[0.63722342 0.40364361],[0.6220355 0.4094823],[0.6013031  0.40940422]
30,0.1293282598330674,0.06830915034742172,0.09881870509024455,[0.58373457 0.40634117],[0.60465163 0.40425658],[0.62467128 0.40549701],[0.64007372 0.40736115],[0.62358332 0.41232505],[0.60247034 0.41160017]
31,0.14626493069376875,0.060291850315481524,0.10327839050462514,[0.58488226 0.4094784 ],[0.60604399 0.40592414],[0.62607384 0.40724197],[0.64173144 0.41072002],[0.62539345 0.41512021],[0.60407847 0.41442639]
32,0.16400022190747768,0.0882054536766998,0.12610283779208875,[0.58944941 0.41042137],[0.60871983 0.40600345],[0.62782216 0.40690732],[0.64331841 0.41032478],[0.6278522  0.41529703],[0.60782123 0.41523916]
33,0.24824201597076276,0.19684563281906867,0.2225438243949157,[0.59080476 0.40879193],[0.61059433 0.40036491],[0.62907308 0.40063715],[0.64314681 0.40609398],[0.62877786 0.41305941],[0.60952103 0.4139182 ]
34,0.30115068350917157,0.2296509535598367,0.26540081853450415,[0.59322059 0.41014013],[0.61355609 0.39922172],[0.63244051 0.4002167 ],[0.64584208 0.40735877],[0.63138449 0.41525626],[0.61190885 0.41580173]
35,0.3267134795529929,0.25057411430049253,0.2886437969267427,[0.59467375 0.41162735],[0.6151104  0.39923799],[0.63404012 0.40009582],[0.647223   0.40795821],[0.63320053 0.41637266],[0.61367118 0.41730297]
36,0.3389882495290707,0.26109718165303325,0.300042715591052,[0.59517002 0.41200492],[0.61547965 0.39904401],[0.63388914 0.40035543],[0.64664972 0.4087038 ],[0.63244182 0.41689748],[0.61350316 0.41730583]
37,0.33042679736753205,0.2639520978698606,0.29718944761869637,[0.59532982 0.41382724],[0.61611408 0.40179875],[0.63506734 0.40321511],[0.64798462 0.41145986],[0.63380599 0.41968918],[0.61430293 0.42001894]
38,0.3230250984503357,0.2700007742241156,0.29651293633722564,[0.59485549 0.41492945],[0.61514825 0.40346009],[0.63357413 0.40508488],[0.64635932 0.41338792],[0.63214529 0.42080492],[0.61316192 0.42085114]
39,0.3296446716798051,0.27819339294373857,0.30391903231177186,[0.59356916 0.4164179 ],[0.61392242 0.40461957],[0.63244623 0.40623242],[0.64535189 0.41480476],[0.6310125 0.4223963],[0.61199844 0.42244506]
40,0.34894470137384087,0.2920110452028629,0.32047787328835187,[0.5931859  0.41894329],[0.61355233 0.40581733],[0.63205415 0.4072997 ],[0.64473152 0.41605288],[0.63016337 0.42436191],[0.61128402 0.42454344]
41,0.3491424321042327,0.2963243053592239,0.3227333687317283,[0.59251559 0.42011383],[0.61277384 0.40712887],[0.63129538 0.40837675],[0.64404023 0.41682407],[0.62965274 0.42544556],[0.61067837 0.42591685]
42,0.3577147314859679,0.30216864742904975,0.3299416894575088,[0.59160542 0.42053548],[0.61161548 0.40735626],[0.629803   0.40843406],[0.64253902 0.41691878],[0.62815118 0.42583469],[0.60943228 0.42628306]
43,0.34767132215967245,0.3040826677649751,0.3258769949623238,[0.59042144 0.42110509],[0.61070853 0.40791005],[0.62907565 0.40896726],[0.64191931 0.41704538],[0.62734932 0.42602685],[0.60843539 0.42654496]
44,0.3474433771876473,0.2821690602171598,0.31480621870240355,[0.59031087 0.42152143],[0.61078805 0.40848815],[0.62958169 0.40952754],[0.64259195 0.41775185],[0.62823284 0.42688116],[0.60890925 0.4274129 ]
45,0.3359198502570268,0.2713356420177877,0.3036277461374073,[0.59189916 0.42281729],[0.61223626 0.4100827 ],[0.63149703 0.41103247],[0.64444876 0.41974109],[0.63026726 0.42790127],[0.61086541 0.42848349]
46,0.3331246819048594,0.2844629641362264,0.3087938230205429,[0.59253967 0.42420483],[0.61291009 0.4116652 ],[0.63212645 0.41251624],[0.64497489 0.42107338],[0.63131082 0.42914262],[0.61190438 0.42998841]
