FN,EAR_L,EAR_R,EAR,p1,p2,p3,p4,p5,p6
30,0.3677483573457229,0.25491761591566603,0.3113329866306945,[0.56243795 0.50602269],[0.58633649 0.49303851],[0.6077553  0.49547383],[0.6208486  0.50496364],[0.60549712 0.51611191],[0.58384985 0.51510549]
31,0.37061229251192845,0.24761129921524885,0.30911179586358867,[0.56596392 0.50057852],[0.58965069 0.48776591],[0.61071593 0.49054247],[0.62353611 0.50011772],[0.60812002 0.51099509],[0.58683485 0.50964403]
32,0.35418249485897,0.24682351611993686,0.3005030054894534,[0.56886274 0.49538565],[0.59321177 0.48392701],[0.61454821 0.48707467],[0.62758428 0.49602991],[0.61171329 0.50700682],[0.59002948 0.50515586]
33,0.3575542585199912,0.26444142426578454,0.3109978413928879,[0.57341725 0.49228776],[0.5981642  0.47983953],[0.62021422 0.4828862 ],[0.63316083 0.49241623],[0.61717129 0.50333589],[0.59509432 0.50167316]
34,0.3581597344747228,0.26338337342137713,0.31077155394805,[0.5786289  0.48805705],[0.60290086 0.47506255],[0.62484777 0.47808269],[0.63767457 0.48801082],[0.6218428  0.49824154],[0.60011005 0.4967981 ]
35,0.3652072880991507,0.28473207605630696,0.3249696820777288,[0.58136398 0.48325896],[0.60588849 0.46963018],[0.62786829 0.47290871],[0.64067423 0.48285827],[0.62482524 0.49338931],[0.60293561 0.49205321]
36,0.36470737602284836,0.2680673565106313,0.3163873662667398,[0.58234227 0.47712886],[0.60749316 0.46383807],[0.62970042 0.46747291],[0.64273715 0.47755972],[0.62663847 0.48829246],[0.60435879 0.48663414]
37,0.3364052981985774,0.2880677052801419,0.3122365017393597,[0.58378631 0.47492424],[0.60908234 0.4616659 ],[0.63150567 0.46467716],[0.64510787 0.47421953],[0.62871021 0.48416048],[0.60615903 0.48304462]
38,0.3620172024924338,0.28029310500711807,0.32115515374977593,[0.58512706 0.47274351],[0.61092108 0.45822823],[0.63392073 0.46137416],[0.64764011 0.47196579],[0.63109189 0.48283294],[0.60805643 0.48167455]
39,0.36269068307559765,0.28399570242935124,0.3233431927524745,[0.5858587  0.47035137],[0.61229104 0.45499101],[0.63597703 0.45805809],[0.64981973 0.46903786],[0.63315469 0.48000652],[0.60953444 0.47911078]
40,0.36053161530181504,0.28576490328134296,0.323148259291579,[0.58784312 0.46756521],[0.61464864 0.45258927],[0.63877434 0.4560076 ],[0.65289283 0.46679899],[0.63566464 0.47810972],[0.61167669 0.47699741]
41,0.3622147919287711,0.2999254040555619,0.33107009799216647,[0.58995879 0.46650833],[0.61682814 0.45153707],[0.64151627 0.45471317],[0.6558851  0.46519446],[0.63839561 0.47725993],[0.61407274 0.47639155]
42,0.3725983568418951,0.3084833628864287,0.3405408598641619,[0.59112978 0.4659676 ],[0.61816716 0.45008126],[0.64289832 0.45352811],[0.65692949 0.46500885],[0.63975328 0.4765653 ],[0.61536479 0.47571659]
43,0.36058714642723705,0.2992834975194666,0.32993532197335185,[0.59308487 0.46241924],[0.61993521 0.44741115],[0.64454913 0.45083898],[0.65882784 0.46206093],[0.6415273 0.4731642],[0.61719555 0.47214392]
44,0.3706378315834987,0.2987750283815403,0.33470642998251954,[0.59294748 0.46055296],[0.62034637 0.44500488],[0.64550322 0.44864398],[0.65990365 0.46012369],[0.64224929 0.47205919],[0.61745083 0.47083688]
45,0.37423843407056656,0.29682077557189357,0.33552960482123007,[0.59301078 0.46058261],[0.62068713 0.44470739],[0.64616102 0.44835088],[0.66055107 0.46007067],[0.64273518 0.47214431],[0.6176194  0.47104433]
